dgp,T,mine_Mean_qV,mine_Std_qV,mine_Raw_pi,mine_Corr_pi,mine_RawGreen,mine_CorrGreen,ref_Mean_qV,ref_Std_qV,ref_Raw_pi,ref_Corr_pi,ref_RawGreen,ref_CorrGreen
normal,1000,0.0003086178887639543,0.0018856037461535279,0.010044999999999998,0.010025,81.05,78.60000000000001,0.0004935853232970772,0.001938077627151675,0.009973333333333301,0.009786666666666633,81.2,80.80000000000001
normal,5000,3.3616519476073734e-05,0.0008392155149730144,0.010078333333333333,0.010134333333333334,99.2,97.39999999999999,0.00010549488164573384,0.0008470091020391813,0.010066666666666635,0.009922666666666637,99.0,97.39999999999999
t5,1000,0.004598899697982356,0.004035783542643355,0.014836666666666666,0.009818333333333332,54.0,80.05,0.004403852285832153,0.0038703979037253964,0.014966666666666633,0.010139999999999968,54.800000000000004,79.2
t5,5000,0.0037456886501793423,0.001613905308536318,0.014938666666666666,0.009965333333333333,66.35,97.65,0.0039130465444434295,0.0016740289479757742,0.015093333333333302,0.010009333333333299,65.8,97.0
t3,1000,0.004760112514827861,0.004948584891831504,0.013358333333333331,0.009479999999999999,62.35000000000001,82.15,0.004821437611988246,0.005135634982033957,0.013799999999999967,0.0100133333333333,59.8,78.60000000000001
t3,5000,0.0037163491553398485,0.0020045165525867294,0.013815333333333334,0.009956666666666667,79.5,96.3,0.0036954815563663866,0.001996927540390935,0.013638666666666636,0.009786666666666635,83.2,97.6
skewt3,1000,0.013909281778118747,0.008133327254008428,0.023276666666666668,0.010073333333333333,16.950000000000003,77.3,0.013552826103400374,0.007880297746514746,0.022866666666666636,0.010026666666666633,20.200000000000003,76.2
skewt3,5000,0.012430197091659802,0.0030850065673664754,0.023182666666666667,0.010041666666666666,3.2,95.7,0.012388137423784315,0.003104161938918324,0.023170666666666638,0.00981999999999997,2.4,96.2
mixnormal,1000,0.008005001227390163,0.008247171726872202,0.01273,0.009958333333333335,66.4,78.95,0.008287273876930318,0.00844126219822223,0.012979999999999967,0.0101333333333333,67.60000000000001,79.0
mixnormal,5000,0.006332887134369369,0.004152366726727129,0.012548666666666666,0.010016666666666667,91.85,96.6,0.006140233984415972,0.004258214994505134,0.0124813333333333,0.010067999999999966,91.4,97.0
