dgp,T,pop_pi,sd,observed,normal_approx
mixnormal,500,0.012799999999999966,0.008927327266434328,68.4,63.99966910632491
mixnormal,1000,0.012419999999999964,0.0060823818126460455,68.2,72.19302224266254
mixnormal,2000,0.0125133333333333,0.004370255323951495,79.80000000000001,78.75118303488436
mixnormal,5000,0.012559999999999969,0.0028408697756434264,90.8,88.7032512267674
mixnormal,10000,0.0124053333333333,0.0018406014913397355,96.39999999999999,97.45892996251932
normal,500,0.009039999999999968,0.007910836900018552,83.39999999999999,81.05177325246298
normal,1000,0.009986666666666633,0.005961339112726495,80.60000000000001,84.34459877884275
normal,2000,0.009923333333333303,0.003957820080636876,92.60000000000001,93.76519169566842
normal,5000,0.010114666666666635,0.0025553255586626997,98.8,98.93651857299808
normal,10000,0.010025333333333303,0.0018344480730723702,100.0,99.94368765013552
skewt3,500,0.023133333333333297,0.012586109551430679,36.4,28.543781843136607
skewt3,1000,0.022899999999999966,0.008616821358933621,18.0,21.16354972129865
skewt3,2000,0.02353999999999997,0.006303710210163242,10.8,11.582467682617892
skewt3,5000,0.023265333333333305,0.003895746500055735,3.2,3.109491002001754
skewt3,10000,0.02326599999999997,0.0028074319252113767,0.4,0.48249216801196354
t3,500,0.012959999999999965,0.008692946129051011,69.6,63.672138601262674
t3,1000,0.0133333333333333,0.006545321843241842,61.4,65.8148639095214
t3,2000,0.013793333333333302,0.004798263806837731,67.4,67.72018965367518
t3,5000,0.013570666666666632,0.0030485760736116848,81.6,78.72381151427719
t3,10000,0.013841999999999967,0.0021542944636094978,85.6,84.17605946011024
t5,500,0.01510666666666663,0.010284841073727083,61.6,53.46082949691907
t5,1000,0.015213333333333303,0.007435542057071299,54.2,54.21287515636293
t5,2000,0.014956666666666634,0.0050286763948059416,57.8,58.21812178732488
t5,5000,0.01509599999999997,0.0032956631624377814,65.0,60.80729104759494
t5,10000,0.01481599999999997,0.002167945668435219,74.2,70.75148542043787
