dgp,T,n_test,Mean_qV,Std_qV,Raw_pi,Corr_pi,RawGreen,CorrGreen
normal,500,150,0.001645962674075234,0.00307218521589757,0.00904,0.007573333333333334,83.39999999999999,86.4
normal,1000,300,0.00030155478899603197,0.001923207881029809,0.009986666666666665,0.010099999999999998,80.60000000000001,76.4
normal,2000,600,0.000145173791506639,0.0013187298020086826,0.009923333333333333,0.010033333333333333,92.60000000000001,87.6
normal,5000,1500,7.680695933536294e-05,0.0008788623207215956,0.010114666666666666,0.010046666666666667,98.8,96.8
normal,10000,3000,3.2125847449571e-05,0.0006363707552210568,0.010025333333333332,0.010047333333333335,100.0,99.4
t5,500,150,0.0075759546532554916,0.006872930349629813,0.015106666666666666,0.008453333333333334,61.6,84.2
t5,1000,300,0.004593166101453129,0.0038327619315198565,0.015213333333333332,0.009986666666666666,54.2,78.2
t5,2000,600,0.004050952235410508,0.002675615282962838,0.014956666666666665,0.009976666666666667,57.8,86.4
t5,5000,1500,0.003694710069708232,0.0016276053795549316,0.015096,0.010190666666666667,65.0,95.19999999999999
t5,10000,3000,0.0037224351067844563,0.0011343686131649415,0.014816000000000001,0.009814666666666668,74.2,99.8
t3,500,150,0.008678287805858224,0.010927344542913752,0.012960000000000001,0.00836,69.6,82.39999999999999
t3,1000,300,0.004934857129072994,0.005260059690943311,0.013333333333333332,0.009486666666666666,61.4,79.4
t3,2000,600,0.004241090731410589,0.003307778581862164,0.013793333333333333,0.009913333333333335,67.4,86.6
t3,5000,1500,0.003652510131728361,0.0019958506482195787,0.013570666666666668,0.009777333333333334,81.6,97.2
t3,10000,3000,0.0036017885872590256,0.0014237613966702255,0.013841999999999998,0.010071333333333331,85.6,99.8
skewt3,500,150,0.021121117523038056,0.018876787812194342,0.023133333333333332,0.008333333333333331,36.4,82.8
skewt3,1000,300,0.013830904849310424,0.008433723991902493,0.022900000000000004,0.010446666666666665,18.0,76.4
skewt3,2000,600,0.012494072925872445,0.00478679446610214,0.023540000000000002,0.010476666666666667,10.8,83.0
skewt3,5000,1500,0.012195697463788829,0.003015550559279904,0.023265333333333332,0.010058666666666667,3.2,95.6
skewt3,10000,3000,0.01214479226662217,0.002215137206171288,0.023266000000000002,0.010130666666666666,0.4,98.4
mixnormal,500,150,0.014511187600057488,0.012737956755044445,0.012799999999999999,0.00844,68.4,84.0
mixnormal,1000,300,0.008630205879387601,0.008459511400027063,0.01242,0.009393333333333333,68.2,82.39999999999999
mixnormal,2000,600,0.00727181916180334,0.006221493602070259,0.012513333333333333,0.009756666666666665,79.80000000000001,88.2
mixnormal,5000,1500,0.006313653255467743,0.0038840228869334876,0.01256,0.010034666666666666,90.8,96.0
mixnormal,10000,3000,0.006011589174306572,0.002855066005001248,0.012405333333333334,0.009936666666666665,96.39999999999999,100.0
