model,asset,period,method,n,QS,normalised_QS
HS,SMALL_LoBM,2015-2019,Raw,1304,0.00034517054784443627,0.03655403580900091
HS,SMALL_LoBM,2015-2019,Shift-CP,1304,0.00033283961609681845,0.03524817317536765
HS,SMALL_LoBM,2015-2019,Vol-ERM,1304,0.0003231490568173557,0.03422192961802227
HS,SMALL_LoBM,2015-2019,State-L1,1304,0.0003225923131556394,0.034162969698429184
HS,SMALL_LoBM,2015-2019,POT-Shift,1304,0.00033274580377807455,0.03523823832177106
HS,SMALL_LoBM,2015-2019,POT-Vol,1304,0.00032272249446575383,0.03417675607823853
HS,SMALL_LoBM,2015-2019,DtACI-projected-expected,1304,0.00033548321940766405,0.03552813440234057
HS,SMALL_LoBM,2015-2019,Rolling500,1304,0.00035874188244294043,0.03799125881075375
HS,SMALL_LoBM,2015-2019,Selected-rolling,1304,0.00035874188244294043,0.03799125881075375
HS,SMALL_LoBM,2015-2019,Gate-selected-rolling,1304,0.00035874188244294043,0.03799125881075375
HS,SMALL_LoBM,2015-2019,Loss-gate,1304,0.00034517054784443627,0.03655403580900091
HS,SMALL_LoBM,2015-2019,Past-minimum,1304,0.0003253775419538886,0.03445792925932818
HS,SMALL_LoBM,2015-2019,State-L1-clipped,1304,0.00032258002737479567,0.034161668617338374
HS,SMALL_LoBM,2015-2019,DtACI-projected-seed,1304,0.00033328384777058976,0.03529521792067381
HS,SMALL_LoBM,2020-2021,Raw,523,0.0006473646046628277,0.06855680210291194
HS,SMALL_LoBM,2020-2021,Shift-CP,523,0.0006176085135004662,0.06540559111843632
HS,SMALL_LoBM,2020-2021,Vol-ERM,523,0.000592719044365051,0.06276976210079653
HS,SMALL_LoBM,2020-2021,State-L1,523,0.0005870111959878161,0.06216529310633345
HS,SMALL_LoBM,2020-2021,POT-Shift,523,0.0006203885980223518,0.06570000589339231
HS,SMALL_LoBM,2020-2021,POT-Vol,523,0.0005995774832467969,0.0634960802123585
HS,SMALL_LoBM,2020-2021,DtACI-projected-expected,523,0.0005866025686855379,0.06212201891294328
HS,SMALL_LoBM,2020-2021,Rolling500,523,0.0006596819588901951,0.0698612268584744
HS,SMALL_LoBM,2020-2021,Selected-rolling,523,0.0006596819588901951,0.0698612268584744
HS,SMALL_LoBM,2020-2021,Gate-selected-rolling,523,0.0006596819588901951,0.0698612268584744
HS,SMALL_LoBM,2020-2021,Loss-gate,523,0.0006473646046628277,0.06855680210291194
HS,SMALL_LoBM,2020-2021,Past-minimum,523,0.0005912060540220268,0.0626095343423074
HS,SMALL_LoBM,2020-2021,State-L1-clipped,523,0.0005869192315984587,0.06215555395100078
HS,SMALL_LoBM,2020-2021,DtACI-projected-seed,523,0.0005882631351105198,0.062297875181506986
HS,SMALL_LoBM,2022-July2026,Raw,1195,0.0003958200040959267,0.04191788289585556
HS,SMALL_LoBM,2022-July2026,Shift-CP,1195,0.000384186390225438,0.040685867184591606
HS,SMALL_LoBM,2022-July2026,Vol-ERM,1195,0.00038222331625236707,0.04047797495057721
HS,SMALL_LoBM,2022-July2026,State-L1,1195,0.000380613878627989,0.04030753329232662
HS,SMALL_LoBM,2022-July2026,POT-Shift,1195,0.0003839516265430628,0.040661005387703696
HS,SMALL_LoBM,2022-July2026,POT-Vol,1195,0.00037822970946927353,0.040055046498923615
HS,SMALL_LoBM,2022-July2026,DtACI-projected-expected,1195,0.00040135965854971227,0.042504539922469636
HS,SMALL_LoBM,2022-July2026,Rolling500,1195,0.0003987170199385922,0.04222468085852463
HS,SMALL_LoBM,2022-July2026,Selected-rolling,1195,0.0003987170199385922,0.04222468085852463
HS,SMALL_LoBM,2022-July2026,Gate-selected-rolling,1195,0.0003987170199385922,0.04222468085852463
HS,SMALL_LoBM,2022-July2026,Loss-gate,1195,0.0003958200040959267,0.04191788289585556
HS,SMALL_LoBM,2022-July2026,Past-minimum,1195,0.000384145113248083,0.04068149589591201
HS,SMALL_LoBM,2022-July2026,State-L1-clipped,1195,0.000380613878627989,0.04030753329232662
HS,SMALL_LoBM,2022-July2026,DtACI-projected-seed,1195,0.0004030606111368492,0.04268467314115792
HS,ME1_BM2,2015-2019,Raw,1304,0.000285657334891271,0.032809344384304245
HS,ME1_BM2,2015-2019,Shift-CP,1304,0.000278596436853407,0.031998360708793465
HS,ME1_BM2,2015-2019,Vol-ERM,1304,0.00027769864126679135,0.031895243858672345
HS,ME1_BM2,2015-2019,State-L1,1304,0.00029581670167093627,0.03397620454396851
HS,ME1_BM2,2015-2019,POT-Shift,1304,0.00027776240018245583,0.03190256692713968
HS,ME1_BM2,2015-2019,POT-Vol,1304,0.00027491222063313734,0.03157520784698063
HS,ME1_BM2,2015-2019,DtACI-projected-expected,1304,0.00028139409979394993,0.03231968796238006
HS,ME1_BM2,2015-2019,Rolling500,1304,0.0002888119617291828,0.03317167094024027
HS,ME1_BM2,2015-2019,Selected-rolling,1304,0.0003335398714713417,0.03830892181769152
HS,ME1_BM2,2015-2019,Gate-selected-rolling,1304,0.0003335398714713417,0.03830892181769152
HS,ME1_BM2,2015-2019,Loss-gate,1304,0.000285657334891271,0.032809344384304245
HS,ME1_BM2,2015-2019,Past-minimum,1304,0.00027897219399545013,0.032041518520522144
HS,ME1_BM2,2015-2019,State-L1-clipped,1304,0.0002954420654999848,0.03393317548204633
HS,ME1_BM2,2015-2019,DtACI-projected-seed,1304,0.0002840347689737856,0.032622983603499245
HS,ME1_BM2,2020-2021,Raw,523,0.0005972610642238505,0.06859877745101502
HS,ME1_BM2,2020-2021,Shift-CP,523,0.0005630439046477472,0.0646687450826448
HS,ME1_BM2,2020-2021,Vol-ERM,523,0.0005325796761960483,0.061169757867580464
HS,ME1_BM2,2020-2021,State-L1,523,0.0005288044060387841,0.060736146951268395
HS,ME1_BM2,2020-2021,POT-Shift,523,0.0005650478595296996,0.06489891052151796
HS,ME1_BM2,2020-2021,POT-Vol,523,0.0005517410883450312,0.06337055334277755
HS,ME1_BM2,2020-2021,DtACI-projected-expected,523,0.0005410808110427283,0.06214616080485598
HS,ME1_BM2,2020-2021,Rolling500,523,0.0006223070669002654,0.0714754510976885
HS,ME1_BM2,2020-2021,Selected-rolling,523,0.0005887529479111597,0.06762157265327706
