units,family,method,reference,block_calendar_days,draws,family_size,difference,lower,upper,simultaneous_lower,simultaneous_upper
return,correction,State-L1,Shift-CP,20,999,4,0.004589348904719508,-0.06329493010309797,0.0593515906987028,-0.07003314719239118,0.0792118450018302
return,correction,POT-Shift,Shift-CP,20,999,4,-0.0031320587087654795,-0.009064396390717674,0.003401976434489214,-0.010613360267377442,0.004349242849846482
return,correction,POT-Vol,Shift-CP,20,999,4,-0.0243766283780319,-0.05109361635092363,-0.0011390730206745246,-0.055745145542368535,0.006991888786304735
return,correction,DtACI-projected-expected,Shift-CP,20,999,4,0.08719961438427971,-0.008397147726112424,0.1662622603322745,-0.017633740671776643,0.19203296944033607
return,indication,Gate-selected-rolling,Selected-rolling,20,999,3,-0.00717993999573474,-0.014143522786009026,0.0009067652303882051,-0.0158244646588189,0.0014645846673494176
return,indication,Loss-gate,Selected-rolling,20,999,3,-0.09739748957441025,-0.1941973580043149,0.03098571360112666,-0.23354177367421347,0.03874679452539298
return,indication,Past-minimum,Selected-rolling,20,999,3,-0.11915280502712729,-0.1797061986143264,-0.04280373922792961,-0.2021078499114815,-0.03619776014277308
return,reference,Shift-CP,Raw,20,999,1,-0.04314715616842422,-0.14687331055580985,0.04743840394062928,-0.1409336539639961,0.054639341627147654
normalised,correction,State-L1,Shift-CP,20,999,4,6.470827191511208e-06,-0.0007093084982354499,0.0005832229544473293,-0.000779247634804748,0.0007921892891877704
normalised,correction,POT-Shift,Shift-CP,20,999,4,-3.5861755931704264e-05,-9.832771980415843e-05,3.129251605323355e-05,-0.00011300199791331344,4.127848604990491e-05
normalised,correction,POT-Vol,Shift-CP,20,999,4,-0.00026215592008917155,-0.0005415081954951911,-2.2860055162557378e-05,-0.0005858821511769826,6.157031099863949e-05
normalised,correction,DtACI-projected-expected,Shift-CP,20,999,4,0.0008955451845545082,-9.29590722704092e-05,0.0017023949728933465,-0.00018302852350042444,0.0019741188926094408
normalised,indication,Gate-selected-rolling,Selected-rolling,20,999,3,-7.140464196869062e-05,-0.0001384827934825238,4.47599202943339e-06,-0.00015509013925183167,1.2280855314450434e-05
normalised,indication,Loss-gate,Selected-rolling,20,999,3,-0.001015475845003798,-0.0020043094293720814,0.0002908081944080201,-0.0024236353850588697,0.00039268369505127414
normalised,indication,Past-minimum,Selected-rolling,20,999,3,-0.001241819836433171,-0.001844034499283901,-0.00047653518558367374,-0.0020825617896559428,-0.0004010778832103989
normalised,reference,Shift-CP,Raw,20,999,1,-0.00044766371432652247,-0.0015406368675625185,0.0004943736474093481,-0.0014657686093063962,0.0005704411806533513
return,correction,State-L1,Shift-CP,60,999,4,0.004589348904719508,-0.05775196792163987,0.06232531460426145,-0.06704755179005531,0.07622624959949431
return,correction,POT-Shift,Shift-CP,60,999,4,-0.0031320587087654795,-0.009297858908840632,0.004074846976532841,-0.0114668621044118,0.00520274468688084
return,correction,POT-Vol,Shift-CP,60,999,4,-0.0243766283780319,-0.04709859894500779,-0.0005571097314895639,-0.05215674151895452,0.003403484762890721
return,correction,DtACI-projected-expected,Shift-CP,60,999,4,0.08719961438427971,0.005323381665231027,0.16371486502540097,-0.010986816032448152,0.18538604480100757
return,indication,Gate-selected-rolling,Selected-rolling,60,999,3,-0.00717993999573474,-0.014174191902335593,-5.885556224365611e-05,-0.015203823251376664,0.0008439432599071832
return,indication,Loss-gate,Selected-rolling,60,999,3,-0.09739748957441025,-0.20222683670006872,0.0445701233971756,-0.24327679276299552,0.04848181361417503
return,indication,Past-minimum,Selected-rolling,60,999,3,-0.11915280502712729,-0.1848692453308847,-0.037234071409386615,-0.20892607249841924,-0.029379537555835333
return,reference,Shift-CP,Raw,60,999,1,-0.04314715616842422,-0.15588504261641578,0.05173539402812096,-0.1462458756861215,0.05995156334927306
normalised,correction,State-L1,Shift-CP,60,999,4,6.470827191511208e-06,-0.0006390330002257888,0.0005945619851308605,-0.0007549233657877901,0.0007678650201708126
normalised,correction,POT-Shift,Shift-CP,60,999,4,-3.5861755931704264e-05,-9.974508761259552e-05,4.163132908221109e-05,-0.0001232586836280538,5.153517176464527e-05
normalised,correction,POT-Vol,Shift-CP,60,999,4,-0.00026215592008917155,-0.0005035157344541012,-1.145430638195059e-05,-0.0005535787292938884,2.926688911554531e-05
normalised,correction,DtACI-projected-expected,Shift-CP,60,999,4,0.0008955451845545082,4.0409105751555386e-05,0.0017037391962710746,-0.0001278911868790786,0.001918981555988095
normalised,indication,Gate-selected-rolling,Selected-rolling,60,999,3,-7.140464196869062e-05,-0.00014034951433345572,-9.870884129792505e-07,-0.0001510063813281812,8.197097390799936e-06
normalised,indication,Loss-gate,Selected-rolling,60,999,3,-0.001015475845003798,-0.0020879946900419274,0.00043504124119559556,-0.002516930813946756,0.00048597912393916003
normalised,indication,Past-minimum,Selected-rolling,60,999,3,-0.001241819836433171,-0.0019072173409157706,-0.00042014034805894516,-0.0021456634063245434,-0.00033797626654179854
normalised,reference,Shift-CP,Raw,60,999,1,-0.00044766371432652247,-0.0016424652306708878,0.0005543278283729172,-0.001546432168957075,0.0006511047403040301
