method,pairs,QS,normalised_QS,violation_rate,width,kupiec_rejections,kupiec_available,worse_than_raw,QS_x10000
State-L1,100,0.00031657058933684095,0.032553590804147665,0.011829913964262029,0.02267449933166469,24,100,20,3.1657058933684095
State-L1-clipped,100,0.000314716711958841,0.03238802799802505,0.011611515552614108,0.022674818431789152,23,100,16,3.14716711958841
POT-Shift,100,0.000315798448575492,0.03251125822102419,0.009093315684976792,0.022973510351010674,7,100,17,3.15798448575492
POT-Vol,100,0.00031367399160855405,0.03228496405686699,0.009900727994705448,0.022677735623120112,3,100,9,3.1367399160855403
Loss-gate,100,0.00032042637006320297,0.03299478369128226,0.015264725347451973,0.020530761594208614,74,100,0,3.20426370063203
Past-minimum,100,0.000318250838517935,0.032768439699853366,0.012263401720714709,0.021851434214526507,42,100,16,3.18250838517935
DtACI-projected-seed,100,0.00032482079938446603,0.03344664803530915,0.013937789543348726,0.022924638781256838,45,100,74,3.24820799384466
Raw,100,0.00032042637006320297,0.03299478369128226,0.015264725347451973,0.020530761594208614,74,100,0,3.20426370063203
Shift-CP,100,0.00031611165444636,0.03254711997695519,0.008775645268034364,0.023179513787338023,11,100,21,3.1611165444636002
Vol-ERM,100,0.00031415947515470605,0.032336908142485306,0.008471211118464547,0.023610113098096623,17,100,16,3.1415947515470606
Rolling500,100,0.000325284666541258,0.03349655557832184,0.0114460622104566,0.0229628821982756,6,100,84,3.25284666541258
Selected-rolling,100,0.00033016611902065,0.034010259536285864,0.010979483785572418,0.024049814938055726,6,100,86,3.3016611902065
Gate-selected-rolling,100,0.00032944812502107794,0.03393885489431736,0.011164791528788829,0.023899558324000605,9,100,75,3.2944812502107794
DtACI-projected-expected,100,0.000324831615884799,0.03344266516151059,0.01389943892140555,0.022930256637669823,0,0,78,3.24831615884799
