model,asset,loss_gate,past_minimum,selected_window,coverage_gate,state_p,state_penalty,pot_shift_threshold,pot_vol_threshold,pot_final_fallbacks
HS,SMALL_LoBM,Raw,Inner-Vol,500,True,4,0.0001,0.95,0.95,0
HS,ME1_BM2,Raw,Inner-Vol,125,True,4,0.0,0.9,0.9,0
HS,ME1_BM3,Raw,Inner-Vol,500,True,4,0.0001,0.95,0.9,0
HS,ME1_BM4,Raw,Inner-Vol,250,True,4,0.0001,0.9,0.9,0
HS,SMALL_HiBM,Raw,Inner-Vol,500,True,2,0.001,0.95,0.9,0
HS,ME2_BM1,Raw,Inner-Vol,125,True,2,0.0,0.95,0.9,0
HS,ME2_BM2,Raw,Raw,500,True,4,0.01,0.95,0.95,0
HS,ME2_BM3,Raw,Raw,500,True,4,0.0,0.9,0.95,0
HS,ME2_BM4,Raw,Raw,500,True,4,0.01,0.95,0.95,0
HS,ME2_BM5,Raw,Raw,500,True,4,0.0001,0.95,0.95,0
HS,ME3_BM1,Raw,Raw,125,True,2,1.0,0.95,0.95,0
HS,ME3_BM2,Raw,Raw,125,True,4,0.01,0.9,0.9,0
HS,ME3_BM3,Raw,Raw,500,True,4,0.0001,0.95,0.9,0
HS,ME3_BM4,Raw,Raw,500,True,4,0.0001,0.95,0.95,0
HS,ME3_BM5,Raw,Raw,500,True,2,0.001,0.95,0.95,0
HS,ME4_BM1,Raw,Raw,500,True,2,1.0,0.95,0.9,0
HS,ME4_BM2,Raw,Raw,125,True,2,1.0,0.95,0.9,0
HS,ME4_BM3,Raw,Raw,500,True,2,0.001,0.9,0.95,0
HS,ME4_BM4,Raw,Raw,500,True,2,1.0,0.95,0.95,0
HS,ME4_BM5,Raw,Raw,500,True,2,1.0,0.95,0.95,0
HS,BIG_LoBM,Raw,Inner-Vol,125,True,2,0.001,0.95,0.95,0
HS,ME5_BM2,Raw,Inner-Vol,500,True,2,0.001,0.95,0.9,0
HS,ME5_BM3,Raw,Raw,500,True,2,0.001,0.9,0.95,0
HS,ME5_BM4,Raw,Inner-Vol,125,True,4,0.001,0.95,0.95,0
HS,BIG_HiBM,Raw,Inner-Vol,125,True,4,0.0,0.95,0.95,0
GJR-GARCH-t,SMALL_LoBM,Raw,Rolling500,500,True,2,1.0,0.95,0.95,0
