module,innovation,phi,n_cal,alpha,truth,method,histories,expected_loss,expected_violation,difference_vs_Raw,se_vs_Raw,difference_vs_Full-CP,se_vs_Full-CP,difference_vs_Half-Inner,se_vs_Half-Inner,difference_vs_Oracle-Grid,se_vs_Oracle-Grid
ar,normal,0.0,125,0.01,constant,Raw,500,0.0003912680824582103,0.018930894265546328,0.0,0.0,-1.6596789358253852e-05,1.672195569266825e-06,4.643315309566581e-06,5.707309436337036e-07,1.0845680521238547e-05,2.402398741120386e-07
ar,normal,0.0,125,0.01,constant,Full-CP,500,0.00040786487181646404,0.007964246829730076,1.6596789358253852e-05,1.672195569266825e-06,0.0,0.0,2.1240104667820435e-05,1.4398327491328858e-06,2.74424698794924e-05,1.6720503576358497e-06
ar,normal,0.0,125,0.01,constant,Half-Full,500,0.0003853663547236528,0.011026634356614922,-5.901727734557388e-06,5.091562175080084e-07,-2.2498517092811238e-05,1.2929650552565823e-06,-1.258412424990807e-06,3.656188072295097e-07,4.94395278668116e-06,4.459349036505982e-07
ar,normal,0.0,125,0.01,constant,Inner-CP,500,0.00040761691055015814,0.009951213619734146,1.6348828091947952e-05,1.6867569736321085e-06,-2.479612663059005e-07,1.0461362342305469e-06,2.099214340151453e-05,1.2686137466272801e-06,2.71945086131865e-05,1.6429697425205599e-06
ar,normal,0.0,125,0.01,constant,Half-Inner,500,0.0003866247671486436,0.01228333461952739,-4.643315309566581e-06,5.707309436337036e-07,-2.1240104667820435e-05,1.4398327491328858e-06,0.0,0.0,6.202365211671967e-06,4.3476770665066393e-07
ar,normal,0.0,125,0.01,constant,Selected-Inner,500,0.00039299074034876403,0.017031570147217488,1.7226578905537478e-06,7.583549214186035e-07,-1.4874131467700104e-05,1.5390494253794212e-06,6.365973200120329e-06,6.410982825269403e-07,1.2568338411792296e-05,6.922813984744887e-07
ar,normal,0.0,125,0.01,constant,Oracle-Grid,500,0.00038042240193697166,0.012047541496316747,-1.0845680521238547e-05,2.402398741120386e-07,-2.74424698794924e-05,1.6720503576358497e-06,-6.202365211671967e-06,4.3476770665066393e-07,0.0,0.0
ar,normal,0.0,125,0.01,constant,Oracle-Continuous,500,0.0003800787092688287,0.012200426569891646,-1.1189373189381437e-05,2.469304840964287e-07,-2.778616254763529e-05,1.6905634717087043e-06,-6.546057879814854e-06,4.4819874077914917e-07,-3.4369266814288775e-07,3.3078733171133245e-08
ar,normal,0.0,125,0.01,none,Raw,500,0.0003769182097042674,0.01,0.0,0.0,-3.094666211219657e-05,1.672195569266825e-06,-8.820243998388228e-06,5.212174523387399e-07,0.0,0.0
ar,normal,0.0,125,0.01,none,Full-CP,500,0.00040786487181646404,0.007964246829730076,3.094666211219657e-05,1.672195569266825e-06,0.0,0.0,2.212641811380834e-05,1.2634403202253923e-06,3.094666211219657e-05,1.672195569266825e-06
ar,normal,0.0,125,0.01,none,Half-Full,500,0.00038641745546033287,0.007932398185090884,9.499245756065346e-06,5.757169316012279e-07,-2.1447416356131226e-05,1.1175973313123665e-06,6.790017576771155e-07,3.175241718469539e-07,9.499245756065346e-06,5.757169316012279e-07
ar,normal,0.0,125,0.01,none,Inner-CP,500,0.00040761691055015814,0.009951213619734146,3.0698700845890664e-05,1.6867569736321085e-06,-2.479612663059005e-07,1.0461362342305469e-06,2.187845684750244e-05,1.202834894611154e-06,3.0698700845890664e-05,1.6867569736321085e-06
ar,normal,0.0,125,0.01,none,Half-Inner,500,0.0003857384537026557,0.008879463717651045,8.820243998388228e-06,5.212174523387399e-07,-2.212641811380834e-05,1.2634403202253923e-06,0.0,0.0,8.820243998388228e-06,5.212174523387399e-07
ar,normal,0.0,125,0.01,none,Selected-Inner,500,0.00038408073964902407,0.011815652373215052,7.1625299447566095e-06,8.531272578647271e-07,-2.378413216743996e-05,1.5514658647114411e-06,-1.65771405363162e-06,8.937505845637232e-07,7.1625299447566095e-06,8.531272578647271e-07
ar,normal,0.0,125,0.01,none,Oracle-Grid,500,0.0003769182097042674,0.01,0.0,0.0,-3.094666211219657e-05,1.672195569266825e-06,-8.820243998388228e-06,5.212174523387399e-07,0.0,0.0
ar,normal,0.0,125,0.01,none,Oracle-Continuous,500,0.0003769182097042674,0.01,0.0,0.0,-3.094666211219657e-05,1.672195569266825e-06,-8.820243998388228e-06,5.212174523387399e-07,0.0,0.0
ar,normal,0.0,125,0.05,constant,Raw,500,0.0015107819403891232,0.08152999177511822,0.0,0.0,2.424665728765616e-05,1.7276995792643582e-06,3.3946116735513356e-05,9.388163655455635e-07,4.298735926811624e-05,7.242009637931611e-07
ar,normal,0.0,125,0.05,constant,Full-CP,500,0.0014865352831014667,0.04703702823482789,-2.424665728765616e-05,1.7276995792643582e-06,0.0,0.0,9.699459447857199e-06,1.7727651279855684e-06,1.874070198046008e-05,1.7600883505966307e-06
ar,normal,0.0,125,0.05,constant,Half-Full,500,0.0014735865648105575,0.0614174149485563,-3.719537557856534e-05,7.887885124679895e-07,-1.294871829090918e-05,1.6998709037137384e-06,-3.249258843051977e-06,5.444721030553693e-07,5.791983689550901e-06,5.629137146477642e-07
ar,normal,0.0,125,0.05,constant,Inner-CP,500,0.0014932441448421842,0.048959561262630194,-1.7537795546938745e-05,2.141216363888182e-06,6.70886174071741e-06,1.3284948143053354e-06,1.640832118857461e-05,1.9871926498954253e-06,2.544956372117749e-05,2.0241639917709765e-06
ar,normal,0.0,125,0.05,constant,Half-Inner,500,0.0014768358236536094,0.06234398617205088,-3.3946116735513356e-05,9.388163655455635e-07,-9.699459447857199e-06,1.7727651279855684e-06,0.0,0.0,9.04124253260288e-06,4.0716824158813027e-07
ar,normal,0.0,125,0.05,constant,Selected-Inner,500,0.0014919512517015186,0.06681187880695043,-1.8830688687604395e-05,1.1953529409420762e-06,5.415968600051762e-06,1.6868657081103159e-06,1.5115428047908962e-05,1.2283324193914405e-06,2.415667058051184e-05,1.1586241668004785e-06
ar,normal,0.0,125,0.05,constant,Oracle-Grid,500,0.0014677945811210065,0.05691411602301526,-4.298735926811624e-05,7.242009637931611e-07,-1.874070198046008e-05,1.7600883505966307e-06,-9.04124253260288e-06,4.0716824158813027e-07,0.0,0.0
ar,normal,0.0,125,0.05,constant,Oracle-Continuous,500,0.0014672987134051975,0.0569398232045876,-4.348322698392528e-05,7.349359282684003e-07,-1.9236569696269112e-05,1.7805196380665188e-06,-9.537110248411913e-06,3.942570493799049e-07,-4.958677158090354e-07,4.132173854751441e-08
ar,normal,0.0,125,0.05,none,Raw,500,0.0014585582138288424,0.049999999999999975,0.0,0.0,-2.7977069272624207e-05,1.7276995792643576e-06,-9.10367184117028e-06,5.905481066908877e-07,0.0,0.0
ar,normal,0.0,125,0.05,none,Full-CP,500,0.0014865352831014667,0.04703702823482789,2.7977069272624207e-05,1.7276995792643576e-06,0.0,0.0,1.8873397431453928e-05,1.3193461424058271e-06,2.7977069272624207e-05,1.7276995792643576e-06
ar,normal,0.0,125,0.05,none,Half-Full,500,0.0014659145844833073,0.047717857337419164,7.356370654464733e-06,4.685484987010085e-07,-2.0620698618159476e-05,1.2635908599070552e-06,-1.7473011867055452e-06,3.634517748925617e-07,7.356370654464733e-06,4.685484987010085e-07
ar,normal,0.0,125,0.05,none,Inner-CP,500,0.0014932441448421842,0.048959561262630194,3.468593101334162e-05,2.1412163638881815e-06,6.70886174071741e-06,1.3284948143053354e-06,2.5582259172171344e-05,1.5579660249665835e-06,3.468593101334162e-05,2.1412163638881815e-06
ar,normal,0.0,125,0.05,none,Half-Inner,500,0.0014676618856700125,0.048492798587523964,9.10367184117028e-06,5.905481066908877e-07,-1.8873397431453928e-05,1.3193461424058271e-06,0.0,0.0,9.10367184117028e-06,5.905481066908877e-07
ar,normal,0.0,125,0.05,none,Selected-Inner,500,0.0014671761794996525,0.05140579964670343,8.617965670810188e-06,9.848510250928092e-07,-1.9359103601814026e-05,1.392435463214936e-06,-4.857061703600926e-07,9.271029044879068e-07,8.617965670810188e-06,9.848510250928092e-07
ar,normal,0.0,125,0.05,none,Oracle-Grid,500,0.0014585582138288424,0.049999999999999975,0.0,0.0,-2.7977069272624207e-05,1.7276995792643576e-06,-9.10367184117028e-06,5.905481066908877e-07,0.0,0.0
ar,normal,0.0,125,0.05,none,Oracle-Continuous,500,0.0014585582138288424,0.049999999999999975,0.0,0.0,-2.7977069272624207e-05,1.7276995792643576e-06,-9.10367184117028e-06,5.905481066908877e-07,0.0,0.0
ar,normal,0.0,250,0.01,constant,Raw,500,0.0003912680824582103,0.018930894265546328,0.0,0.0,-1.3905151695974667e-06,8.718319529137817e-07,7.4844363664560144e-06,4.3202500271309773e-07,1.3005498069255332e-05,1.281741472689564e-07
ar,normal,0.0,250,0.01,constant,Full-CP,500,0.00039265859762780764,0.0076752092285034676,1.3905151695974667e-06,8.718319529137817e-07,0.0,0.0,8.874951536053483e-06,7.923133335285138e-07,1.4396013238852798e-05,8.695983179078871e-07
ar,normal,0.0,250,0.01,constant,Half-Full,500,0.0003811941504991348,0.01150812283902385,-1.0073931959075426e-05,2.4794559488740995e-07,-1.1464447128672894e-05,7.819919099708966e-07,-2.589495592619412e-06,4.305561602463527e-07,2.9315661101799053e-06,2.1791686505143967e-07
ar,normal,0.0,250,0.01,constant,Inner-CP,500,0.0004094213685949558,0.005392204531334105,1.8153286136745642e-05,1.6775916885288954e-06,1.676277096714818e-05,1.4329636648472627e-06,2.5637722503201658e-05,1.3211943752739664e-06,3.1158784206000974e-05,1.6681255200715586e-06
ar,normal,0.0,250,0.01,constant,Half-Inner,500,0.0003837836460917542,0.009312815046382941,-7.4844363664560144e-06,4.3202500271309773e-07,-8.874951536053483e-06,7.923133335285138e-07,0.0,0.0,5.521061702799318e-06,3.8730809200639733e-07
ar,normal,0.0,250,0.01,constant,Selected-Inner,500,0.0003893300157884333,0.0119716182215549,-1.9380666697769056e-06,6.281301253981095e-07,-3.328581839374372e-06,6.62682939412134e-07,5.546369696679109e-06,6.32636180795515e-07,1.1067431399478427e-05,6.267327708233861e-07
ar,normal,0.0,250,0.01,constant,Oracle-Grid,500,0.0003782625843889549,0.010522704890727933,-1.3005498069255332e-05,1.281741472689564e-07,-1.4396013238852798e-05,8.695983179078871e-07,-5.521061702799318e-06,3.8730809200639733e-07,0.0,0.0
ar,normal,0.0,250,0.01,constant,Oracle-Continuous,500,0.0003777667993860174,0.010713868997274546,-1.350128307219272e-05,1.2533521533634992e-07,-1.4891798241790186e-05,8.802066477219648e-07,-6.016846705736706e-06,4.235926759592576e-07,-4.957850029373883e-07,4.9050387005940547e-08
ar,normal,0.0,250,0.01,none,Raw,500,0.0003769182097042674,0.01,0.0,0.0,-1.5740387923540182e-05,8.718319529137817e-07,-1.055577581478577e-05,6.099507486748436e-07,0.0,0.0
ar,normal,0.0,250,0.01,none,Full-CP,500,0.00039265859762780764,0.0076752092285034676,1.5740387923540182e-05,8.718319529137817e-07,0.0,0.0,5.184612108754415e-06,7.747526648890782e-07,1.5740387923540182e-05,8.718319529137817e-07
ar,normal,0.0,250,0.01,none,Half-Full,500,0.00038153262907901443,0.008264916252974708,4.6144193747469505e-06,2.8273055983784694e-07,-1.1125968548793233e-05,5.924720586525797e-07,-5.9413564400388195e-06,5.233335353977607e-07,4.6144193747469505e-06,2.8273055983784694e-07
ar,normal,0.0,250,0.01,none,Inner-CP,500,0.0004094213685949558,0.005392204531334105,3.2503158890688364e-05,1.6775916885288954e-06,1.676277096714818e-05,1.4329636648472627e-06,2.1947383075902595e-05,1.071396482980989e-06,3.2503158890688364e-05,1.6775916885288954e-06
ar,normal,0.0,250,0.01,none,Half-Inner,500,0.00038747398551905324,0.006643842839196443,1.055577581478577e-05,6.099507486748436e-07,-5.184612108754415e-06,7.747526648890782e-07,0.0,0.0,1.055577581478577e-05,6.099507486748436e-07
ar,normal,0.0,250,0.01,none,Selected-Inner,500,0.0003841246654776599,0.008463691478096074,7.2064557733924345e-06,6.730434228195113e-07,-8.53393215014775e-06,6.323834318337293e-07,-3.349320041393335e-06,7.49763855077966e-07,7.2064557733924345e-06,6.730434228195113e-07
ar,normal,0.0,250,0.01,none,Oracle-Grid,500,0.0003769182097042674,0.01,0.0,0.0,-1.5740387923540182e-05,8.718319529137817e-07,-1.055577581478577e-05,6.099507486748436e-07,0.0,0.0
ar,normal,0.0,250,0.01,none,Oracle-Continuous,500,0.0003769182097042674,0.01,0.0,0.0,-1.5740387923540182e-05,8.718319529137817e-07,-1.055577581478577e-05,6.099507486748436e-07,0.0,0.0
ar,normal,0.0,250,0.05,constant,Raw,500,0.0015107819403891232,0.08152999177511822,0.0,0.0,3.739198715995386e-05,8.661321826535883e-07,4.1086357795988806e-05,6.039045249025523e-07,4.757574574322718e-05,4.5893949723546905e-07
ar,normal,0.0,250,0.05,constant,Full-CP,500,0.001473389953229169,0.04671995635384633,-3.739198715995386e-05,8.661321826535883e-07,0.0,0.0,3.6943706360349396e-06,1.0179532716731827e-06,1.0183758583273319e-05,8.852995634073899e-07
ar,normal,0.0,250,0.05,constant,Half-Full,500,0.001470518140108466,0.061713029914600114,-4.026380028065689e-05,5.603885631086952e-07,-2.871813120703026e-06,1.0076676585908846e-06,8.225575153319141e-07,3.986806752692995e-07,7.311945462570295e-06,4.416660207067581e-07
ar,normal,0.0,250,0.05,constant,Inner-CP,500,0.0014813527038665772,0.04411345501823797,-2.9429236522545533e-05,1.2788468756891132e-06,7.962750637408328e-06,8.742278724285025e-07,1.1657121273443269e-05,1.4085685132226987e-06,1.8146509220681652e-05,1.2585988056243667e-06
ar,normal,0.0,250,0.05,constant,Half-Inner,500,0.001469695582593134,0.05982538801968714,-4.1086357795988806e-05,6.039045249025523e-07,-3.6943706360349396e-06,1.0179532716731827e-06,0.0,0.0,6.489387947238381e-06,2.9428909322787925e-07
ar,normal,0.0,250,0.05,constant,Selected-Inner,500,0.0014777488047850488,0.057730739852941665,-3.3033135604074085e-05,9.165307416434395e-07,4.358851555879775e-06,9.95543975382514e-07,8.053222191914714e-06,1.0263776061230871e-06,1.4542610139153094e-05,8.982097371211038e-07
ar,normal,0.0,250,0.05,constant,Oracle-Grid,500,0.0014632061946458956,0.05384393223946917,-4.757574574322718e-05,4.5893949723546905e-07,-1.0183758583273319e-05,8.852995634073899e-07,-6.489387947238381e-06,2.9428909322787925e-07,0.0,0.0
ar,normal,0.0,250,0.05,constant,Oracle-Continuous,500,0.0014626843081819035,0.05387389127924707,-4.809763220721942e-05,4.6670759904314166e-07,-1.0705645047265568e-05,9.051828828305731e-07,-7.011274411230628e-06,2.7904576640880467e-07,-5.218864639922479e-07,3.7949329786248546e-08
