module,innovation,phi,n_cal,alpha,truth,removable_loss,inner_estimation_cost,oracle_shrinkage_gain,selection_regret,grid_discretisation_gap,validation_reservation_effect,full_estimation_cost,selected_change,constant_family_gap
ar,normal,0.0,125,0.01,constant,1.4349872753942718e-05,3.069870084589067e-05,2.7194508613186497e-05,1.2568338411792294e-05,3.4369266814288775e-07,-2.479612663059005e-07,3.094666211219657e-05,1.7226578905537478e-06,0.0
ar,normal,0.0,125,0.01,none,0.0,3.069870084589067e-05,3.069870084589067e-05,7.1625299447566095e-06,0.0,-2.479612663059005e-07,3.094666211219657e-05,7.1625299447566095e-06,0.0
ar,normal,0.0,125,0.05,constant,5.222372656028037e-05,3.468593101334162e-05,2.5449563721177492e-05,2.415667058051184e-05,4.958677158090354e-07,6.70886174071741e-06,2.7977069272624207e-05,-1.8830688687604395e-05,0.0
ar,normal,0.0,125,0.05,none,0.0,3.468593101334162e-05,3.468593101334162e-05,8.617965670810188e-06,0.0,6.70886174071741e-06,2.7977069272624207e-05,8.617965670810188e-06,0.0
ar,normal,0.0,250,0.01,constant,1.4349872753942718e-05,3.2503158890688364e-05,3.1158784206000974e-05,1.1067431399478427e-05,4.957850029373883e-07,1.676277096714818e-05,1.5740387923540182e-05,-1.9380666697769056e-06,0.0
ar,normal,0.0,250,0.01,none,0.0,3.2503158890688364e-05,3.2503158890688364e-05,7.2064557733924345e-06,0.0,1.676277096714818e-05,1.5740387923540182e-05,7.2064557733924345e-06,0.0
ar,normal,0.0,250,0.05,constant,5.222372656028037e-05,2.2794490037734836e-05,1.814650922068165e-05,1.4542610139153094e-05,5.218864639922479e-07,7.962750637408328e-06,1.483173940032651e-05,-3.3033135604074085e-05,0.0
ar,normal,0.0,250,0.05,none,0.0,2.2794490037734836e-05,2.2794490037734836e-05,5.86869721904237e-06,0.0,7.962750637408328e-06,1.483173940032651e-05,5.86869721904237e-06,0.0
ar,normal,0.0,500,0.01,constant,1.4349872753942718e-05,9.507435559060672e-06,7.905356743830507e-06,5.4844831576648586e-06,1.8416547901395148e-07,3.896573975644659e-06,5.6108615834160135e-06,-7.263310781047694e-06,0.0
ar,normal,0.0,500,0.01,none,0.0,9.507435559060672e-06,9.507435559060672e-06,2.2256922709762117e-06,0.0,3.896573975644659e-06,5.6108615834160135e-06,2.2256922709762117e-06,0.0
ar,normal,0.0,500,0.05,constant,5.222372656028037e-05,9.855981389312734e-06,6.27608003240515e-06,9.816580414461782e-06,3.123918991436102e-07,3.041893536911008e-06,6.8140878524017275e-06,-3.8827244788911004e-05,0.0
ar,normal,0.0,500,0.05,none,0.0,9.855981389312734e-06,9.855981389312734e-06,2.530695760167821e-06,0.0,3.041893536911008e-06,6.8140878524017275e-06,2.530695760167821e-06,0.0
ar,normal,0.0,1000,0.01,constant,1.4349872753942718e-05,3.7522265134024107e-06,2.1566240394119044e-06,3.602716205075158e-06,7.823166593851972e-08,1.114896565438245e-06,2.6373299479641658e-06,-9.151554074877053e-06,0.0
ar,normal,0.0,1000,0.01,none,0.0,3.7522265134024107e-06,3.7522265134024107e-06,7.714923731530656e-07,0.0,1.114896565438245e-06,2.6373299479641658e-06,7.714923731530656e-07,0.0
ar,normal,0.0,1000,0.05,constant,5.222372656028037e-05,4.53325974963077e-06,2.107956146733698e-06,5.449969460416914e-06,2.1863466571951216e-07,8.222652408568505e-07,3.7109945087739193e-06,-4.434845349696638e-05,0.0
