block_calendar_days,method,difference,bootstrap_sd,t,single_step_lower,single_step_upper,rejected_single_step,stepdown_step,rejected_stepdown,favours
20,Raw,0.15929243240443203,0.07246164882796591,2.1982998590414984,-0.028428612996941077,0.34701347780580516,False,0,False,Shift-CP
20,Vol-ERM,-0.03212145468055638,0.024732778666704414,-1.2987402310682827,-0.09619483890642927,0.031951929545316504,False,0,False,method
20,State-L1,0.012378989386652606,0.022047461988999515,0.5614700409883482,-0.044737743118952546,0.06949572189225775,False,0,False,Shift-CP
20,POT-Shift,-0.013056947412842135,0.006412589642510044,-2.0361426725773346,-0.029669570102120714,0.0035556752764364444,False,0,False,method
20,POT-Vol,-0.01734727057025509,0.025377349839674903,-0.6835729766838932,-0.08309049775971937,0.04839595661920919,False,0,False,method
20,DtACI-projected-expected,0.1376187628483061,0.04733989638197479,2.9070355739246194,0.014978787333599766,0.26025873836301244,True,1,True,Shift-CP
20,Loss-gate,0.06941052547658799,0.05631635966849697,1.2325108704676417,-0.07648411094369037,0.21530516189686635,False,0,False,Shift-CP
20,Past-minimum,0.01702869019863762,0.03432975135425496,0.4960330187922267,-0.07190686283976883,0.10596424323704406,False,0,False,Shift-CP
60,Raw,0.15929243240443203,0.07721793196220712,2.062894309088655,-0.03783728779131701,0.35642215260018106,False,0,False,Shift-CP
60,Vol-ERM,-0.03212145468055638,0.02496283612430491,-1.2867710431861359,-0.09584909896511212,0.03160618960399936,False,0,False,method
60,State-L1,0.012378989386652606,0.02264426759861372,0.5466721028950589,-0.04542957945636097,0.07018755822966619,False,0,False,Shift-CP
60,POT-Shift,-0.013056947412842135,0.006040248103182904,-2.1616574666795203,-0.028477101621013905,0.002363206795329637,False,0,False,method
60,POT-Vol,-0.01734727057025509,0.025605777563184676,-0.677474860017395,-0.08271628056777311,0.04802173942726293,False,0,False,method
60,DtACI-projected-expected,0.1376187628483061,0.050461417191828,2.7272076470851245,0.008795770585646095,0.2664417551109661,True,1,True,Shift-CP
60,Loss-gate,0.06941052547658799,0.05694273241735695,1.218953192619023,-0.07595862160324965,0.21477967255642563,False,0,False,Shift-CP
60,Past-minimum,0.01702869019863762,0.03493458604259165,0.48744502590860905,-0.07215584241874654,0.10621322281602177,False,0,False,Shift-CP
