block_calendar_days,statistic,size,T,critical_value,p_value,mcs_p_value,eliminated,members
20,range,9,5.25162680222233,2.8511870112478226,0.001001001001001001,0.001001001001001001,DtACI-projected-expected,Shift-CP;Raw;Vol-ERM;State-L1;POT-Shift;POT-Vol;DtACI-projected-expected;Loss-gate;Past-minimum
20,range,8,3.69685398229863,2.7866367888792283,0.004004004004004004,0.004004004004004004,Raw,Shift-CP;Raw;Vol-ERM;State-L1;POT-Shift;POT-Vol;Loss-gate;Past-minimum
20,range,7,2.4792817256944435,2.773360508833856,0.1111111111111111,0.1111111111111111,,Shift-CP;Vol-ERM;State-L1;POT-Shift;POT-Vol;Loss-gate;Past-minimum
20,max,9,2.7828444684335016,2.3639609647073887,0.021021021021021023,0.021021021021021023,DtACI-projected-expected,Shift-CP;Raw;Vol-ERM;State-L1;POT-Shift;POT-Vol;DtACI-projected-expected;Loss-gate;Past-minimum
20,max,8,2.489353551799534,2.3298834282128436,0.036036036036036036,0.036036036036036036,Raw,Shift-CP;Raw;Vol-ERM;State-L1;POT-Shift;POT-Vol;Loss-gate;Past-minimum
20,max,7,1.5170383652617805,2.2727707742454046,0.3033033033033033,0.3033033033033033,,Shift-CP;Vol-ERM;State-L1;POT-Shift;POT-Vol;Loss-gate;Past-minimum
60,range,9,5.048621721980584,2.8906163045159308,0.001001001001001001,0.001001001001001001,DtACI-projected-expected,Shift-CP;Raw;Vol-ERM;State-L1;POT-Shift;POT-Vol;DtACI-projected-expected;Loss-gate;Past-minimum
60,range,8,3.08463253086826,2.8276674811490152,0.026026026026026026,0.026026026026026026,Raw,Shift-CP;Raw;Vol-ERM;State-L1;POT-Shift;POT-Vol;Loss-gate;Past-minimum
60,range,7,2.396029284344514,2.8194430141211213,0.13313313313313313,0.13313313313313313,,Shift-CP;Vol-ERM;State-L1;POT-Shift;POT-Vol;Loss-gate;Past-minimum
60,max,9,2.49810013593129,2.396691843498807,0.03903903903903904,0.03903903903903904,DtACI-projected-expected,Shift-CP;Raw;Vol-ERM;State-L1;POT-Shift;POT-Vol;DtACI-projected-expected;Loss-gate;Past-minimum
60,max,8,2.2625386274464843,2.3430332060870382,0.05805805805805806,0.05805805805805806,,Shift-CP;Raw;Vol-ERM;State-L1;POT-Shift;POT-Vol;Loss-gate;Past-minimum
