est,asset,leaf,n_dates,ratio,pi_ratio,blocked,below_lower
LightGBM,BTC,1,200,-1.7544534236541187,4.5,True,False
LightGBM,BTC,5,200,-1.3886699781048102,5.0,True,False
LightGBM,BTC,20,200,-1.5417003051688005,4.0,True,False
LightGBM,BTC,100,200,-1.7824852245770917,1.5,True,False
LightGBM,BTC,500,200,-2.747670058567098,0.5,False,False
LightGBM,EURUSD,1,200,-1.5876517755576587,9.5,True,False
LightGBM,EURUSD,5,200,-1.3458248856036747,6.0,True,False
LightGBM,EURUSD,20,200,-1.4891607616198632,3.0,True,False
LightGBM,EURUSD,100,200,-1.7486273573596351,3.0,True,False
LightGBM,EURUSD,500,200,-2.345612062530458,1.0,False,False
LightGBM,GOLD,1,200,-1.7621721750008978,4.5,True,False
LightGBM,GOLD,5,200,-1.456047629791402,4.5,True,False
LightGBM,GOLD,20,200,-1.6374867522940955,2.5,True,False
LightGBM,GOLD,100,200,-1.996201625357603,0.5,False,False
LightGBM,GOLD,500,200,-2.632778856622472,0.0,False,False
LightGBM,SP500,1,200,-1.6278700107832713,5.0,True,False
LightGBM,SP500,5,200,-1.264140658982662,8.5,True,False
LightGBM,SP500,20,200,-1.4332414476356594,2.5,True,False
LightGBM,SP500,100,200,-1.6371945694720544,1.5,True,False
LightGBM,SP500,500,200,-2.3852134623810075,1.0,False,False
quantile forest,BTC,1,200,-2.245798774879936,1.0,False,False
quantile forest,BTC,5,200,-2.418097870298501,1.0,False,False
quantile forest,BTC,20,200,-2.6126866251124605,1.0,False,False
quantile forest,BTC,100,200,-2.726861677874823,0.5,False,False
quantile forest,BTC,500,200,-2.7062254751789823,0.5,False,False
quantile forest,EURUSD,1,200,-2.096497618092635,1.0,False,False
quantile forest,EURUSD,5,200,-2.234927758551493,1.0,False,False
quantile forest,EURUSD,20,200,-2.366552982525681,0.5,False,False
quantile forest,EURUSD,100,200,-2.4693247721725156,0.5,False,False
quantile forest,EURUSD,500,200,-2.548208825656162,0.5,False,False
quantile forest,GOLD,1,200,-2.2829137405657542,0.5,False,False
quantile forest,GOLD,5,200,-2.4509888366189942,0.5,False,False
quantile forest,GOLD,20,200,-2.594430545928884,0.5,False,False
quantile forest,GOLD,100,200,-2.690437417782717,0.0,False,False
quantile forest,GOLD,500,200,-2.6751366408420365,1.0,False,False
quantile forest,SP500,1,200,-1.9966733906491765,1.0,False,False
quantile forest,SP500,5,200,-2.1433335993695253,1.5,False,False
quantile forest,SP500,20,200,-2.355377544275795,1.5,False,False
quantile forest,SP500,100,200,-2.6612959038210713,1.5,False,False
quantile forest,SP500,500,200,-2.871151343896801,1.0,False,False
