est,asset,leaf,ratio,n_dates,in_gap,fails_upper,fails_tight
LightGBM,BTC,1,-1.7544534236541187,200,True,True,True
LightGBM,BTC,5,-1.3886699781048102,200,True,True,True
LightGBM,BTC,20,-1.5417003051688005,200,True,True,True
LightGBM,BTC,100,-1.7824852245770917,200,True,True,True
LightGBM,BTC,500,-2.747670058567098,200,False,False,False
LightGBM,EURUSD,1,-1.5876517755576587,200,True,True,True
LightGBM,EURUSD,5,-1.3458248856036747,200,True,True,True
LightGBM,EURUSD,20,-1.4891607616198632,200,True,True,True
LightGBM,EURUSD,100,-1.7486273573596351,200,True,True,True
LightGBM,EURUSD,500,-2.345612062530458,200,False,False,False
LightGBM,GOLD,1,-1.7621721750008978,200,True,True,True
LightGBM,GOLD,5,-1.456047629791402,200,True,True,True
LightGBM,GOLD,20,-1.6374867522940955,200,True,True,True
LightGBM,GOLD,100,-1.996201625357603,200,False,False,False
LightGBM,GOLD,500,-2.632778856622472,200,False,False,False
LightGBM,SP500,1,-1.6278700107832713,200,True,True,True
LightGBM,SP500,5,-1.264140658982662,200,True,True,True
LightGBM,SP500,20,-1.4332414476356594,200,True,True,True
LightGBM,SP500,100,-1.6371945694720544,200,True,True,True
LightGBM,SP500,500,-2.3852134623810075,200,False,False,False
QRF,BTC,1,-2.245798774879936,200,False,False,False
QRF,BTC,5,-2.418097870298501,200,False,False,False
QRF,BTC,20,-2.6126866251124605,200,False,False,False
QRF,BTC,100,-2.726861677874823,200,False,False,False
QRF,BTC,500,-2.7062254751789823,200,False,False,False
QRF,EURUSD,1,-2.096497618092635,200,False,False,False
QRF,EURUSD,5,-2.234927758551493,200,False,False,False
QRF,EURUSD,20,-2.366552982525681,200,False,False,False
QRF,EURUSD,100,-2.4693247721725156,200,False,False,False
QRF,EURUSD,500,-2.548208825656162,200,False,False,False
QRF,GOLD,1,-2.2829137405657542,200,False,False,False
QRF,GOLD,5,-2.4509888366189942,200,False,False,False
QRF,GOLD,20,-2.594430545928884,200,False,False,False
QRF,GOLD,100,-2.690437417782717,200,False,False,False
QRF,GOLD,500,-2.6751366408420365,200,False,False,False
QRF,SP500,1,-1.9966733906491765,200,False,False,False
QRF,SP500,5,-2.1433335993695253,200,False,False,False
QRF,SP500,20,-2.355377544275795,200,False,False,False
QRF,SP500,100,-2.6612959038210713,200,False,False,False
QRF,SP500,500,-2.871151343896801,200,False,False,False
