model,asset,alpha,n_cal,n_test,qV,p_kup_cal,TL_cal,dQS_static,dQS_roll,n_test_raw,viol_raw,pihat_raw,p_kup_raw,p_ind_raw,p_cc_raw,lr_uc_raw,lr_ind_raw,QS_raw,width_raw,TL_raw,n_test_static,viol_static,pihat_static,p_kup_static,p_ind_static,p_cc_static,lr_uc_static,lr_ind_static,QS_static,width_static,TL_static,n_test_roll,viol_roll,pihat_roll,p_kup_roll,p_ind_roll,p_cc_roll,lr_uc_roll,lr_ind_roll,QS_roll,width_roll,TL_roll
EWMA,ASX200,0.01,4540,1946,0.0033615911817502,1.044653986485554e-09,Yellow,4.245835989574682e-05,2.6618967628229287e-05,1946,54,0.0277492291880781,1.0265270486966576e-10,0.0187188398650789,5.3629092086560166e-11,41.77026590920674,5.527592955363843,0.0003908371828409,0.0203386103746192,Yellow,1946,34,0.0174717368961973,0.002738520174344,0.1413220068385143,0.0038152827796019,8.973975987429352,2.1635050003689003,0.0003483788229451,0.0237002015563694,Yellow,1946,18,0.0092497430626927,0.7362045131729624,0.1575887243832441,0.3480699216427465,0.1134906811087361,1.9972131091502092,0.0003642182152126,0.0306738308923899,Green
EWMA,ASX200,0.025,4540,1946,0.0020615215559432,8.437900463865433e-07,Red,1.7918919206677585e-05,1.130617183202722e-05,1946,78,0.040082219938335,8.711416871992226e-05,0.0147825749225609,2.3237745145580172e-05,15.39726762233044,5.942197688478814,0.0007157743913746,0.0171354182556561,Red,1946,57,0.0292908530318602,0.2376735965039374,0.0065545041824309,0.0123666485517568,1.3943396802391703,7.391164445471702,0.0006978554721679,0.0191969398115993,Yellow,1946,43,0.0220966084275436,0.4027962905199015,0.0831615942512385,0.1570826397510647,0.6999625135583489,3.002003974992874,0.0007044682195426,0.0216939443263125,Yellow
EWMA,ASX200,0.05,4540,1946,0.0006868257879947,0.0139390896049949,Red,5.6835815378910096e-06,-1.3035348517141797e-05,1946,126,0.0647482014388489,0.0042224911154584,0.0444493792822226,0.002215029470363,8.185569908684492,4.039409232653952,0.0011355043228382,0.0143804963200692,Red,1946,105,0.0539568345323741,0.4288257549512747,0.0045284797586836,0.0130056921154262,0.6260016073329417,8.058734717303764,0.0011298207413003,0.0150673221080639,Red,1946,90,0.0462487153134635,0.4421445430884543,0.0029426933712326,0.0089447628222657,0.5907103994085823,8.842663755574222,0.0011485396713553,0.016454270726115,Red
EWMA,ASX200,0.1,4540,1946,-5.637981260599341e-05,0.7285211156672231,Red,1.6982674945465424e-07,-1.329074380881489e-05,1946,188,0.0966084275436793,0.6161902878912973,0.1451496246523484,0.3051724285065037,0.2512585453502343,2.1224981001562355,0.0017890559315166,0.0112042477642521,Red,1946,189,0.0971223021582733,0.6708528431407953,0.1603337483705614,0.3410109019710524,0.1806061481158316,1.971075515124312,0.0017888861047672,0.0111478679516461,Red,1946,191,0.0981500513874614,0.7850244906996835,0.1242628970291996,0.2956499554850896,0.0744073981504094,2.3627508164126994,0.0018023466753255,0.0113738651431258,Red
EWMA,AUDUSD,0.01,3518,1509,0.0029473219690436,9.652926744500852e-08,Yellow,-1.2760936178600251e-06,-1.2463163034669606e-05,1509,30,0.0198807157057654,0.0006741435788501,0.2697642029387475,0.0016806416347163,11.55921365084998,1.217945615261101,0.0002072640921809,0.0143257919828399,Yellow,1509,8,0.0053015241882041,0.0439067582976369,0.7701953420488126,0.1258406559678707,4.06014387718314,0.0853337378812,0.0002085401857988,0.0172731139518835,Green,1509,12,0.0079522862823061,0.4070597035879053,0.6608312384265982,0.6440726721705772,0.6873719950089896,0.1925154335088734,0.0002197272552156,0.0176895973269029,Green
EWMA,AUDUSD,0.025,3518,1509,0.0015961284231919,9.41103610821964e-07,Red,4.906180775862321e-06,-3.045175420573435e-06,1509,54,0.0357852882703777,0.0116321527955031,0.9607596393859956,0.0414090411799562,6.366091398437774,0.0024206735708958,0.0004188633316196,0.0120695776627799,Yellow,1509,34,0.0225314777998674,0.5323128432504243,0.7940969578734834,0.7952917836448643,0.3899744289988271,0.0681179874247277,0.0004139571508437,0.0136657060859718,Yellow,1509,35,0.0231941683233929,0.6492888117119304,0.8367760399667903,0.882831530500032,0.206797933436384,0.0424438440976473,0.0004219085070402,0.0135375891613254,Yellow
EWMA,AUDUSD,0.05,3518,1509,0.0010233915670121,3.378066855271098e-05,Red,-4.184970297819047e-06,-8.660474142846799e-06,1509,79,0.0523525513585155,0.6772220291369935,0.2217867790922275,0.434733889618317,0.1732698046520031,1.4927725615309555,0.0006982561736403,0.0101291088769954,Red,1509,61,0.0404241219350563,0.0778886740488257,0.7489979860508591,0.2008101184888585,3.108416038345574,0.102374964761168,0.0007024411439381,0.0111525004440075,Red,1509,69,0.0457256461232604,0.4398056971556563,0.4667620261246838,0.5693783413748441,0.5967892613832557,0.5296310235952433,0.0007069166477831,0.0108030963375589,Red
EWMA,AUDUSD,0.1,3518,1509,0.0005818348122956,0.0040666235494438,Red,-4.357310944053247e-06,-8.26961436346395e-06,1509,149,0.0987408880053015,0.8702480851266207,0.2639304483243103,0.5286905827108508,0.0266810577573921,1.2480227983619443,0.0011369390582108,0.0078918726421534,Red,1509,128,0.0848243870112657,0.0441795939561429,0.526099157786283,0.1079807213499223,4.0496847719107905,0.4019203757117111,0.0011412963691549,0.0084737074544491,Red,1509,151,0.1000662690523525,0.9931541681100852,0.2306757840190741,0.4875406444917251,7.361782707826503e-05,1.436689619579397,0.0011452086725743,0.0080539718272487,Red
EWMA,BOVESPA,0.01,4449,1907,0.0033029658715502,2.834975666348971e-05,Yellow,1.4309470651822965e-05,-1.331123572517344e-05,1907,36,0.0188778185631882,0.0005203587292957,0.2390509471701666,0.0012141398633492,12.041256881429952,1.386181887152418,0.0004887598788504,0.0293575795361035,Yellow,1907,21,0.0110120608285264,0.662063689371668,0.4939483075152202,0.7193046376432184,0.1910264408083222,0.4679141885719389,0.0004744504081986,0.0326605454076538,Green,1907,16,0.0083901415836392,0.4674054206631888,0.6027268709007119,0.6706533200665473,0.5281031675221737,0.2709027067294869,0.0005020711145755,0.0418665205833321,Green
EWMA,BOVESPA,0.025,4449,1907,0.0018466752975732,0.0034512161112946,Yellow,8.287268615763039e-06,-1.3357327913986737e-05,1907,63,0.0330361824855794,0.0320403768384323,0.3907449321555778,0.0694964986987348,4.596335211547935,0.7366226006838588,0.000938439936185,0.0247339614191436,Yellow,1907,51,0.02674357629785,0.6295771001852236,0.7368487667741008,0.8413267360821689,0.2326346760817816,0.1129156948054515,0.0009301526675693,0.0265806367167168,Yellow,1907,44,0.0230728893550078,0.5850650573111079,0.987213644543726,0.8614079171797953,0.2981173978177232,0.0002568328693541,0.000951797264099,0.0286523685548308,Yellow
