model,asset,method,n_test,viol,pihat,p_kup,p_ind,p_cc,lr_uc,lr_ind,QS,width,TL
EWMA,ASX200,Conformal,1946,34,0.0174717368961973,0.002738520174344,0.1413220068385143,0.0038152827796019,8.973975987429352,2.1635050003689003,0.0003483788229451,0.0237002015563694,Yellow
EWMA,ASX200,Hist-Quantile,1946,18,0.0092497430626927,0.7362045131729624,0.0098202626675747,0.0336968160443881,0.1134906811087361,6.667213169855842,0.0004640854993447,0.0285641703209055,Green
EWMA,ASX200,Isotonic,1946,31,0.0159301130524152,0.0155056719829086,0.0982744970936861,0.0136269747983775,5.8580831054911755,2.7333249137189455,0.0003595511404108,0.0240817654464466,Green
EWMA,ASX200,QR-Residual,1946,32,0.0164439876670092,0.0089449246709003,0.1114838481937623,0.0092472868799008,6.833790387764612,2.5330597737607263,0.0003488226095468,0.0235916356684833,Yellow
EWMA,ASX200,Raw,1946,54,0.0277492291880781,1.0265270486966576e-10,0.0187188398650789,5.3629092086560166e-11,41.77026590920674,5.527592955363843,0.0003908371828409,0.0203386103746192,Yellow
EWMA,ASX200,Scale,1946,32,0.0164439876670092,0.0089449246709003,0.1114838481937623,0.0092472868799008,6.833790387764612,2.5330597737607263,0.000346202649766,0.0241504434423547,Yellow
EWMA,ASX200,aci,1946,23,0.0118191161356628,0.4330486770160713,0.0019095594636965,0.0059487885587596,0.6146331079678902,9.634502259480968,0.0003620145169929,0.0289280594765335,Green
EWMA,ASX200,gamlss,1946,16,0.0082219938335046,0.4160326546161591,0.0058130897565997,0.0160119206577927,0.6614949804433525,7.607348605627976,0.0004775144584901,0.0295488106496504,Green
EWMA,ASX200,gbm,1946,32,0.0164439876670092,0.0089449246709003,0.0014999679143762,0.00021257352051,6.833790387764612,10.078654913367473,0.000361924797663,0.0224500113319407,Yellow
EWMA,ASX200,rolling,1946,18,0.0092497430626927,0.7362045131729624,0.1575887243832441,0.3480699216427465,0.1134906811087361,1.9972131091502092,0.0003642182152126,0.0306738308923899,Green
EWMA,AUDUSD,Conformal,1509,8,0.0053015241882041,0.0439067582976369,0.7701953420488126,0.1258406559678707,4.06014387718314,0.0853337378812,0.0002085401857988,0.0172731139518835,Green
EWMA,AUDUSD,Hist-Quantile,1509,1,0.0006626905235255,1.720414868467531e-06,0.9709395459224798,1.0725685460037131e-05,22.884411225558814,0.0013271401106358,0.0002535262973183,0.0232909192201192,Green
EWMA,AUDUSD,Isotonic,1509,12,0.0079522862823061,0.4070597035879053,0.6608312384265982,0.6440726721705772,0.6873719950089896,0.1925154335088734,0.0002043553536051,0.0163863878146622,Green
EWMA,AUDUSD,QR-Residual,1509,8,0.0053015241882041,0.0439067582976369,0.7701953420488126,0.1258406559678707,4.06014387718314,0.0853337378812,0.0002073988642874,0.0170794448428731,Green
EWMA,AUDUSD,Raw,1509,30,0.0198807157057654,0.0006741435788501,0.2697642029387475,0.0016806416347163,11.55921365084998,1.217945615261101,0.0002072640921809,0.0143257919828399,Yellow
EWMA,AUDUSD,Scale,1509,9,0.0059642147117296,0.0884557838789374,0.7423491021239206,0.2219810294677911,2.902254009878572,0.108072697339324,0.0002061352207901,0.0168514792309097,Green
EWMA,AUDUSD,aci,1509,17,0.0112657388999337,0.6281341833867395,0.5335279182097348,0.7326160157690425,0.2345994458859248,0.3876676887736323,0.0002110345148781,0.015964768715433,Green
EWMA,AUDUSD,gamlss,1509,8,0.0053015241882041,0.0439067582976369,0.7701953420488126,0.1258406559678707,4.06014387718314,0.0853337378812,0.0002174818146298,0.017828674437847,Green
EWMA,AUDUSD,gbm,1509,18,0.0119284294234592,0.464974509226856,0.5095895136679126,0.6160656571510124,0.5338935620562966,0.4349099076325444,0.0002085216001567,0.0151200430008954,Green
EWMA,AUDUSD,rolling,1509,12,0.0079522862823061,0.4070597035879053,0.6608312384265982,0.6440726721705772,0.6873719950089896,0.1925154335088734,0.0002197272552156,0.0176895973269029,Green
EWMA,BOVESPA,Conformal,1907,21,0.0110120608285264,0.662063689371668,0.4939483075152202,0.7193046376432184,0.1910264408083222,0.4679141885719389,0.0004744504081986,0.0326605454076538,Green
EWMA,BOVESPA,Hist-Quantile,1907,11,0.0057682223387519,0.04366210027958,0.0510524266986789,0.0194858479569028,4.069581124136539,3.806552521249984,0.0007038997799492,0.0456240483788071,Green
EWMA,BOVESPA,Isotonic,1907,283,0.1484006292606187,1.2206027385965255e-227,1.9646641095896884e-211,0.0,1037.576793731339,963.0165419173064,0.0043187230199545,0.0335771559593774,Red
EWMA,BOVESPA,QR-Residual,1907,17,0.0089145254326166,0.6274283797778917,0.5801537641258421,0.7627879663009001,0.2355642306841527,0.305986131463726,0.0004812040329584,0.0339306357535166,Green
EWMA,BOVESPA,Raw,1907,36,0.0188778185631882,0.0005203587292957,0.2390509471701666,0.0012141398633492,12.041256881429952,1.386181887152418,0.0004887598788504,0.0293575795361035,Yellow
EWMA,BOVESPA,Scale,1907,25,0.0131095962244362,0.1927311307249259,0.4149547965056198,0.3070981629949239,1.6966159623987256,0.6645597042706299,0.0004755696607278,0.032018290888006,Green
EWMA,BOVESPA,aci,1907,23,0.0120608285264813,0.380971339570285,0.4535024142244237,0.5144153562788447,0.7675651777979988,0.5618833296163643,0.0005049876304959,0.0386458828508734,Green
EWMA,BOVESPA,gamlss,1907,9,0.004719454640797,0.0097633974814299,0.7701108484044012,0.0339970656368845,6.677563808569614,0.0853983172063124,0.0004912441598986,0.0390883127624594,Green
EWMA,BOVESPA,gbm,1907,25,0.0131095962244362,0.1927311307249259,0.4149547965056198,0.3070981629949239,1.6966159623987256,0.6645597042706299,0.0005068481797508,0.0320400601208669,Green
EWMA,BOVESPA,rolling,1907,16,0.0083901415836392,0.4674054206631888,0.6027268709007119,0.6706533200665473,0.5281031675221737,0.2709027067294869,0.0005020711145755,0.0418665205833321,Green
EWMA,BTC,Conformal,1235,3,0.0024291497975708,0.0013440283815787,0.9037523491385384,0.0058119434489815,10.28105825393104,0.0146222728007572,0.0009207674912012,0.0851069300851201,Green
EWMA,BTC,Hist-Quantile,1235,1,0.0008097165991902,2.4827272918080928e-05,0.967874037440864,0.0001378045228801,17.77772669552818,0.0016220601939807,0.0011479087056969,0.1106491842175147,Green
EWMA,BTC,Isotonic,1235,7,0.0056680161943319,0.0957506422918428,0.7774736140602279,0.2399315292839339,2.7749333480831027,0.0798700339062605,0.0009945664469733,0.0891276036055081,Green
EWMA,BTC,QR-Residual,1235,1,0.0008097165991902,2.4827272918080928e-05,0.967874037440864,0.0001378045228801,17.77772669552818,0.0016220601939807,0.0010416921918001,0.0993630176624538,Green
EWMA,BTC,Raw,1235,26,0.0210526315789473,0.0006724584093345,0.2900710148775853,0.0017615176585774,11.563867345501423,1.1192917254873294,0.0008673873141669,0.0538516500151086,Yellow
EWMA,BTC,Scale,1235,5,0.0040485829959514,0.0169464137217412,0.8401498967771958,0.0566253061614186,5.701914982003203,0.0406835947355688,0.0008670410923261,0.0747149221554123,Green
EWMA,BTC,aci,1235,15,0.0121457489878542,0.4634407277698681,0.5434601152452405,0.6354841280821404,0.5375719665384038,0.3691643617516433,0.0008627258902872,0.0687771999897585,Green
EWMA,BTC,gamlss,1235,1,0.0008097165991902,2.4827272918080928e-05,0.967874037440864,0.0001378045228801,17.77772669552818,0.0016220601939807,0.0010645588412547,0.1028548289783061,Green
EWMA,BTC,gbm,1235,1,0.0008097165991902,2.4827272918080928e-05,0.967874037440864,0.0001378045228801,17.77772669552818,0.0016220601939807,0.0011154313913502,0.1070157499160308,Green
