variant,method,n,QS,pi
2026 only,Conformal,168,0.0005042995534615272,0.010806147126434625
2026 only,Hist-Quantile,168,0.0005845701419893228,0.008478086570007051
2026 only,Isotonic,168,0.0005477823729550798,0.015898725407256127
2026 only,QR-Residual,168,0.0005079101211375601,0.009985195058366342
2026 only,Raw,168,0.0005385694449461453,0.02188558439771061
2026 only,Scale,168,0.000510039754726688,0.011540038637528064
2026 only,aci,168,0.0005314460014358391,0.011739254827627301
2026 only,gamlss,168,0.0005260859898826525,0.007429658482251119
2026 only,gbm,168,0.0005535013429789206,0.01591655130011749
2026 only,rolling,168,0.000519450471432314,0.00895463014187998
All,Conformal,168,0.0004736337094498327,0.0094832064500019
All,Hist-Quantile,168,0.0005520367499042372,0.009487153361558536
All,Isotonic,168,0.0005308905102240942,0.014188798040343462
All,QR-Residual,168,0.0004774495923342501,0.009989259158915294
All,Raw,168,0.0004911576024724014,0.018516431708187592
All,Scale,168,0.00047933622672339686,0.009974256968876946
All,aci,168,0.0004936041646296627,0.012278976933070875
All,gamlss,168,0.0005024468267645756,0.00922557857068402
All,gbm,168,0.0005146189985619356,0.016545929209422102
All,rolling,168,0.0004990062844991156,0.008880601197438111
Exclude UNG,Conformal,161,0.00044001016638753977,0.009502127665239895
Exclude UNG,Hist-Quantile,161,0.0005015160315724893,0.008063460644213424
Exclude UNG,Isotonic,161,0.0004961081571755212,0.013947001005223681
Exclude UNG,QR-Residual,161,0.00044349988306720636,0.00982066113655785
Exclude UNG,Raw,161,0.00045724116451093867,0.018675399965028726
Exclude UNG,Scale,161,0.0004455633175563718,0.010046675709502923
Exclude UNG,aci,161,0.0004585467841759672,0.012280631047949799
Exclude UNG,gamlss,161,0.00046951624610670046,0.008919236936857774
Exclude UNG,gbm,161,0.0004610675812010312,0.015242867641093304
Exclude UNG,rolling,161,0.0004641714310242398,0.008860154605460973
Exclude commodity funds,Conformal,147,0.0004202805158079154,0.009413726667130858
Exclude commodity funds,Hist-Quantile,147,0.000484809660364213,0.007895197289861685
Exclude commodity funds,Isotonic,147,0.00048049926073353996,0.014097857042356677
Exclude commodity funds,QR-Residual,147,0.00042420481942741505,0.009734527752088058
Exclude commodity funds,Raw,147,0.00043581566503118256,0.018549260627928905
Exclude commodity funds,Scale,147,0.0004253873122577801,0.010038602678090966
Exclude commodity funds,aci,147,0.0004368964711581116,0.012341994298239177
Exclude commodity funds,gamlss,147,0.00045021856097783754,0.008972806100331606
Exclude commodity funds,gbm,147,0.00044085302853103404,0.014864859038211869
Exclude commodity funds,rolling,147,0.0004415021413793679,0.00897948727437556
