excluded_class,method,n_pairs,QS,normalised_QS
None,Conformal,168,0.0004736337094498328,0.03205107434008156
None,Gate-rolling,168,0.0004960239137808048,0.033660054270398115
None,Gate-static,168,0.0004736012998590014,0.03205424661759654
None,Hist-Quantile,168,0.0005520367499042372,0.03711292029657704
None,Isotonic,168,0.0005308905102240943,0.035656865344306954
None,QR-Residual,168,0.0004774495923342501,0.032031253666167436
None,Raw,168,0.0004911576024724014,0.03335272680939954
None,Scale,168,0.00047933622672339686,0.03260560362826918
None,aci,168,0.0004936041646296626,0.03347309584588225
None,gamlss,168,0.0005024468267645756,0.033960568175501325
None,gbm,168,0.0005146189985619356,0.03399162546892972
None,rolling,168,0.0004990062844991156,0.03385988384655707
Equity,Conformal,91,0.0005038743881558728,0.03210779443137627
Equity,Gate-rolling,91,0.0005232148453932922,0.03345219252429401
Equity,Gate-static,91,0.0005038683369047927,0.03211866149117804
Equity,Hist-Quantile,91,0.0005865649011902758,0.036748695293182275
Equity,Isotonic,91,0.000532127453932061,0.03420993502718787
Equity,QR-Residual,91,0.0005122645268270798,0.03215678137585865
Equity,Raw,91,0.0005175925066209701,0.033058064435401
Equity,Scale,91,0.0005088654706814735,0.03274826890494677
Equity,aci,91,0.0005239281386264506,0.033505180113413933
Equity,gamlss,91,0.0005403039418946847,0.03415715708700927
Equity,gbm,91,0.0005759606198820386,0.035410552355532664
Equity,rolling,91,0.0005280441753375317,0.03377337685008977
Bond ETF,Conformal,147,0.0005080831977717408,0.031522321801773126
Bond ETF,Gate-rolling,147,0.0005330527103372647,0.033246678442048
Bond ETF,Gate-static,147,0.000508007605542136,0.03152136666069553
Bond ETF,Hist-Quantile,147,0.0005932195804448075,0.036430042600104545
Bond ETF,Isotonic,147,0.0005688657752131742,0.034842223123428044
Bond ETF,QR-Residual,147,0.000513125946840173,0.031578710965578224
Bond ETF,Raw,147,0.0005277042564646081,0.032950602618313084
Bond ETF,Scale,147,0.0005134823729419723,0.03194142786157964
Bond ETF,aci,147,0.0005296623210709981,0.032964396768197145
Bond ETF,gamlss,147,0.000539346302820895,0.033272205224772027
Bond ETF,gbm,147,0.0005516877803342737,0.03308914776793384
Bond ETF,rolling,147,0.000535788530801173,0.033395604747967225
Commodity,Conformal,140,0.0004236679844534044,0.030782960507469197
Commodity,Gate-rolling,140,0.00044197738973343864,0.03226173283113234
Commodity,Gate-static,140,0.0004236467317084443,0.030787385945589538
Commodity,Hist-Quantile,140,0.0004908249352415543,0.035730957767836746
Commodity,Isotonic,140,0.00048662920300453883,0.034851067979373075
Commodity,QR-Residual,140,0.0004279415733027349,0.03076822420887883
Commodity,Raw,140,0.00043909668572950366,0.032002690757032354
Commodity,Scale,140,0.0004285667206591303,0.0313315852773425
Commodity,aci,140,0.00044006443408202233,0.032094916776155294
Commodity,gamlss,140,0.00045521953087930377,0.0329359623995763
Commodity,gbm,140,0.0004455672410665315,0.032027292200625744
Commodity,rolling,140,0.0004447451723474184,0.032471588340686496
Crypto,Conformal,154,0.0004170732427589334,0.032602903414307986
Crypto,Gate-rolling,154,0.0004402791009774134,0.03433292643775636
Crypto,Gate-static,154,0.00041709346270462315,0.03260797478777572
Crypto,Hist-Quantile,154,0.0004860927240777476,0.03771581115163396
Crypto,Isotonic,154,0.00047314516041289657,0.03637804993565755
Crypto,QR-Residual,154,0.00041566948496980294,0.03243388990787995
Crypto,Raw,154,0.00043466374442238654,0.0339920345491731
Crypto,Scale,154,0.0004237497857485819,0.03322006536506535
Crypto,aci,154,0.00043693970025634175,0.03411376307770561
Crypto,gamlss,154,0.0004336787399300441,0.03433339878924069
Crypto,gbm,154,0.00044689687392181996,0.03435339475926655
Crypto,rolling,154,0.00044253315998723396,0.034527925493091915
FX,Conformal,140,0.0005299875439093208,0.03323049829692717
FX,Gate-rolling,140,0.0005548353899795019,0.0348873710803051
FX,Gate-static,140,0.0005299142938323188,0.03322966058932454
FX,Hist-Quantile,140,0.0006201017225725349,0.03878547071825745
FX,Isotonic,140,0.0005979936605872549,0.03746523869680546
FX,QR-Residual,140,0.0005348258498150988,0.03324496008189167
FX,Raw,140,0.0005498050886819287,0.0346132852917556
FX,Scale,140,0.0005362033557577058,0.033808366193903656
FX,aci,140,0.0005519031586266417,0.034659820218277265
FX,gamlss,140,0.0005619674434741255,0.035170058582098665
FX,gbm,140,0.0005793708184424453,0.03558331162761693
FX,rolling,140,0.0005578918459517519,0.035057056142462385
