comparator,reference,block_calendar_days,B,difference,lower,upper
Raw,Conformal,20,999,0.17523893022568193,0.023397241727874,0.35018926820010987
Scale,Conformal,20,999,0.057025172735640506,0.016844572169134844,0.09055919951726175
QR-Residual,Conformal,20,999,0.03815882884417054,-0.0014901612093338463,0.10202790916337054
Isotonic,Conformal,20,999,0.5725680077426135,0.41647610645896266,0.7560825509718399
Hist-Quantile,Conformal,20,999,0.7840304045440415,0.48847400046304545,1.2799158689894945
aci,Conformal,20,999,0.19970455179829605,0.09290839439620133,0.2879920118760603
rolling,Conformal,20,999,0.2537257504928278,0.1206702927683783,0.35790128889471257
gamlss,Conformal,20,999,0.28813117314742376,0.17268143020871324,0.4310594323844632
gbm,Conformal,20,999,0.4098528911210264,0.2029725373997078,0.6703698206702099
Gate-static,Conformal,20,999,-0.00032409590831374013,-0.011612523106511811,0.01319547685129632
Gate-rolling,Conformal,20,999,0.22390204330971908,0.09240013599519485,0.3273782151340802
Gate-static,Raw,20,999,-0.1755630261339957,-0.3415601520402263,-0.03339257060053698
Gate-rolling,Raw,20,999,0.048663113084037146,-0.1948923332201832,0.25658257644567684
Gate-static,Conformal,20,999,-0.00032409590831374013,-0.011612523106511811,0.01319547685129632
Gate-rolling,rolling,20,999,-0.029823707183108734,-0.044258189549164544,-0.01336673713199895
Raw,Conformal,60,999,0.17523893022568193,0.012404212507410741,0.3598387174597739
Scale,Conformal,60,999,0.057025172735640506,0.02221156354534359,0.09097000258016133
QR-Residual,Conformal,60,999,0.03815882884417054,-0.0005556818782723617,0.09362457496896406
Isotonic,Conformal,60,999,0.5725680077426135,0.3532001142875188,0.7966173445658487
Hist-Quantile,Conformal,60,999,0.7840304045440415,0.47778300497347836,1.19361890264074
aci,Conformal,60,999,0.19970455179829605,0.09532419378478404,0.30364115896426264
rolling,Conformal,60,999,0.2537257504928278,0.104620129978241,0.4033347575397866
gamlss,Conformal,60,999,0.28813117314742376,0.15625098969500895,0.41901414363613526
gbm,Conformal,60,999,0.4098528911210264,0.1745451132804457,0.6620669381043686
Gate-static,Conformal,60,999,-0.00032409590831374013,-0.012756659486114154,0.013617856859796676
Gate-rolling,Conformal,60,999,0.22390204330971908,0.08137574162550565,0.3663462698452246
Gate-static,Raw,60,999,-0.1755630261339957,-0.3473258662713066,-0.023980164946256453
Gate-rolling,Raw,60,999,0.048663113084037146,-0.21978675296115954,0.28521131874582667
Gate-static,Conformal,60,999,-0.00032409590831374013,-0.012756659486114154,0.013617856859796676
Gate-rolling,rolling,60,999,-0.029823707183108734,-0.047629954055086986,-0.011827256293932864
