model,asset,method,first,last,n_test,viol,pihat,p_kup,p_ind,p_cc,lr_uc,lr_ind,QS,width,TL
Moirai-1.1,ASX200,Raw,2019-04-12,2026-08-31,1868,40,0.021413276231263382,1.680583741231791e-05,0.062368585613398184,1.6751272999566342e-05,18.52082065718411,3.4732519480297697,0.0004174644944731861,0.02515249191897042,Yellow
Moirai-1.1,ASX200,Conformal,2019-04-12,2026-08-31,1868,26,0.013918629550321198,0.10805403467309115,0.05200243556188387,0.04162425821970111,2.582453885274525,3.7756904175015507,0.0004009666017294005,0.027135768678172974,Green
Lag-Llama,ASX200,Raw,2019-04-12,2026-08-31,1868,77,0.04122055674518201,2.8272007188222758e-24,0.4624664599063223,2.7759286064282366e-23,103.33702502143355,0.5399186079557694,0.0004768263912883422,0.01957418406962535,Red
Lag-Llama,ASX200,Conformal,2019-04-12,2026-08-31,1868,27,0.014453961456102784,0.06969483266736515,0.40612830763013097,0.1366749919014859,3.290192925464062,0.6901060614457037,0.00036822803370916844,0.02680526672170838,Green
GJR-GARCH,ASX200,Raw,2019-04-12,2026-08-31,1868,53,0.028372591006423982,6.918869368124776e-11,0.07921729725273155,1.2392682192082532e-10,42.54177242175382,3.0808873189019437,0.0003596936880429737,0.01953873664149465,Yellow
GJR-GARCH,ASX200,Conformal,2019-04-12,2026-08-31,1868,34,0.018201284796573874,0.0013945815131484235,0.024521483499262295,0.0004831630685842266,10.21294696741315,5.057365722936424,0.0003227008903123651,0.022375517304196804,Yellow
GJR-GARCH-t,ASX200,Raw,2019-04-12,2026-08-31,1868,48,0.02569593147751606,1.2374883404081292e-08,0.04008896813933184,1.1052533592864586e-08,32.427097071709234,4.214115229975107,0.0003462396848766717,0.020957271695667523,Yellow
GJR-GARCH-t,ASX200,Conformal,2019-04-12,2026-08-31,1868,31,0.016595289079229122,0.008877277959583063,0.014097163207581438,0.0016017746193327613,6.847351420565143,6.025934834017903,0.00032350224547827186,0.02321933385269555,Yellow
GARCH-N,ASX200,Raw,2019-04-12,2026-08-31,1868,53,0.028372591006423982,6.918869368124776e-11,0.018896098274434458,3.676631576733205e-11,42.54177242175382,5.511105622917455,0.00037698042216345454,0.019666563457181447,Yellow
GARCH-N,ASX200,Conformal,2019-04-12,2026-08-31,1868,31,0.016595289079229122,0.008877277959583063,0.014097163207581438,0.0016017746193327613,6.847351420565143,6.025934834017903,0.0003323165988261086,0.023219268999997968,Yellow
Hist-Sim,ASX200,Raw,2019-04-12,2026-08-31,1868,31,0.016595289079229122,0.008877277959583063,0.0013531355625890696,0.00019200772759767548,6.847351420565143,10.268598457118571,0.0004504576422087383,0.02780735277741777,Yellow
Hist-Sim,ASX200,Conformal,2019-04-12,2026-08-31,1868,18,0.009635974304068522,0.8735977623260788,1.1582116274926252e-05,6.585053111445557e-05,0.0253097106481186,19.230936417928007,0.0004414907600563472,0.030476941576492205,Green
EWMA,ASX200,Raw,2019-04-12,2026-08-31,1868,54,0.028907922912205567,2.315161836044023e-11,0.022238171411678904,1.451795741504985e-11,44.68421588644415,5.227053694199924,0.000399466642902465,0.020474217713475865,Yellow
EWMA,ASX200,Conformal,2019-04-12,2026-08-31,1868,34,0.018201284796573874,0.0013945815131484235,0.15267557163121617,0.002178475357736729,10.21294696741315,2.045313080675726,0.0003538317341878565,0.023835808895226154,Yellow
CAViaR-SAV,ASX200,Raw,2019-04-12,2026-08-31,1868,34,0.018201284796573874,0.0013945815131484235,0.024521483499262295,0.0004831630685842266,10.21294696741315,5.057365722936424,0.0003265494958403234,0.023475529926559095,Yellow
CAViaR-SAV,ASX200,Conformal,2019-04-12,2026-08-31,1868,34,0.018201284796573874,0.0013945815131484235,0.024521483499262295,0.0004831630685842266,10.21294696741315,5.057365722936424,0.0003265454218602064,0.023476026675570756,Yellow
CAViaR-AS,ASX200,Raw,2019-04-12,2026-08-31,1868,36,0.019271948608137045,0.00035421740792358417,0.034269074732209436,0.0001804001515928126,12.759437469952758,4.481228750089599,0.00031827287707164673,0.022374769041087667,Yellow
CAViaR-AS,ASX200,Conformal,2019-04-12,2026-08-31,1868,36,0.019271948608137045,0.00035421740792358417,0.034269074732209436,0.0001804001515928126,12.759437469952758,4.481228750089599,0.0003182629450487076,0.02237584023155247,Yellow
GAS-t,ASX200,Raw,2019-04-12,2026-08-31,1868,46,0.02462526766595289,8.560643447839218e-08,0.005212913612906774,1.1986631640291951e-08,28.6748932188777,7.8040544573757415,0.0003763085636300858,0.022418424355078428,Yellow
GAS-t,ASX200,Conformal,2019-04-12,2026-08-31,1868,35,0.01873661670235546,0.0007122245637777629,0.17056203444171766,0.0012715305847708818,11.457071347808359,1.8779964908015927,0.00036307062861799507,0.023617802157292835,Yellow
EVT-POT,ASX200,Raw,2019-04-12,2026-08-31,1868,26,0.013918629550321198,0.10805403467309115,0.004736204208782293,0.005092522818307899,2.582453885274525,7.977509972937412,0.00033195141559873894,0.024654280234631596,Green
FHS,ASX200,Raw,2019-04-12,2026-08-31,1868,28,0.014989293361884369,0.0435710007315632,0.00753917786297172,0.0036740813254331484,4.073109350273338,7.139794963809436,0.0003328651427632675,0.02440217659391534,Green
Moirai-1.1,AUDUSD,Raw,2021-03-02,2026-08-31,1430,11,0.007692307692307693,0.36063737269468565,0.6795218156059621,0.6046118673938388,0.835672519434933,0.1706646172148396,0.00022691243179499972,0.01828055783559835,Green
