model,asset,variant,n_cal,n_original_test,gap,memory_proxy,rho,qV,n_test,viol,pihat,p_kup,p_ind,p_cc,lr_uc,lr_ind,QS,width,TL
Moirai-1.1,ASX200,Contiguous,4356,1868,0,512,0.23374779934327558,0.0019832767592025576,1868,26,0.013918629550321198,0.10805403467309115,0.05200243556188387,0.04162425821970111,2.582453885274525,3.7756904175015507,0.0004009666017294005,0.027135768678172974,Green
Moirai-1.1,ASX200,Logarithmic,4356,1868,7,512,0.23374779934327558,0.0019832767592025576,1861,26,0.013970983342289092,0.1043118293137101,0.05239706450404011,0.04073377423528814,2.6383500018121957,3.7630453919166484,0.000401525733474331,0.027158598213485916,Green
Moirai-1.1,ASX200,Full proxy,4356,1868,519,512,0.23374779934327558,0.0019832767592025576,1349,13,0.009636767976278725,0.8926920595712182,0.6148395344003842,0.8731110074160816,0.018197627812063577,0.2531875221178268,0.0002876237604785256,0.025323741675360115,Green
Lag-Llama,ASX200,Contiguous,4356,1868,0,512,0.16668919416918612,0.00723108265208303,1868,27,0.014453961456102784,0.06969483266736515,0.40612830763013097,0.1366749919014859,3.290192925464062,0.6901060614457037,0.00036822803370916844,0.02680526672170838,Green
Lag-Llama,ASX200,Logarithmic,4356,1868,6,512,0.16668919416918612,0.00723108265208303,1862,27,0.014500537056928034,0.0674264628655952,0.4075041158551025,0.13327667689706943,3.3445853983281246,0.6860706699113166,0.0003686431235906203,0.026824852727812497,Green
Lag-Llama,ASX200,Full proxy,4356,1868,518,512,0.16668919416918612,0.00723108265208303,1350,14,0.01037037037037037,0.8918645490442476,0.5878983741302808,0.8555080906563086,0.018481115858041575,0.29363834108042397,0.000293964817834836,0.025157212244355173,Green
GJR-GARCH,ASX200,Contiguous,4540,1946,0,250,0.45341264702629774,0.0028367806627021524,1946,34,0.017471736896197326,0.0027385201743440634,0.02181688283565573,0.000811072632324404,8.973975987429352,5.2603299103493555,0.00031731903604649645,0.022180768058638917,Yellow
GJR-GARCH,ASX200,Logarithmic,4540,1946,12,250,0.45341264702629774,0.0028367806627021524,1934,34,0.017580144777662874,0.002477525433355843,0.022206598300923166,0.0007515888853765976,9.157117332404578,5.229524824564521,0.000317599177683651,0.02216166992476703,Yellow
GJR-GARCH,ASX200,Full proxy,4540,1946,262,250,0.45341264702629774,0.0028367806627021524,1684,29,0.0172209026128266,0.006917906144378783,0.09977428840452425,0.006726808920348009,7.294161162512729,2.7091476479386642,0.00032528556795257345,0.022772986719641657,Yellow
GJR-GARCH-t,ASX200,Contiguous,4540,1946,0,250,0.44989963838402014,0.0022620621570280317,1946,31,0.01593011305241521,0.015505671982908642,0.012511561333104214,0.0023637894464189828,5.8580831054911755,6.236895394636008,0.00031846009397937204,0.02302794485275089,Green
GJR-GARCH-t,ASX200,Logarithmic,4540,1946,12,250,0.44989963838402014,0.0022620621570280317,1934,31,0.016028955532574975,0.014277700305878285,0.01273969188508614,0.0022334878262011376,6.0034785777011415,6.204903157768683,0.0003186689246339543,0.02300626414803121,Yellow
GJR-GARCH-t,ASX200,Full proxy,4540,1946,262,250,0.44989963838402014,0.0022620621570280317,1684,26,0.015439429928741092,0.03775387841145818,0.06402488217059844,0.020795839464928273,4.316076410073062,3.4299282659414985,0.00032714263230112974,0.02364236677122036,Green
GARCH-N,ASX200,Contiguous,4540,1946,0,250,0.47567648463138473,0.0035527055428165224,1946,31,0.01593011305241521,0.015505671982908642,0.012511561333104214,0.0023637894464189828,5.8580831054911755,6.236895394636008,0.0003274679254440758,0.023082560296130313,Green
GARCH-N,ASX200,Logarithmic,4540,1946,13,250,0.47567648463138473,0.0035527055428165224,1933,31,0.01603724780134506,0.014179121293227471,0.012758948515462857,0.002222846250231509,6.015703949349589,6.202229669811743,0.00032762234241126857,0.02305019269694647,Yellow
