model,asset,w,k,effective_rank,n_test,viol,pihat,p_kup,p_ind,p_cc,lr_uc,lr_ind,QS,width,TL
Moirai-1.1,ASX200,125,125,1.0,1868,15,0.008029978586723769,0.3755490816775118,0.10825557572330614,0.18593417305571797,0.7852211044168618,2.5795040480068394,0.0003886846612913249,0.033343867039866276,Green
Moirai-1.1,ASX200,250,249,0.996,1868,16,0.008565310492505354,0.5228788321262499,0.1257590691263792,0.2525489846167731,0.40821119323599664,2.344088907963453,0.00039244809966625305,0.03248630992531187,Green
Moirai-1.1,ASX200,500,496,0.992,1868,22,0.011777301927194861,0.4527008540074843,0.2597950939013855,0.3997705049250113,0.5638807193058692,1.2698485491182794,0.0004091282442119107,0.03192235080930259,Green
Lag-Llama,ASX200,125,125,1.0,1868,13,0.006959314775160599,0.162336879021973,0.6693955192997445,0.3439304281863091,1.952321755365725,0.18231001604866037,0.00037154861393214387,0.0321255385600443,Green
Lag-Llama,ASX200,250,249,0.996,1868,13,0.006959314775160599,0.162336879021973,0.6693955192997445,0.3439304281863091,1.952321755365725,0.18231001604866037,0.0003905176057683403,0.03350913686885491,Green
Lag-Llama,ASX200,500,496,0.992,1868,20,0.010706638115631691,0.761529198789148,0.5104506065967827,0.7690343375291312,0.09209603853567927,0.43314327804401387,0.0003668274886837501,0.029663282504547688,Green
GJR-GARCH,ASX200,125,125,1.0,1946,18,0.009249743062692703,0.7362045131729624,0.009820262667574714,0.03369681604438819,0.11349068110873617,6.667213169855842,0.0003330498302831112,0.02929302556198383,Green
GJR-GARCH,ASX200,250,249,0.996,1946,14,0.007194244604316547,0.19034379005443178,0.003182003273331204,0.005475316629646437,1.7149546483832125,8.700055697722547,0.0003367044565618401,0.028769706322195453,Green
GJR-GARCH,ASX200,500,496,0.992,1946,18,0.009249743062692703,0.7362045131729624,0.009820262667574714,0.03369681604438819,0.11349068110873617,6.667213169855842,0.00030813295506571865,0.02583248299627619,Green
GJR-GARCH-t,ASX200,125,125,1.0,1946,21,0.01079136690647482,0.7290252665789627,0.001054789655267426,0.004407619214831103,0.12000850388074102,10.728832687885443,0.00033569196571589055,0.02959187465296923,Green
GJR-GARCH-t,ASX200,250,249,0.996,1946,17,0.008735868448098663,0.5667700189124172,0.13816712918006835,0.2827518483003686,0.32811692737849363,2.198254326893391,0.0003391463985685141,0.02925210267430805,Green
GJR-GARCH-t,ASX200,500,496,0.992,1946,19,0.009763617677286743,0.9162055072617864,0.01246250472406474,0.04382890882104908,0.011070116996055979,6.243853204145751,0.00031313474332438123,0.026580366330841165,Green
GARCH-N,ASX200,125,125,1.0,1946,20,0.010277492291880781,0.9025256897716922,0.0007645665894978022,0.0034472860174771212,0.014999245420873608,11.32533679281974,0.0003588893258907526,0.03062485372918742,Green
GARCH-N,ASX200,250,249,0.996,1946,17,0.008735868448098663,0.5667700189124172,0.007620702483832496,0.024129660623275196,0.32811692737849363,7.120510000537877,0.0003421132840620971,0.028736572151957563,Green
GARCH-N,ASX200,500,496,0.992,1946,23,0.011819116135662899,0.4330486770160713,0.0019095594636965782,0.005948788558759632,0.6146331079678902,9.634502259480968,0.0003256577084258572,0.0264991446644539,Green
Hist-Sim,ASX200,125,125,1.0,1946,32,0.01644398766700925,0.008944924670900394,0.0014999679143762508,0.00021257352051001286,6.833790387764612,10.078654913367473,0.0004500231587371249,0.03461500566998651,Yellow
Hist-Sim,ASX200,250,249,0.996,1946,27,0.013874614594039054,0.10464791089558743,0.38898860645055056,0.18494975938849192,2.6332408836426584,0.7421012396750939,0.0004959251573854501,0.037627377749384794,Green
Hist-Sim,ASX200,500,496,0.992,1946,18,0.009249743062692703,0.7362045131729624,9.799397761776113e-06,5.3715378337966814e-05,0.11349068110873617,19.55013176376778,0.0004416716578065659,0.031680461152936955,Green
EWMA,ASX200,125,125,1.0,1946,16,0.008221993833504625,0.4160326546161591,0.005813089756599762,0.0160119206577927,0.6614949804433525,7.607348605627976,0.0003671284149252709,0.03159625923550659,Green
EWMA,ASX200,250,249,0.996,1946,18,0.009249743062692703,0.7362045131729624,0.15758872438324417,0.3480699216427465,0.11349068110873617,1.9972131091502092,0.00036421821521269156,0.030673830892389908,Green
EWMA,ASX200,500,496,0.992,1946,21,0.01079136690647482,0.7290252665789627,0.019286563284034528,0.06095153089012386,0.12000850388074102,5.475344108565366,0.00033855088592070194,0.02737108609406922,Green
Moirai-1.1,AUDUSD,125,125,1.0,1430,10,0.006993006993006993,0.22700036707481575,0.7073428671199954,0.4492157291581639,1.4595585879513298,0.14094549363973385,0.0002593724692125815,0.022420878288676064,Green
