asset,model,mult,pred_sd_ratio,implied_z,pi,kup,mono
SP500,GJR-GARCH,-2.965891924162132,0.881412666868337,-3.3649299989072756,0.004268593006074536,3.878078157493192e-07,1.0
SP500,GARCH-N,-2.1263032923944376,0.9140091712513623,-2.3263478740408408,0.022656378263011,0.0,1.0
STOXX,GJR-GARCH,-2.901254080393249,0.8622033983873068,-3.3649299989072756,0.004794246903715541,3.800102317585985e-05,1.0
STOXX,GARCH-N,-2.0893891761551617,0.8981413310838657,-2.3263478740408408,0.02317219336795845,1.2212453270876722e-15,1.0
GDAXI,GJR-GARCH,-3.003037153712846,0.8924515977117056,-3.3649299989072756,0.0035743298131600326,5.26582444315693e-09,1.0
GDAXI,GARCH-N,-2.1479717222792853,0.9233235262223625,-2.3263478740408408,0.021121039805036556,2.2870594307278225e-14,1.0
FCHI,GJR-GARCH,-2.9739589649225575,0.8838100542621445,-3.3649299989072756,0.004032908533634457,8.034884413365972e-08,1.0
FCHI,GARCH-N,-2.105993903944995,0.9052790115550976,-2.3263478740408408,0.01968059364413615,1.3309131574601452e-11,1.0
FTSE100,GJR-GARCH,-2.970045070558994,0.8826469113840358,-3.3649299989072756,0.004411043947067473,7.765412104454583e-07,1.0
FTSE100,GARCH-N,-2.1032842725997174,0.9041142539642343,-2.3263478740408408,0.02172847573925829,1.4432899320127035e-15,1.0
ICLN,GJR-GARCH,-3.1806770652007472,0.94524315995686,-3.3649299989072756,0.004797979797979798,0.0002514593939596521,1.0
ICLN,GARCH-N,-2.210110369687558,0.9500343411016259,-2.3263478740408408,0.01893939393939394,4.857812692105057e-07,1.0
NIKKEI,GJR-GARCH,-3.039385925076227,0.9032538347196626,-3.3649299989072756,0.004392633890859942,1.0746606219358412e-06,1.0
NIKKEI,GARCH-N,-2.1295434672112235,0.9154019873701131,-2.3263478740408408,0.019766852508869743,2.6703195210586728e-11,1.0
HSI,GJR-GARCH,-3.1031965637819114,0.9222172719163966,-3.3649299989072756,0.0031895249286553636,7.091323084296164e-10,1.0
HSI,GARCH-N,-2.1819106093708176,0.9379124393725614,-2.3263478740408408,0.018633540372670808,2.234404328227413e-09,1.0
BOVESPA,GJR-GARCH,-3.133007813560127,0.931076668631305,-3.3649299989072756,0.0030035040881027865,1.6398393754002427e-10,1.0
BOVESPA,GARCH-N,-2.199753716194229,0.9455824473806153,-2.3263478740408408,0.015184381778741865,0.00017885185128507786,1.0
NIFTY,GJR-GARCH,-3.0695327159073695,0.9122129485321141,-3.3649299989072756,0.0024758603614756128,8.797007122751666e-09,1.0
NIFTY,GARCH-N,-2.1564017927347234,0.926947262186148,-2.3263478740408408,0.020549641000247587,3.6564135053041014e-09,1.0
ASX200,GJR-GARCH,-3.081020313627014,0.9156268673130025,-3.3649299989072756,0.0035935968637700096,6.556015841319152e-09,1.0
ASX200,GARCH-N,-2.1705785373217585,0.9330412538652214,-2.3263478740408408,0.022051617118588697,3.3306690738754696e-16,1.0
CBU0,GJR-GARCH,-3.2151588456132147,0.9554905589885385,-3.3649299989072756,0.008573178199632579,0.40087348113342747,0.9988620199146515
CBU0,GARCH-N,-2.298528088171347,0.9880414334502899,-2.3263478740408408,0.016227801592161667,0.0010331749292886716,1.0
TLT,GJR-GARCH,-3.2817310693580524,0.9752746923186393,-3.3649299989072756,0.0012851110703139342,3.3306690738754696e-16,1.0
TLT,GARCH-N,-2.2857035590646415,0.982528702852338,-2.3263478740408408,0.011565999632825409,0.257052151710626,1.0
IBGL,GJR-GARCH,-3.278119097831444,0.9742012757757154,-3.3649299989072756,0.003659429129055867,2.7439426643072196e-06,1.0
IBGL,GARCH-N,-2.2428607613775204,0.9641123696094926,-2.3263478740408408,0.018541107587216395,9.011628068211763e-07,1.0
DJCI,GJR-GARCH,-3.188913803899022,0.947690978693342,-3.3649299989072756,0.0034438226431338786,0.00023798073973246847,1.0
DJCI,GARCH-N,-2.2260592426695185,0.9568900969238441,-2.3263478740408408,0.017649591046061126,0.0008250046624327378,1.0
GOLD,GJR-GARCH,-3.4030872649091437,1.0113396908744785,-3.3649299989072756,0.005076142131979695,2.637788303805344e-05,1.0
