asset,method,n_shipped,n_rerun,n_common,max_abs_diff,frac_exact,z_shipped,z_rerun,max_abs_dmean,verdict
SP500,hs,6340,6340,6340,9.71445146547012e-17,1.0,-2.728435625736328,-2.728435625736328,1.734723475976807e-18,REPRODUCES
SP500,ewma,6340,6340,6340,6.094541231752015e-08,0.0003548895899053628,-2.3263478740408408,-2.3263478740408408,0.0,ROUNDOFF
SP500,ewma_recursive,6340,6340,6340,2.9010050611733007e-10,0.9863170347003155,-2.3263478740408408,-2.3263478740408408,0.0,ROUNDOFF
SP500,garch_n,6340,6340,6340,0.005537668794275303,0.0,-2.3263478740408408,-2.3263478740408408,0.0018375090510781554,DATA_REVISED
SP500,gjr_garch,6340,6340,6340,0.0,1.0,-2.3263478740408408,-2.3263478740408408,0.0,REPRODUCES
STOXX,hs,5255,5255,5255,7.979727989493313e-17,1.0,-2.6964753606743113,-2.6964753606743113,1.951563910473908e-18,REPRODUCES
STOXX,ewma,5255,5255,5255,4.6161799240745927e-08,0.0008087535680304473,-2.3263478740408408,-2.3263478740408408,0.0,ROUNDOFF
STOXX,ewma_recursive,5255,5255,5255,1.3715342889186743e-09,0.9777830637488106,-2.3263478740408408,-2.3263478740408408,0.0,ROUNDOFF
STOXX,garch_n,5255,5255,5255,0.013793883496929133,0.0,-2.3263478740408408,-2.3263478740408408,0.0017049835676589378,DATA_REVISED
STOXX,gjr_garch,5255,5255,5255,0.0,1.0,-2.3263478740408408,-2.3263478740408408,0.0,REPRODUCES
GDAXI,hs,6404,6404,6404,9.020562075079397e-17,1.0,-2.6611611587584707,-2.6611611587584707,1.951563910473908e-18,REPRODUCES
GDAXI,ewma,6404,6404,6404,4.461892774351717e-08,0.000429419113054341,-2.3263478740408408,-2.3263478740408408,0.0,ROUNDOFF
GDAXI,ewma_recursive,6404,6404,6404,2.0025532898593212e-09,0.9803247970018738,-2.3263478740408408,-2.3263478740408408,0.0,ROUNDOFF
GDAXI,garch_n,6404,6404,6404,0.011225278872682029,0.0,-2.3263478740408408,-2.3263478740408408,0.0030685756628735304,DATA_REVISED
GDAXI,gjr_garch,6404,6404,6404,0.0,1.0,-2.3263478740408408,-2.3263478740408408,0.0,REPRODUCES
FCHI,hs,6448,6448,6448,5.551115123125783e-17,1.0,-2.6367203630819285,-2.636720363081928,1.951563910473908e-18,REPRODUCES
