model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width,converged
Chronos-Small,ASX200,1833,33,0.01800327332242226,0.001961909828656072,Yellow,0.0003750537289313372,0.027615391319385695,1
Chronos-Small,AUDUSD,1395,1,0.0007168458781362007,5.232900054830125e-06,Green,0.000253967756697722,0.023160071157634316,1
Chronos-Small,BOVESPA,1794,11,0.006131549609810479,0.07611071317315499,Green,0.0004818102655195331,0.03884990436315684,1
Chronos-Small,BTC,1107,2,0.0018066847335140017,0.0007462012875126822,Green,0.0010871931136321056,0.1036634224820932,1
Chronos-Small,CBU0,976,28,0.028688524590163935,1.7193624769484828e-06,Yellow,0.0001769928676663153,0.009638155623522226,1
Chronos-Small,DJCI,693,12,0.017316017316017316,0.07952006629122066,Yellow,0.00043850245684849297,0.02287153915055672,1
Chronos-Small,ETH,762,8,0.010498687664041995,0.8908428750466807,Green,0.0012472100063468832,0.10485909050755723,1
Chronos-Small,EURUSD,1582,2,0.0012642225031605564,1.0117645425467003e-05,Green,0.00019039755875191596,0.018369903986466422,1
Chronos-Small,FCHI,1856,1,0.0005387931034482759,5.7518323326455345e-08,Green,0.0005738694083522388,0.05661412173617487,1
Chronos-Small,FTSE100,1833,26,0.014184397163120567,0.09027554520864756,Green,0.0003804233681160716,0.02610771656551148,1
Chronos-Small,GBPUSD,1585,10,0.006309148264984227,0.11311915690915664,Green,0.00020412119686087125,0.01590211809509489,1
Chronos-Small,GDAXI,1843,26,0.01410743353228432,0.09511965252644872,Green,0.00045486980175990245,0.03202061601467932,1
Chronos-Small,GOLD,1770,19,0.010734463276836158,0.7589170341489639,Green,0.0004370992710725406,0.029156125920330775,1
Chronos-Small,HSI,1784,2,0.0011210762331838565,1.5633457042252275e-06,Green,0.0007052267244419799,0.06562385638969949,1
Chronos-Small,IBGL,1226,10,0.008156606851549755,0.5027775030159605,Green,0.00023598352456512278,0.02157729573285673,1
Chronos-Small,ICLN,1185,11,0.009282700421940928,0.8016638096754556,Green,0.0005380824636096263,0.04301917136198022,1
Chronos-Small,NATGAS,1771,27,0.015245623941276116,0.03944703006413963,Green,0.0013853184841547243,0.10301527400392632,1
Chronos-Small,NIFTY,1208,4,0.0033112582781456954,0.006623197319937546,Green,0.0003458120014038679,0.029550847798063783,1
