model,asset,method,law,n_test,qV,VaR1_mean,ES975_mean,zone,multiplier,component,multiplier_hi,component_hi
Moirai-1.1,ASX200,Raw,draws,1868,0.0019832767592025576,0.02515249191897042,0.02869279255678706,Red,2.0,0.05738558511357412,2.0,0.05738558511357412
Moirai-1.1,ASX200,Static,draws,1868,0.0019832767592025576,0.027135768678172974,0.030676069315989613,Yellow,1.7,0.05214931783718234,1.92,0.058898053086700056
Lag-Llama,ASX200,Raw,draws,1868,0.00723108265208303,0.01957418406962535,0.022244580203130828,Red,2.0,0.044489160406261656,2.0,0.044489160406261656
Lag-Llama,ASX200,Static,draws,1868,0.00723108265208303,0.02680526672170838,0.029475662855213854,Yellow,1.7,0.05010862685386355,1.92,0.0565932726820106
GJR-GARCH,ASX200,Raw,normal,1868,0.0028367806627021524,0.01953873664149465,0.019636125526672443,Red,2.0,0.039272251053344885,2.0,0.039272251053344885
GJR-GARCH,ASX200,Static,normal,1868,0.0028367806627021524,0.022375517304196804,0.022472906189374593,Yellow,1.7,0.038203940521936805,1.92,0.04314797988359922
GJR-GARCH-t,ASX200,Raw,student,1868,0.0021944984624532697,0.020957271695667523,0.02158295807091581,Red,2.0,0.04316591614183162,2.0,0.04316591614183162
GJR-GARCH-t,ASX200,Static,student,1868,0.0021944984624532697,0.02315177015812079,0.023777456533369084,Yellow,1.7,0.04042167610672744,1.92,0.04565271654406864
GARCH-N,ASX200,Raw,normal,1868,0.0035527055428165224,0.019666563457181447,0.019765612966006433,Red,2.0,0.039531225932012866,2.0,0.039531225932012866
GARCH-N,ASX200,Static,normal,1868,0.0035527055428165224,0.023219268999997968,0.023318318508822954,Yellow,1.7,0.03964114146499902,1.92,0.04477117153694007
Hist-Sim,ASX200,Raw,window,1868,0.0026695887990744287,0.02780735277741777,0.02943597910219082,Yellow,1.7,0.05004116447372439,1.92,0.05651707987620637
Hist-Sim,ASX200,Static,window,1868,0.0026695887990744287,0.030476941576492205,0.03210556790126525,Green,1.5,0.048158351851897874,1.5,0.048158351851897874
EWMA,ASX200,Raw,normal,1868,0.003311090851315531,0.020474217713475865,0.0205750325962914,Red,2.0,0.0411500651925828,2.0,0.0411500651925828
EWMA,ASX200,Static,normal,1868,0.003311090851315531,0.023785308564791392,0.023886123447606933,Yellow,1.7,0.04060640986093179,1.92,0.04586135701940531
Moirai-1.1,AUDUSD,Raw,draws,1430,0.0008843846966506176,0.01828055783559835,0.0202087697774771,Green,1.5,0.030313154666215654,1.5,0.030313154666215654
Moirai-1.1,AUDUSD,Static,draws,1430,0.0008843846966506176,0.019164942532248968,0.02109315447412772,Green,1.5,0.03163973171119158,1.5,0.03163973171119158
Lag-Llama,AUDUSD,Raw,draws,1430,0.004876360535021048,0.01432978661511406,0.016209834015876105,Red,2.0,0.03241966803175221,2.0,0.03241966803175221
Lag-Llama,AUDUSD,Static,draws,1430,0.004876360535021048,0.019206147150135106,0.021086194550897157,Green,1.5,0.03162929182634573,1.5,0.03162929182634573
GJR-GARCH,AUDUSD,Raw,normal,1430,0.00200182130113892,0.0146728525541771,0.01474508774127391,Green,1.5,0.022117631611910868,1.5,0.022117631611910868
GJR-GARCH,AUDUSD,Static,normal,1430,0.00200182130113892,0.016674673855316017,0.01674690904241283,Green,1.5,0.025120363563619248,1.5,0.025120363563619248
GJR-GARCH-t,AUDUSD,Raw,student,1430,0.0019233486758538244,0.015138218874095825,0.015397281427526823,Green,1.5,0.023095922141290234,1.5,0.023095922141290234
GJR-GARCH-t,AUDUSD,Static,student,1430,0.0019233486758538244,0.01706156754994965,0.017320630103380644,Green,1.5,0.02598094515507097,1.5,0.02598094515507097
GARCH-N,AUDUSD,Raw,normal,1430,0.002009977855002924,0.014638257905761851,0.01471017757239769,Green,1.5,0.022065266358596534,1.5,0.022065266358596534
GARCH-N,AUDUSD,Static,normal,1430,0.002009977855002924,0.016648235760764775,0.016720155427400612,Green,1.5,0.025080233141100916,1.5,0.025080233141100916
Hist-Sim,AUDUSD,Raw,window,1430,0.0028112191742757295,0.014727006395685497,0.01644832300419407,Green,1.5,0.024672484506291104,1.5,0.024672484506291104
Hist-Sim,AUDUSD,Static,window,1430,0.0028112191742757295,0.01753822556996123,0.0192595421784698,Green,1.5,0.0288893132677047,1.5,0.0288893132677047
EWMA,AUDUSD,Raw,normal,1430,0.002621876015672755,0.0143972316082742,0.014468123460542676,Yellow,1.7,0.02459580988292255,1.92,0.027778797044241937
