model,law,assets,VaR1_raw,VaR1_static,ES975_raw,ES975_static,ES_ratio,VaR_ratio,component_raw,component_static,component_ratio,component_raw_hi,component_static_hi,component_ratio_hi,pairs_component_falls,pairs_component_falls_hi,zones_raw,zones_static
Moirai-1.1,draws,24,0.03449405501802044,0.03888280341227776,0.03829648185726838,0.04268523025152569,1.1040528287194167,1.1159032445613633,0.06270603773474774,0.06457123180777243,1.0396042310017501,0.06636749840311075,0.0651689568813047,1.006972547009793,7,8,"{'Green': 13, 'Yellow': 9, 'Red': 2}","{'Green': 22, 'Yellow': 2}"
Lag-Llama,draws,24,0.029496158297071872,0.04073779519307866,0.033337509865594965,0.04457914676160175,1.3295428354858132,1.3739843370456608,0.06667501973118993,0.06740912741306837,1.008182215744826,0.06667501973118993,0.0680035754108007,1.0203098137883386,14,14,{'Red': 24},"{'Green': 22, 'Yellow': 2}"
GJR-GARCH,normal,24,0.0292505227017948,0.034819753929038626,0.02939578869510472,0.03496501992234855,1.179619890459464,1.1805146950941416,0.05146531662442105,0.05311477613243063,1.0212812130827238,0.05382036486665407,0.053848747006229235,0.9967534998240137,10,12,"{'Red': 10, 'Yellow': 8, 'Green': 6}","{'Green': 21, 'Yellow': 3}"
GJR-GARCH-t,student,24,0.032073102736943526,0.0353092785164312,0.033329736731628916,0.03656591251111659,1.1035239629560925,1.1071268802958059,0.0529984295863663,0.05531184395433736,1.041471064729498,0.0558080270683897,0.05582111666076608,0.9991109223876332,8,10,"{'Green': 12, 'Yellow': 11, 'Red': 1}","{'Green': 22, 'Yellow': 2}"
GARCH-N,normal,24,0.029464110506483825,0.035753199506895934,0.029610927534201664,0.03590001653461378,1.1977492186673209,1.1987396441077618,0.05162258491594988,0.054532614182072774,1.0425669827005837,0.054327149336308646,0.0552834625002401,1.0131144848947953,6,12,"{'Red': 9, 'Yellow': 9, 'Green': 6}","{'Green': 21, 'Yellow': 3}"
Hist-Sim,window,24,0.03406770124825744,0.03804449432382533,0.03674569638114883,0.04072248945671673,1.1116413021840579,1.1207888946204105,0.05928578089937243,0.061403846699871874,1.0458121620297545,0.06351622506722095,0.061755970466148336,0.9992980013066174,10,11,"{'Green': 12, 'Yellow': 11, 'Red': 1}","{'Green': 23, 'Yellow': 1}"
EWMA,normal,24,0.029515214326987126,0.03544378252877864,0.02966054700417616,0.035589115205967685,1.1847413914259568,1.1856510565466676,0.05174882917217118,0.05471351233099344,1.0329653032015753,0.05563385974619064,0.05617633580523954,0.994005006822681,9,14,"{'Yellow': 14, 'Red': 8, 'Green': 2}","{'Green': 18, 'Yellow': 6}"
