dgp,T,n_test,Mean_qV,Std_qV,Raw_pi,Corr_pi,RawGreen,CorrGreen,Raw_QS,Corr_QS,DQS_mean,DQS_se,share_worse,qV_mean_se
mixnormal,500,150,0.014982054206810038,0.01596614231296083,0.0128,0.00864,69.19999999999999,81.39999999999999,0.0006015551084562938,0.0006428603330038079,-4.13052245475141e-05,6.840868643435891e-06,0.616,0.0007140275910043227
mixnormal,1000,300,0.008516878082740785,0.009557200138309598,0.012393333333333333,0.009773333333333334,68.8,78.60000000000001,0.0006108148404118599,0.0006215522819144489,-1.0737441502589082e-05,3.0608361730867843e-06,0.542,0.00042741098367661307
mixnormal,2000,600,0.007112521106185119,0.006834954951887701,0.012276666666666667,0.009689999999999999,80.0,88.0,0.0006034506489922292,0.0006081855407876118,-4.734891795382842e-06,1.8924610047047813e-06,0.536,0.0003056684779113941
mixnormal,5000,1500,0.00636558742441424,0.0048796115866361406,0.012502666666666667,0.010106666666666667,90.60000000000001,96.2,0.0006088080993717875,0.0006057174025781438,3.0906967936436485e-06,9.766746719507481e-07,0.386,0.0002182228642302803
mixnormal,10000,3000,0.006149187817336456,0.003239392214232119,0.012631333333333335,0.010112666666666666,95.0,98.8,0.000616509095536635,0.000610690633802973,5.818461733662158e-06,5.744362874267403e-07,0.284,0.00014487002393613157
normal,500,150,0.001607604505430269,0.003074246475579266,0.011359999999999999,0.009613333333333333,74.8,79.2,0.00037668813657177025,0.0003854898728569803,-8.801736285210086e-06,1.1229593125566788e-06,0.628,0.00013748448197968772
normal,1000,300,0.00034547982622928355,0.0018904293957058046,0.010106666666666665,0.010246666666666666,83.39999999999999,77.8,0.0003725847083032517,0.0003763207141469396,-3.7360058436878073e-06,5.069510439087185e-07,0.596,8.454257270924056e-05
normal,2000,600,8.27965782422251e-05,0.001384020589758471,0.01003,0.010063333333333332,93.0,89.2,0.0003677297327062247,0.00036944161663498616,-1.7118839287614657e-06,2.6392486076943795e-07,0.58,6.18952824191858e-05
normal,5000,1500,8.804243167969065e-05,0.0008749571221319076,0.009807999999999999,0.009806666666666665,99.4,98.8,0.00036755194741385714,0.0003680870535873773,-5.351061735201454e-07,9.747901625789481e-08,0.556,3.912927204969062e-05
normal,10000,3000,1.714297011068358e-06,0.0005792605741545844,0.009885333333333331,0.009988,100.0,99.8,0.0003683570474925606,0.0003686950359004575,-3.379884078969884e-07,5.097271271029628e-08,0.594,2.590532040990417e-05
