model,alpha,pihat,kupiec,n,ratio
Chronos-Mini,0.01,0.4188408561087112,0,24,41.88408561087112
Chronos-Mini,0.025,0.4260797096381335,0,24,17.04318838552534
Chronos-Mini,0.05,0.4340216008396663,0,24,8.680432016793326
Chronos-Mini,0.1,0.4476648251800363,0,24,4.476648251800363
Chronos-Mini-A,0.01,0.01780941698043324,8,24,1.780941698043324
Chronos-Mini-A,0.025,0.033322541491305674,12,24,1.332901659652227
Chronos-Mini-A,0.05,0.055840140801738686,17,24,1.1168028160347736
Chronos-Mini-A,0.1,0.09894869050742855,22,24,0.9894869050742855
Chronos-Small,0.01,0.38837474016134527,0,24,38.83747401613453
Chronos-Small,0.025,0.39624106245604435,0,24,15.849642498241773
Chronos-Small,0.05,0.40439561984637135,0,24,8.087912396927427
Chronos-Small,0.1,0.4177073919681431,0,24,4.177073919681431
Chronos-Small-A,0.01,0.01750089132996759,8,24,1.750089132996759
Chronos-Small-A,0.025,0.03378632250162349,10,24,1.3514529000649396
Chronos-Small-A,0.05,0.05774215131789809,14,24,1.1548430263579617
Chronos-Small-A,0.1,0.10362673769063831,20,24,1.036267376906383
