cell,model,disp_mean,disp_med,nd_med,nd_min,nd_max,n
top_k=50 (default),Chronos-Mini,0.11477568977172575,0.10340795502659181,50.0,50,50,800
top_k=50 (default),Chronos-Small,0.12053724745830191,0.10930495118650145,50.0,50,50,800
top_k=200,Chronos-Mini,0.32841986252566047,0.3106406081308247,198.0,186,200,800
top_k=200,Chronos-Small,0.33141399169994123,0.315337371393793,198.0,194,200,800
top_k=1000,Chronos-Mini,0.9445925956800784,0.898558976875935,499.5,275,626,800
top_k=1000,Chronos-Small,0.9578890821405488,0.9108739308336384,506.0,314,602,800
top_k=4094 (full vocab),Chronos-Mini,1.0586488433409174,0.9607975723455295,506.0,276,757,800
top_k=4094 (full vocab),Chronos-Small,1.0866798181930122,0.9840346189536948,512.0,315,712,800
temp=0.5 @ k=50,Chronos-Mini,0.11410110829972578,0.10256888047778027,50.0,50,50,800
temp=0.5 @ k=50,Chronos-Small,0.11997535505400225,0.10873862639448553,50.0,50,50,800
temp=2.0 @ k=50,Chronos-Mini,0.11514442027527522,0.1034486284016397,50.0,50,50,800
temp=2.0 @ k=50,Chronos-Small,0.12081782103947226,0.10966603860731297,50.0,50,50,800
top_p=0.9 @ k=50,Chronos-Mini,0.10923400337973696,0.09777083671166698,45.0,43,45,800
top_p=0.9 @ k=50,Chronos-Small,0.11548541679433155,0.10423806347032916,45.0,45,45,800
top_p=0.99 @ k=50,Chronos-Mini,0.11477568977172575,0.10340795502659181,50.0,50,50,800
top_p=0.99 @ k=50,Chronos-Small,0.12053724745830191,0.10930495118650145,50.0,50,50,800
