total_x,total_n,pi_pooled,LR_obs,p_asymp,p_boot,model
386,36588,0.010549907073357385,1.0978500574366947,0.2947384113938898,0.74,Chronos-Small
414,36588,0.011315185306657921,6.132100498222712,0.013274906483956905,0.143,Chronos-Small-A
367,36588,0.01003061112933202,0.0034595846715150813,0.9530968848320713,0.975,Chronos-Mini
398,36588,0.010877883459057614,2.769180082832179,0.09609537243215249,0.222,Chronos-Mini-A
379,36588,0.01035858751503225,0.46969483901163755,0.4931275903637875,0.629,TimesFM-2.5
394,36588,0.010768557997157539,2.129688629363322,0.14447010025284523,0.435,Moirai-1.1
418,36588,0.011424510768557997,7.1701856238270665,0.0074125104609662484,0.135,Moirai-2.0
351,36588,0.009593309281731716,0.6196423476232695,0.4311802228542636,0.49,Lag-Llama
428,38473,0.011124684843916512,4.742858858671383,0.029420142987710785,0.234,GJR-GARCH
409,38473,0.010630832012060406,1.5152820098661266,0.21833486432104277,0.451,GJR-GARCH-t
419,38473,0.010890754555142568,2.9966549978077808,0.08343661968545157,0.306,GARCH-N
415,38473,0.010786785537909703,2.345549394675473,0.1256412591650513,0.249,Hist-Sim
458,38473,0.011904452473162998,13.284932597700674,0.0002675476488104289,0.058,EWMA
