t_obs,p_asymp,p_boot,d_bar,se,model_ref,model_tsfm
-3.5669805065749247,0.001637168608667361,0.004,-3.8527423426347396e-05,1.0801130916003262e-05,GJR-GARCH,Chronos-Small-A
-3.5154119059062316,0.0018569477554639668,0.005,-3.64225182654711e-05,1.0360810977592056e-05,GJR-GARCH,Chronos-Mini-A
-4.661883633262902,0.00010811196896853836,0.001,-3.531808860598218e-05,7.57592668207865e-06,GJR-GARCH,TimesFM-2.5
-4.111868043412777,0.0004259665262527079,0.001,-6.099851703583527e-05,1.4834745763195163e-05,GJR-GARCH,Moirai-1.1
-4.091993922334955,0.0004475592224946201,0.001,-3.988370736959086e-05,9.746766033032767e-06,GJR-GARCH,Moirai-2.0
-6.910293813454548,4.803603421699165e-07,0.001,-5.7182634212071554e-05,8.274993184911365e-06,GJR-GARCH,Lag-Llama
-2.9759706513280744,0.006760736003936341,0.008,-3.8982681492494734e-05,1.3099148499699783e-05,GJR-GARCH-t,Chronos-Small-A
-2.8626321784169497,0.008802381482604815,0.009,-3.687777633161843e-05,1.2882471108115619e-05,GJR-GARCH-t,Chronos-Mini-A
-3.717834263078409,0.0011305643487597994,0.001,-3.577334667212952e-05,9.622092901610084e-06,GJR-GARCH-t,TimesFM-2.5
-3.5672685912492867,0.001636015423353232,0.002,-6.145377510198261e-05,1.7227123085918515e-05,GJR-GARCH-t,Moirai-1.1
-3.4149130872475766,0.002371223950185186,0.003,-4.033896543573819e-05,1.181258919483993e-05,GJR-GARCH-t,Moirai-2.0
-5.651089477121142,9.418788880832807e-06,0.001,-5.763789227821888e-05,1.0199430129636097e-05,GJR-GARCH-t,Lag-Llama
-3.0054756227284574,0.006308688972758825,0.004,-3.286444208867986e-05,1.093485564818675e-05,GARCH-N,Chronos-Small-A
-2.9118325875588655,0.007852693312517811,0.01,-3.0759536927803564e-05,1.056363510018645e-05,GARCH-N,Chronos-Mini-A
-3.954419355975257,0.0006299224019383765,0.001,-2.965510726831466e-05,7.499231770526518e-06,GARCH-N,TimesFM-2.5
-3.606820542391914,0.0014850226531681887,0.001,-5.5335535698167735e-05,1.5341915420463696e-05,GARCH-N,Moirai-1.1
-3.4606174139281136,0.002122088291403923,0.002,-3.4220726031923324e-05,9.888618688154755e-06,GARCH-N,Moirai-2.0
-6.021945712953901,3.8491336342705296e-06,0.001,-5.151965287440402e-05,8.55531672488832e-06,GARCH-N,Lag-Llama
4.932674016869353,5.5121676076241855e-05,0.001,4.810846884840459e-05,9.753020103067314e-06,Hist-Sim,Chronos-Small-A
4.648138654619452,0.00011187927241329554,0.001,5.0213374009280884e-05,1.080289934108945e-05,Hist-Sim,Chronos-Mini-A
4.004764760585345,0.0005559246847497423,0.001,5.1317803668769795e-05,1.2814186784161844e-05,Hist-Sim,TimesFM-2.5
3.107553002227097,0.004958025189658821,0.005,2.563737523891672e-05,8.250020263706886e-06,Hist-Sim,Moirai-1.1
4.034860152578848,0.0005158760285788322,0.002,4.6752184905161124e-05,1.1587064517039046e-05,Hist-Sim,Moirai-2.0
1.9825078143083794,0.059491889487870875,0.045,2.9453258062680438e-05,1.4856565936389787e-05,Hist-Sim,Lag-Llama
-2.2161294398383165,0.036853542786945415,0.036,-2.2804753650556706e-05,1.029035273870126e-05,EWMA,Chronos-Small-A
-2.0936941925463137,0.04750747832577096,0.044,-2.0699848489680412e-05,9.886758325725507e-06,EWMA,Chronos-Mini-A
-2.7082081359038854,0.012543019115570209,0.007,-1.9595418830191498e-05,7.235566044724023e-06,EWMA,TimesFM-2.5
-3.129540309919751,0.004705931913693728,0.001,-4.527584726004459e-05,1.4467251665215193e-05,EWMA,Moirai-1.1
-2.6821272607199247,0.013307250023450123,0.005,-2.416103759380017e-05,9.008162270165725e-06,EWMA,Moirai-2.0
-5.552683065620529,1.196962248761757e-05,0.001,-4.145996443628087e-05,7.466654218566965e-06,EWMA,Lag-Llama
