dgp,dgp_name,innov,channel,level,T,q_hat_V,R,raw_pi,corr_pi,R_gt1_share
1,Normal (correct),normal,bias,-1.0,1000,0.01453772960933479,0.8093567313224874,0.10683333333333332,0.009946666666666666,0.038
1,Normal (correct),normal,bias,-0.5,1000,0.007466661797469317,0.2972448821038295,0.0371,0.009946666666666666,0.0
1,Normal (correct),normal,bias,0.5,1000,-0.006675473826261628,0.17114766340888143,0.0021333333333333334,0.009946666666666666,0.0
1,Normal (correct),normal,bias,1.0,1000,-0.013746541638127103,0.29768648514239837,0.0005066666666666667,0.009946666666666666,0.0
1,Normal (correct),normal,scale,0.5,1000,0.016550018449586902,1.0277874057355691,0.12145333333333333,0.010893333333333335,0.532
1,Normal (correct),normal,scale,0.8,1000,0.006642646132827988,0.25725709339304237,0.03167333333333333,0.010206666666666668,0.0
1,Normal (correct),normal,scale,1.25,1000,-0.007193869986540147,0.17980168577440225,0.0017533333333333333,0.009826666666666666,0.0
1,Normal (correct),normal,scale,2.0,1000,-0.028460156785922345,0.4434509018003844,0.0,0.009846666666666665,0.0
1,Normal (correct),normal,noise,0.0,1000,0.030260725073983884,5.8975379573376845,0.35702666666666666,0.01176,1.0
1,Normal (correct),normal,bias,-1.0,5000,0.01417428258068785,0.7892131053119638,0.107096,0.010141333333333334,0.0
1,Normal (correct),normal,bias,-0.5,5000,0.007103214768822376,0.2835434660493739,0.037079999999999995,0.010141333333333334,0.0
1,Normal (correct),normal,bias,0.5,5000,-0.007038920854908568,0.17983785924968418,0.0022013333333333334,0.010141333333333334,0.0
1,Normal (correct),normal,bias,1.0,5000,-0.014109988666774044,0.30522811985635007,0.0004506666666666667,0.010141333333333334,0.0
1,Normal (correct),normal,scale,0.5,5000,0.0162504006030294,1.0117450932287435,0.12273333333333335,0.010199999999999999,0.558
1,Normal (correct),normal,scale,0.8,5000,0.00631867433903324,0.2457211193305964,0.031368,0.010128,0.0
1,Normal (correct),normal,scale,1.25,5000,-0.007517358615737001,0.18746304059027022,0.0018053333333333335,0.010094666666666667,0.0
1,Normal (correct),normal,scale,2.0,5000,-0.0287568708256501,0.447954583158049,2.6666666666666664e-06,0.010133333333333333,0.0
1,Normal (correct),normal,noise,0.0,5000,0.029886844465963226,5.503463999061296,0.35035333333333335,0.010534666666666666,1.0
2,Student-$t$(5),t5,bias,-1.0,1000,0.014744584807336954,0.7058800044942115,0.06062666666666667,0.010426666666666666,0.048
2,Student-$t$(5),t5,bias,-0.5,1000,0.007673516995471481,0.2726439429277337,0.023233333333333335,0.010426666666666666,0.0
2,Student-$t$(5),t5,bias,0.5,1000,-0.0064686186282594624,0.16122272146389438,0.0049,0.010426666666666666,0.0
2,Student-$t$(5),t5,bias,1.0,1000,-0.013539686440124937,0.27703514949719615,0.0027,0.010426666666666666,0.0
2,Student-$t$(5),t5,scale,0.5,1000,0.01823656608379368,1.0359427969534922,0.07664666666666667,0.010533333333333332,0.512
2,Student-$t$(5),t5,scale,0.8,1000,0.0073358541666060165,0.25973044593895905,0.021846666666666667,0.010493333333333332,0.0
2,Student-$t$(5),t5,scale,1.25,1000,-0.0075644058792864385,0.17718943786282088,0.004346666666666667,0.010366666666666666,0.0
2,Student-$t$(5),t5,scale,2.0,1000,-0.03030521820740522,0.4342545138652912,0.0006066666666666667,0.01022,0.0
2,Student-$t$(5),t5,noise,0.0,1000,0.03214372701715162,4.323401326619463,0.27524,0.011606666666666666,1.0
2,Student-$t$(5),t5,bias,-1.0,5000,0.014190077031949366,0.6777097862425006,0.060368000000000005,0.01014,0.0
2,Student-$t$(5),t5,bias,-0.5,5000,0.007119009220083893,0.25366529879350125,0.023505333333333333,0.01014,0.0
2,Student-$t$(5),t5,bias,0.5,5000,-0.007023126403647052,0.167042568697138,0.004769333333333334,0.01014,0.0
2,Student-$t$(5),t5,bias,1.0,5000,-0.014094194215512524,0.2866868426857627,0.002541333333333334,0.01014,0.0
2,Student-$t$(5),t5,scale,0.5,5000,0.017540134023406196,0.9987966154839917,0.07639466666666667,0.010224,0.472
2,Student-$t$(5),t5,scale,0.8,5000,0.006813133863647239,0.2421072062254516,0.021794666666666667,0.010154666666666668,0.0
2,Student-$t$(5),t5,scale,1.25,5000,-0.007987381872385457,0.18256183209021332,0.004208,0.010102666666666666,0.0
2,Student-$t$(5),t5,scale,2.0,5000,-0.030719467682646384,0.43818806862387827,0.0005453333333333333,0.010192,0.0
2,Student-$t$(5),t5,noise,0.0,5000,0.03111155458466284,3.718498147097727,0.2562426666666667,0.01036,0.998
3,Student-$t$(3),t3,bias,-1.0,1000,0.015509366141675252,0.83367569860238,0.05176666666666667,0.009946666666666666,0.212
3,Student-$t$(3),t3,bias,-0.5,1000,0.008438298329809777,0.32246649791738285,0.020133333333333333,0.009946666666666666,0.002
3,Student-$t$(3),t3,bias,0.5,1000,-0.0057038372939211684,0.16900707924818067,0.0057599999999999995,0.009946666666666666,0.0
