module,innovation,phi,n_cal,alpha,truth,method,reference,difference,MCSE,lower95,upper95,replicate_win_fraction
ar,normal,0.0,125,0.01,constant,POT80-Shift,Raw,3.2159202714171997e-06,1.3077032227545681e-06,6.528219548182463e-07,5.779018588016153e-06,0.666
ar,normal,0.0,125,0.01,constant,POT80-Shift,Shift-CP,-1.3380869086798002e-05,1.711509853884691e-06,-1.6735428400411996e-05,-1.0026309773184008e-05,0.604
ar,normal,0.0,125,0.01,constant,POT90-Shift,Raw,1.65967893582152e-05,1.6721955692667645e-06,1.3319286042452342e-05,1.987429267397806e-05,0.456
ar,normal,0.0,125,0.01,constant,POT90-Shift,Shift-CP,0.0,0.0,0.0,0.0,0.0
ar,normal,0.0,125,0.01,constant,Raw,Raw,0.0,0.0,0.0,0.0,0.0
ar,normal,0.0,125,0.01,constant,Raw,Shift-CP,-1.65967893582152e-05,1.6721955692667645e-06,-1.987429267397806e-05,-1.3319286042452342e-05,0.544
ar,normal,0.0,125,0.01,constant,Shift-CP,Raw,1.65967893582152e-05,1.6721955692667645e-06,1.3319286042452342e-05,1.987429267397806e-05,0.456
ar,normal,0.0,125,0.01,constant,Shift-CP,Shift-CP,0.0,0.0,0.0,0.0,0.0
ar,normal,0.0,125,0.01,constant,Shift-ERM,Raw,7.938373393073603e-06,1.512514797758948e-06,4.973844389466064e-06,1.090290239668114e-05,0.564
ar,normal,0.0,125,0.01,constant,Shift-ERM,Shift-CP,-8.6584159651416e-06,1.9464513405449573e-06,-1.2473460592609716e-05,-4.843371337673483e-06,0.566
ar,normal,0.0,125,0.01,none,POT80-Shift,Raw,1.756579302541722e-05,1.3077032227545681e-06,1.5002694708818266e-05,2.0128891342016175e-05,0.0
ar,normal,0.0,125,0.01,none,POT80-Shift,Shift-CP,-1.3380869086798002e-05,1.711509853884691e-06,-1.6735428400411996e-05,-1.0026309773184008e-05,0.604
ar,normal,0.0,125,0.01,none,POT90-Shift,Raw,3.0946662112215225e-05,1.6721955692667645e-06,2.7669158796452366e-05,3.422416542797808e-05,0.0
ar,normal,0.0,125,0.01,none,POT90-Shift,Shift-CP,0.0,0.0,0.0,0.0,0.0
ar,normal,0.0,125,0.01,none,Raw,Raw,0.0,0.0,0.0,0.0,0.0
ar,normal,0.0,125,0.01,none,Raw,Shift-CP,-3.0946662112215225e-05,1.6721955692667645e-06,-3.422416542797808e-05,-2.7669158796452366e-05,1.0
ar,normal,0.0,125,0.01,none,Shift-CP,Raw,3.0946662112215225e-05,1.6721955692667645e-06,2.7669158796452366e-05,3.422416542797808e-05,0.0
ar,normal,0.0,125,0.01,none,Shift-CP,Shift-CP,0.0,0.0,0.0,0.0,0.0
ar,normal,0.0,125,0.01,none,Shift-ERM,Raw,2.228824614707362e-05,1.512514797758948e-06,1.9323717143466083e-05,2.525277515068116e-05,0.0
ar,normal,0.0,125,0.01,none,Shift-ERM,Shift-CP,-8.6584159651416e-06,1.9464513405449573e-06,-1.2473460592609716e-05,-4.843371337673483e-06,0.566
ar,normal,0.0,125,0.05,constant,POT80-Shift,Raw,-3.063812411373982e-05,1.3411366698324768e-06,-3.326675198661148e-05,-2.8009496240868166e-05,0.888
ar,normal,0.0,125,0.05,constant,POT80-Shift,Shift-CP,-6.3914668260555944e-06,1.172036895237124e-06,-8.688659140720357e-06,-4.0942745113908315e-06,0.564
