symbol,n,n_cal,n_test,viol,pihat
ASX200,6109,4276,1833,73,0.03982542280414621
AUDUSD,4647,3252,1395,33,0.023655913978494623
BOVESPA,5980,4186,1794,45,0.02508361204013378
BTC,3688,2581,1107,22,0.01987353206865402
CBU0,3253,2277,976,26,0.02663934426229508
DJCI,2310,1617,693,28,0.04040404040404041
ETH,2538,1776,762,32,0.04199475065616798
EURUSD,5271,3689,1582,46,0.029077117572692796
FCHI,6186,4330,1856,53,0.028556034482758622
FTSE100,6108,4275,1833,50,0.027277686852154936
GBPUSD,5283,3698,1585,50,0.031545741324921134
GDAXI,6142,4299,1843,55,0.02984264785675529
GOLD,5897,4127,1770,74,0.04180790960451977
HSI,5944,4160,1784,46,0.0257847533632287
IBGL,4086,2860,1226,32,0.026101141924959218
ICLN,3947,2762,1185,21,0.017721518987341773
NATGAS,5902,4131,1771,51,0.028797289666854884
NIFTY,4026,2818,1208,36,0.029801324503311258
NIKKEI,5906,4134,1772,59,0.03329571106094808
SP500,6078,4254,1824,54,0.029605263157894735
STOXX,4993,3495,1498,37,0.024699599465954607
TLT,5434,3803,1631,44,0.0269773145309626
USDJPY,6291,4403,1888,56,0.029661016949152543
WTI,5904,4132,1772,48,0.02708803611738149
