symbol,n,n_cal,n_test,viol,pihat
ASX200,6109,4276,1833,40,0.02182214948172395
AUDUSD,4647,3252,1395,9,0.0064516129032258064
BOVESPA,5980,4186,1794,22,0.012263099219620958
BTC,3688,2581,1107,22,0.01987353206865402
CBU0,3253,2277,976,9,0.009221311475409836
DJCI,2310,1617,693,17,0.024531024531024532
ETH,2538,1776,762,20,0.026246719160104987
EURUSD,5271,3689,1582,21,0.01327433628318584
FCHI,6186,4330,1856,32,0.017241379310344827
FTSE100,6108,4275,1833,26,0.014184397163120567
GBPUSD,5283,3698,1585,21,0.013249211356466877
GDAXI,6142,4299,1843,34,0.018448182311448725
GOLD,5897,4127,1770,52,0.02937853107344633
HSI,5944,4160,1784,22,0.01233183856502242
IBGL,4086,2860,1226,14,0.011419249592169658
ICLN,3947,2762,1185,8,0.006751054852320675
NATGAS,5902,4131,1771,27,0.015245623941276116
NIFTY,4026,2818,1208,8,0.006622516556291391
NIKKEI,5906,4134,1772,29,0.01636568848758465
SP500,6078,4254,1824,41,0.022478070175438597
STOXX,4993,3495,1498,19,0.012683578104138851
TLT,5434,3803,1631,13,0.00797057020232986
USDJPY,6291,4403,1888,25,0.013241525423728813
WTI,5904,4132,1772,33,0.018623024830699775
