symbol,n,n_cal,n_test,viol,pihat
ASX200,6109,4276,1833,42,0.022913256955810146
AUDUSD,4647,3252,1395,16,0.011469534050179211
BOVESPA,5980,4186,1794,30,0.016722408026755852
BTC,3688,2581,1107,17,0.015356820234869015
CBU0,3253,2277,976,11,0.011270491803278689
DJCI,2310,1617,693,24,0.03463203463203463
ETH,2538,1776,762,18,0.023622047244094488
EURUSD,5271,3689,1582,27,0.01706700379266751
FCHI,6186,4330,1856,43,0.023168103448275863
FTSE100,6108,4275,1833,36,0.019639934533551555
GBPUSD,5283,3698,1585,28,0.017665615141955835
GDAXI,6142,4299,1843,49,0.026587086272381984
GOLD,5897,4127,1770,43,0.024293785310734464
HSI,5944,4160,1784,28,0.01569506726457399
IBGL,4086,2860,1226,11,0.00897226753670473
ICLN,3947,2762,1185,11,0.009282700421940928
NATGAS,5902,4131,1771,24,0.01355166572557877
NIFTY,4026,2818,1208,9,0.0074503311258278145
NIKKEI,5906,4134,1772,32,0.01805869074492099
SP500,6078,4254,1824,42,0.023026315789473683
STOXX,4993,3495,1498,27,0.018024032042723633
TLT,5434,3803,1631,22,0.0134886572654813
USDJPY,6291,4403,1888,35,0.018538135593220338
WTI,5904,4132,1772,30,0.016930022573363433
