symbol,n_test,pi_stored_0.01,viol_stored_0.01,kup_stored_0.01,qs_stored,pi_fixed_0.01,viol_fixed_0.01,kup_fixed_0.01,qs_fixed,pi_stored_0.025,viol_stored_0.025,kup_stored_0.025,pi_fixed_0.025,viol_fixed_0.025,kup_fixed_0.025,pi_stored_0.05,viol_stored_0.05,kup_stored_0.05,pi_fixed_0.05,viol_fixed_0.05,kup_fixed_0.05,pi_stored_0.1,viol_stored_0.1,kup_stored_0.1,pi_fixed_0.1,viol_fixed_0.1,kup_fixed_0.1
ASX200,1833,0.022913256955810146,42,1.977208852963888e-06,4.28228099079234,0.022913256955810146,42,1.977208852963888e-06,4.277158580421523,0.038188761593016915,70,0.0007785599695237065,0.038188761593016915,70,0.0007785599695237065,0.06164757228587016,113,0.027017519673991828,0.06110201854882706,112,0.03478589964876308,0.10092744135297327,185,0.8948453026833307,0.10038188761593017,184,0.9565614283362911
AUDUSD,1395,0.011469534050179211,16,0.5898751231023536,2.170548140951654,0.011469534050179211,16,0.5898751231023536,2.1701265865509707,0.02867383512544803,40,0.3902789923566691,0.02795698924731183,39,0.48740371648492964,0.055197132616487454,77,0.3806855089383203,0.05448028673835126,76,0.448854924500212,0.0953405017921147,133,0.5590923607353963,0.09462365591397849,132,0.49979732737100735
BOVESPA,1794,0.016722408026755852,30,0.009054989744574849,5.5389562287693055,0.016722408026755852,30,0.009054989744574849,5.534770504563377,0.027870680044593088,50,0.4443125396516051,0.027313266443701228,49,0.53625149874445,0.04905239687848383,88,0.853453623142307,0.04905239687848383,88,0.853453623142307,0.08807134894091416,158,0.08624238165392276,0.08528428093645485,153,0.03349615514559304
BTC,1107,0.015356820234869015,17,0.09681264281599825,8.493977044040156,0.015356820234869015,17,0.09681264281599825,8.487753765514116,0.03523035230352303,39,0.0398148703317524,0.03523035230352303,39,0.0398148703317524,0.04878048780487805,54,0.8517422271464293,0.04878048780487805,54,0.8517422271464293,0.0921409214092141,102,0.3777101300681225,0.09123757904245709,101,0.32466441734843376
CBU0,976,0.011270491803278689,11,0.695821627232367,1.4247609154954242,0.011270491803278689,11,0.695821627232367,1.424650693207641,0.025614754098360656,25,0.9024811714475994,0.025614754098360656,25,0.9024811714475994,0.036885245901639344,36,0.04907816701735729,0.035860655737704916,35,0.033157594760205696,0.0778688524590164,76,0.016917278468263932,0.0778688524590164,76,0.016917278468263932
DJCI,693,0.03463203463203463,24,3.570455662436039e-07,4.165211631907151,0.03318903318903319,23,1.3004391296897332e-06,4.155377050446781,0.05194805194805195,36,6.931319079967217e-05,0.050505050505050504,35,0.00015256595931156488,0.0836940836940837,58,0.0001933134322137715,0.08080808080808081,56,0.0006032170897707895,0.12842712842712842,89,0.016367331447245812,0.12698412698412698,88,0.02244009766158564
ETH,762,0.023622047244094488,18,0.0013096190799147325,13.629144870280486,0.023622047244094488,18,0.0013096190799147325,13.607376014117479,0.03937007874015748,30,0.01890801870696086,0.03937007874015748,30,0.01890801870696086,0.07349081364829396,56,0.005277810448272289,0.07349081364829396,56,0.005277810448272289,0.12073490813648294,92,0.06373476173001634,0.12073490813648294,92,0.06373476173001634
EURUSD,1582,0.01706700379266751,27,0.010276419964622486,1.594002050177974,0.01706700379266751,27,0.010276419964622486,1.5923676218944534,0.0316055625790139,50,0.10574483840924861,0.03034134007585335,48,0.18772695849035745,0.061946902654867256,98,0.03525905825371676,0.061946902654867256,98,0.03525905825371676,0.10429835651074588,165,0.5711774179467103,0.10366624525916561,164,0.6287576527889787
FCHI,1856,0.023168103448275863,43,1.1240778450746236e-06,5.1664302145306715,0.023168103448275863,43,1.1240778450746236e-06,5.159319568681363,0.037176724137931036,69,0.0017049732470097803,0.037176724137931036,69,0.0017049732470097803,0.05872844827586207,109,0.09276228954292844,0.05818965517241379,108,0.11418781142651771,0.09752155172413793,181,0.720914295716901,0.09752155172413793,181,0.720914295716901
FTSE100,1833,0.019639934533551555,36,0.0002474776485976179,4.367233135124816,0.019639934533551555,36,0.0002474776485976179,4.362672144617345,0.031096563011456628,57,0.10704795824026869,0.031096563011456628,57,0.10704795824026869,0.05782869612656847,106,0.1330501691443887,0.057283142389525366,105,0.16160759210206888,0.09001636661211129,165,0.14794722429158166,0.088379705400982,162,0.0913271141295182
