symbol,n,n_cal,n_test,viol,pihat
ASX200,6109,4276,1833,48,0.02618657937806874
AUDUSD,4647,3252,1395,15,0.010752688172043012
BOVESPA,5980,4186,1794,32,0.017837235228539576
BTC,3688,2581,1107,15,0.013550135501355014
CBU0,3253,2277,976,5,0.005122950819672131
DJCI,2310,1617,693,21,0.030303030303030304
ETH,2538,1776,762,18,0.023622047244094488
EURUSD,5271,3689,1582,19,0.012010113780025285
FCHI,6186,4330,1856,47,0.025323275862068964
FTSE100,6108,4275,1833,36,0.019639934533551555
GBPUSD,5283,3698,1585,25,0.015772870662460567
GDAXI,6142,4299,1843,48,0.026044492674986434
GOLD,5897,4127,1770,50,0.02824858757062147
HSI,5944,4160,1784,27,0.015134529147982063
IBGL,4086,2860,1226,9,0.00734094616639478
ICLN,3947,2762,1185,11,0.009282700421940928
NATGAS,5902,4131,1771,27,0.015245623941276116
NIFTY,4026,2818,1208,16,0.013245033112582781
NIKKEI,5906,4134,1772,42,0.023702031602708805
SP500,6078,4254,1824,40,0.021929824561403508
STOXX,4993,3495,1498,31,0.02069425901201602
TLT,5434,3803,1631,16,0.009809932556713672
USDJPY,6291,4403,1888,35,0.018538135593220338
WTI,5904,4132,1772,33,0.018623024830699775
