model,symbol,which,n_test,qV,n_viol,n00,n01,n10,n11,A_n11_n10_zero,B_n11_zero_n10_pos,C_n01_n11_zero,code_nan
Chronos-Small,ASX200,raw,1833,0.026479514057737817,767,590,475,475,292,False,False,False,False
Chronos-Small,ASX200,cor,1833,0.026479514057737817,19,1796,17,17,2,False,False,False,False
Chronos-Small,AUDUSD,raw,1395,0.021631863257192623,533,516,345,346,187,False,False,False,False
Chronos-Small,AUDUSD,cor,1395,0.021631863257192623,1,1392,1,1,0,False,True,False,True
Chronos-Small,BOVESPA,raw,1794,0.0418381945086304,684,675,434,434,250,False,False,False,False
Chronos-Small,BOVESPA,cor,1794,0.0418381945086304,14,1768,11,11,3,False,False,False,False
Chronos-Small,BTC,raw,1107,0.10761549021774856,375,491,241,241,133,False,False,False,False
Chronos-Small,BTC,cor,1107,0.10761549021774856,1,1104,1,1,0,False,True,False,True
Chronos-Small,CBU0,raw,976,0.008038061683034886,345,400,231,231,113,False,False,False,False
Chronos-Small,CBU0,cor,976,0.008038061683034886,29,917,29,29,0,False,True,False,True
Chronos-Small,DJCI,raw,693,0.01857924247195986,271,259,162,162,109,False,False,False,False
Chronos-Small,DJCI,cor,693,0.01857924247195986,21,651,20,20,1,False,False,False,False
Chronos-Small,ETH,raw,762,0.12616460281247144,301,279,182,182,118,False,False,False,False
Chronos-Small,ETH,cor,762,0.12616460281247144,3,755,3,3,0,False,True,False,True
Chronos-Small,EURUSD,raw,1582,0.015414008109286406,609,579,393,393,216,False,False,False,False
Chronos-Small,EURUSD,cor,1582,0.015414008109286406,4,1573,4,4,0,False,True,False,True
Chronos-Small,FCHI,raw,1856,0.036039821760051584,754,641,460,461,293,False,False,False,False
Chronos-Small,FCHI,cor,1856,0.036039821760051584,19,1819,17,17,2,False,False,False,False
Chronos-Small,FTSE100,raw,1833,0.030329217709992418,684,716,433,432,251,False,False,False,False
Chronos-Small,FTSE100,cor,1833,0.030329217709992418,21,1792,19,19,2,False,False,False,False
Chronos-Small,GBPUSD,raw,1585,0.015203177062875935,610,601,373,373,237,False,False,False,False
Chronos-Small,GBPUSD,cor,1585,0.015203177062875935,9,1566,9,9,0,False,True,False,True
Chronos-Small,GDAXI,raw,1843,0.039583067493618763,710,690,443,442,267,False,False,False,False
Chronos-Small,GDAXI,cor,1843,0.039583067493618763,10,1822,10,10,0,False,True,False,True
Chronos-Small,GOLD,raw,1770,0.031126434335503515,682,645,443,442,239,False,False,False,False
Chronos-Small,GOLD,cor,1770,0.031126434335503515,14,1742,13,13,1,False,False,False,False
Chronos-Small,HSI,raw,1784,0.038906545780363636,679,675,429,429,250,False,False,False,False
Chronos-Small,HSI,cor,1784,0.038906545780363636,12,1761,10,10,2,False,False,False,False
Chronos-Small,IBGL,raw,1226,0.019096905566302277,472,457,297,297,174,False,False,False,False
Chronos-Small,IBGL,cor,1226,0.019096905566302277,11,1203,11,11,0,False,True,False,True
Chronos-Small,ICLN,raw,1185,0.04212352727056173,441,458,286,285,155,False,False,False,False
Chronos-Small,ICLN,cor,1185,0.04212352727056173,7,1170,7,7,0,False,True,False,True
Chronos-Small,NATGAS,raw,1771,0.07054923311252861,684,658,428,429,255,False,False,False,False
Chronos-Small,NATGAS,cor,1771,0.07054923311252861,50,1672,48,48,2,False,False,False,False
Chronos-Small,NIFTY,raw,1208,0.0242198267630135,515,410,282,283,232,False,False,False,False
Chronos-Small,NIFTY,cor,1208,0.0242198267630135,8,1191,8,8,0,False,True,False,True
Chronos-Small,NIKKEI,raw,1772,0.038378394714549076,692,652,427,428,264,False,False,False,False
Chronos-Small,NIKKEI,cor,1772,0.038378394714549076,14,1745,12,12,2,False,False,False,False
Chronos-Small,SP500,raw,1824,0.03116672240790403,717,671,436,435,281,False,False,False,False
Chronos-Small,SP500,cor,1824,0.03116672240790403,24,1777,22,22,2,False,False,False,False
Chronos-Small,STOXX,raw,1498,0.034435598743315726,600,530,368,368,231,False,False,False,False
Chronos-Small,STOXX,cor,1498,0.034435598743315726,7,1484,6,6,1,False,False,False,False
Chronos-Small,TLT,raw,1631,0.019462675096885023,656,584,391,390,265,False,False,False,False
Chronos-Small,TLT,cor,1631,0.019462675096885023,29,1573,28,28,1,False,False,False,False
Chronos-Small,USDJPY,raw,1888,0.016733083111953113,740,694,454,453,286,False,False,False,False
Chronos-Small,USDJPY,cor,1888,0.016733083111953113,14,1859,14,14,0,False,True,False,True
Chronos-Small,WTI,raw,1772,0.05519727078867386,731,611,429,430,301,False,False,False,False
Chronos-Small,WTI,cor,1772,0.05519727078867386,45,1688,38,38,7,False,False,False,False
Chronos-Mini,ASX200,raw,1833,0.025212723744431523,764,602,466,466,298,False,False,False,False
Chronos-Mini,ASX200,cor,1833,0.025212723744431523,19,1796,17,17,2,False,False,False,False
Chronos-Mini,AUDUSD,raw,1395,0.022505440541051823,588,438,368,369,219,False,False,False,False
Chronos-Mini,AUDUSD,cor,1395,0.022505440541051823,1,1392,1,1,0,False,True,False,True
Chronos-Mini,BOVESPA,raw,1794,0.043729029913938094,735,611,448,447,287,False,False,False,False
Chronos-Mini,BOVESPA,cor,1794,0.043729029913938094,8,1778,7,7,1,False,False,False,False
Chronos-Mini,BTC,raw,1107,0.1093308046365461,444,385,278,278,165,False,False,False,False
Chronos-Mini,BTC,cor,1107,0.1093308046365461,1,1104,1,1,0,False,True,False,True
Chronos-Mini,CBU0,raw,976,0.008317245147305714,409,332,235,235,173,False,False,False,False
Chronos-Mini,CBU0,cor,976,0.008317245147305714,29,917,29,29,0,False,True,False,True
Chronos-Mini,DJCI,raw,693,0.019775894804161705,281,246,165,165,116,False,False,False,False
Chronos-Mini,DJCI,cor,693,0.019775894804161705,19,655,18,18,1,False,False,False,False
Chronos-Mini,ETH,raw,762,0.1312263188759762,327,240,195,195,131,False,False,False,False
Chronos-Mini,ETH,cor,762,0.1312263188759762,3,755,3,3,0,False,True,False,True
Chronos-Mini,EURUSD,raw,1582,0.01622539326522643,695,492,394,394,301,False,False,False,False
Chronos-Mini,EURUSD,cor,1582,0.01622539326522643,4,1573,4,4,0,False,True,False,True
Chronos-Mini,FCHI,raw,1856,0.0378795796003128,764,620,472,472,291,False,False,False,False
Chronos-Mini,FCHI,cor,1856,0.0378795796003128,16,1825,14,14,2,False,False,False,False
Chronos-Mini,FTSE100,raw,1833,0.030749208822588116,742,644,447,446,295,False,False,False,False
Chronos-Mini,FTSE100,cor,1833,0.030749208822588116,21,1793,18,18,3,False,False,False,False
Chronos-Mini,GBPUSD,raw,1585,0.015332036362671955,680,512,392,392,288,False,False,False,False
Chronos-Mini,GBPUSD,cor,1585,0.015332036362671955,8,1568,8,8,0,False,True,False,True
Chronos-Mini,GDAXI,raw,1843,0.0411064567169019,751,640,452,451,299,False,False,False,False
Chronos-Mini,GDAXI,cor,1843,0.0411064567169019,9,1824,9,9,0,False,True,False,True
Chronos-Mini,GOLD,raw,1770,0.03167960736979117,736,572,462,462,273,False,False,False,False
Chronos-Mini,GOLD,cor,1770,0.03167960736979117,14,1742,13,13,1,False,False,False,False
Chronos-Mini,HSI,raw,1784,0.03768070967099364,749,592,442,442,307,False,False,False,False
Chronos-Mini,HSI,cor,1784,0.03768070967099364,13,1759,11,11,2,False,False,False,False
Chronos-Mini,IBGL,raw,1226,0.019918195424019333,536,377,313,313,222,False,False,False,False
Chronos-Mini,IBGL,cor,1226,0.019918195424019333,11,1203,11,11,0,False,True,False,True
Chronos-Mini,ICLN,raw,1185,0.042703255140236755,502,375,308,307,194,False,False,False,False
Chronos-Mini,ICLN,cor,1185,0.042703255140236755,8,1168,8,8,0,False,True,False,True
Chronos-Mini,NATGAS,raw,1771,0.07638513391380006,759,560,451,452,307,False,False,False,False
Chronos-Mini,NATGAS,cor,1771,0.07638513391380006,48,1677,45,45,3,False,False,False,False
Chronos-Mini,NIFTY,raw,1208,0.02596414856642934,510,415,282,282,228,False,False,False,False
Chronos-Mini,NIFTY,cor,1208,0.02596414856642934,5,1197,5,5,0,False,True,False,True
Chronos-Mini,NIKKEI,raw,1772,0.039270611287087094,745,582,444,445,300,False,False,False,False
Chronos-Mini,NIKKEI,cor,1772,0.039270611287087094,15,1743,13,13,2,False,False,False,False
Chronos-Mini,SP500,raw,1824,0.03242629503592577,719,674,431,430,288,False,False,False,False
Chronos-Mini,SP500,cor,1824,0.03242629503592577,18,1788,17,17,1,False,False,False,False
Chronos-Mini,STOXX,raw,1498,0.03590803355319631,607,521,370,370,236,False,False,False,False
Chronos-Mini,STOXX,cor,1498,0.03590803355319631,7,1484,6,6,1,False,False,False,False
Chronos-Mini,TLT,raw,1631,0.020034603633416286,731,492,408,407,323,False,False,False,False
Chronos-Mini,TLT,cor,1631,0.020034603633416286,32,1568,30,30,2,False,False,False,False
Chronos-Mini,USDJPY,raw,1888,0.016922191158423323,784,637,467,466,317,False,False,False,False
Chronos-Mini,USDJPY,cor,1888,0.016922191158423323,16,1855,16,16,0,False,True,False,True
Chronos-Mini,WTI,raw,1772,0.05598975664497916,756,580,435,436,320,False,False,False,False
Chronos-Mini,WTI,cor,1772,0.05598975664497916,42,1693,36,36,6,False,False,False,False
Chronos-Small-A,ASX200,raw,1833,0.003845918964520627,45,1747,40,40,5,False,False,False,False
