symbol,n,n_cal,n_test,viol,pihat
ASX200,6109,4276,1833,767,0.41843971631205673
AUDUSD,4647,3252,1395,533,0.382078853046595
BOVESPA,5980,4186,1794,684,0.38127090301003347
BTC,3688,2581,1107,375,0.33875338753387535
CBU0,3253,2277,976,345,0.35348360655737704
DJCI,2310,1617,693,271,0.39105339105339104
ETH,2538,1776,762,301,0.39501312335958005
EURUSD,5271,3689,1582,609,0.38495575221238937
FCHI,6186,4330,1856,754,0.40625
FTSE100,6108,4275,1833,684,0.37315875613747956
GBPUSD,5283,3698,1585,610,0.38485804416403785
GDAXI,6142,4299,1843,710,0.38524145415084105
GOLD,5897,4127,1770,682,0.38531073446327685
HSI,5944,4160,1784,679,0.3806053811659193
IBGL,4086,2860,1226,472,0.38499184339314846
ICLN,3947,2762,1185,441,0.3721518987341772
NATGAS,5902,4131,1771,684,0.38622247317899494
NIFTY,4026,2818,1208,515,0.42632450331125826
NIKKEI,5906,4134,1772,692,0.3905191873589165
SP500,6078,4254,1824,717,0.3930921052631579
STOXX,4993,3495,1498,600,0.40053404539385845
TLT,5434,3803,1631,656,0.40220723482526055
USDJPY,6291,4403,1888,740,0.3919491525423729
WTI,5904,4132,1772,731,0.41252821670428896
