asset,pihat_raw,p_kup_raw,viol_raw,n_test,orig_pihat,orig_p,orig_n,comm_pihat,comm_p,pass_orig,pass_ver,pass_ver_common
SP500,0.0126454223571067,0.2561406381532407,25,1977,0.0126454223571067,0.2561406381532009,1977,0.0120614035087719,0.391410633608226,True,True,True
STOXX,0.0181598062953995,0.0027762933417672,30,1652,0.0181598062953995,0.0027762933417675,1652,0.0153538050734312,0.0535315056693004,False,False,True
GDAXI,0.0160240360540811,0.0128499276365011,32,1997,0.0160240360540811,0.0128499276365012,1997,0.016820401519262,0.0073423062161037,False,False,False
FCHI,0.017412935323383,0.0025065238516875,35,2010,0.017412935323383,0.0025065238516873,2010,0.0183189655172413,0.0012506156755184,False,False,False
FTSE100,0.0156092648539778,0.020245858855216,31,1986,0.0156092648539778,0.0202458588552136,1986,0.0163666121112929,0.012109886655179,False,False,False
ICLN,0.0082212257100149,0.4998633731947319,11,1338,0.007473841554559,0.3309701799346208,1338,0.0067510548523206,0.2323463492296394,True,True,True
NIKKEI,0.014018691588785,0.0946762232211541,27,1926,0.014018691588785,0.094676223221187,1926,0.0135440180586907,0.1548529750234026,True,True,True
HSI,0.0082601961796592,0.4275230929385385,16,1937,0.0082601961796592,0.4275230929385026,1937,0.0084080717488789,0.4871673532369059,True,True,True
BOVESPA,0.0066735112936344,0.116308728017563,13,1948,0.0066735112936344,0.1163087280175972,1948,0.0061315496098104,0.0761107131731496,True,True,True
NIFTY,0.0117474302496328,0.5282354727581038,16,1362,0.0117474302496328,0.5282354727580229,1362,0.0082781456953642,0.535314312425869,True,True,True
ASX200,0.0181177654755913,0.0010931222371449,36,1987,0.0181177654755913,0.0010931222371451,1987,0.0185488270594653,0.0010108623175008,False,False,False
CBU0,0.015929203539823,0.0651690566285482,18,1130,0.015929203539823,0.0651690566285477,1130,0.0163934426229508,0.0660775037643272,True,True,True
TLT,0.0117713004484304,0.4645172052755361,21,1784,0.0117713004484304,0.4645172052757137,1784,0.0128755364806866,0.2637656224270005,True,True,True
IBGL,0.0050724637681159,0.042100196939268,7,1380,0.0050724637681159,0.0421001969392645,1380,0.0040783034257748,0.0180190174059713,False,False,False
DJCI,0.0177095631641086,0.0419659916568448,15,847,0.0188902007083825,0.0205838694117419,847,0.0216450216450216,0.007618574913951,False,False,False
GOLD,0.0093603744149766,0.7756755235826953,18,1923,0.0093603744149766,0.7756755235826716,1923,0.0101694915254237,0.9430255792092032,True,True,True
WTI,0.0161038961038961,0.0134106505092428,31,1925,0.0161038961038961,0.0134106505092398,1925,0.015237020316027,0.0396945045392811,False,False,False
NATGAS,0.0114285714285714,0.5379505394219699,22,1925,0.0114285714285714,0.5379505394218314,1925,0.0112930547713156,0.5920815997024045,True,True,True
BTC,0.0023809523809523,0.0010928899766882,3,1260,0.0023809523809523,0.0010928899766882,1260,0.000903342366757,8.590099648342342e-05,False,False,False
ETH,0.0054644808743169,0.1314052773851128,5,915,0.0054644808743169,0.1314052773851011,915,0.0065616797900262,0.3088226459445203,True,True,True
EURUSD,0.0051873198847262,0.0264569650113931,9,1735,0.0051873198847262,0.0264569650113863,1735,0.0056890012642225,0.0607515382383162,False,False,True
GBPUSD,0.0115008625646923,0.5389783123724636,20,1739,0.0115008625646923,0.5389783123724143,1739,0.0113564668769716,0.5952442973866977,True,True,True
USDJPY,0.0073493385595296,0.206580679743449,15,2041,0.0073493385595296,0.2065806797434475,2041,0.0079449152542372,0.35193722152098,True,True,True
AUDUSD,0.0064599483204134,0.1344551855211713,10,1548,0.0064599483204134,0.1344551855211543,1548,0.007168458781362,0.2629043730509417,True,True,True
