symbol,n,n_cal,n_test,viol,pihat
ASX200,6109,4276,1833,45,0.024549918166939442
AUDUSD,4647,3252,1395,18,0.012903225806451613
BOVESPA,5980,4186,1794,30,0.016722408026755852
BTC,3688,2581,1107,14,0.012646793134598013
CBU0,3253,2277,976,10,0.010245901639344262
DJCI,2310,1617,693,23,0.03318903318903319
ETH,2538,1776,762,20,0.026246719160104987
EURUSD,5271,3689,1582,26,0.01643489254108723
FCHI,6186,4330,1856,41,0.02209051724137931
FTSE100,6108,4275,1833,38,0.020731042007637753
GBPUSD,5283,3698,1585,26,0.016403785488958992
GDAXI,6142,4299,1843,49,0.026587086272381984
GOLD,5897,4127,1770,42,0.023728813559322035
HSI,5944,4160,1784,27,0.015134529147982063
IBGL,4086,2860,1226,11,0.00897226753670473
ICLN,3947,2762,1185,11,0.009282700421940928
NATGAS,5902,4131,1771,23,0.012987012987012988
NIFTY,4026,2818,1208,8,0.006622516556291391
NIKKEI,5906,4134,1772,33,0.018623024830699775
SP500,6078,4254,1824,39,0.02138157894736842
STOXX,4993,3495,1498,25,0.016688918558077435
TLT,5434,3803,1631,21,0.012875536480686695
USDJPY,6291,4403,1888,33,0.017478813559322032
WTI,5904,4132,1772,31,0.017494356659142212
