symbol,n,n_cal,n_test,viol,pihat
ASX200,6109,4276,1833,764,0.41680305510092747
AUDUSD,4647,3252,1395,588,0.421505376344086
BOVESPA,5980,4186,1794,735,0.4096989966555184
BTC,3688,2581,1107,444,0.4010840108401084
CBU0,3253,2277,976,409,0.41905737704918034
DJCI,2310,1617,693,281,0.4054834054834055
ETH,2538,1776,762,327,0.42913385826771655
EURUSD,5271,3689,1582,695,0.4393173198482933
FCHI,6186,4330,1856,764,0.41163793103448276
FTSE100,6108,4275,1833,742,0.40480087288597927
GBPUSD,5283,3698,1585,680,0.42902208201892744
GDAXI,6142,4299,1843,751,0.40748779164405863
GOLD,5897,4127,1770,736,0.415819209039548
HSI,5944,4160,1784,749,0.4198430493273543
IBGL,4086,2860,1226,536,0.4371941272430669
ICLN,3947,2762,1185,502,0.42362869198312236
NATGAS,5902,4131,1771,759,0.42857142857142855
NIFTY,4026,2818,1208,510,0.42218543046357615
NIKKEI,5906,4134,1772,745,0.4204288939051919
SP500,6078,4254,1824,719,0.39418859649122806
STOXX,4993,3495,1498,607,0.40520694259012013
TLT,5434,3803,1631,731,0.44819129368485594
USDJPY,6291,4403,1888,784,0.4152542372881356
WTI,5904,4132,1772,756,0.42663656884875845
