model,raw_fz,corr_fz,improvement_pct,n_assets
Chronos-Small,34550611.94359133,-2.96539701802727,100.00000858276263,23
Chronos-Mini,47119585.398528,-2.9884542124323348,100.00000634227612,23
TimesFM-2.5,107.18488815904145,-2.2946039405441043,102.14079053489272,23
Moirai-2.0,95.40151921844645,-2.256312542960495,102.36506982430132,23
Lag-Llama,-2.509864102747165,-3.110645777718695,23.936820894563425,23
GJR-GARCH,-3.182001459648382,-3.249596219135837,2.1242843645623033,23
GARCH-N,-3.180644962768277,-3.2669018279539412,2.7119300077613935,23
Hist-Sim,-2.9421330474521237,-3.070940736212901,4.37803752186953,23
EWMA,-3.121577105815228,-3.244779616255176,3.9468033709765655,23
