block_calendar_days,draws,pairs_improved,pairs,fraction_improved,bootstrap_lower,bootstrap_upper,bootstrap_sd,binomial_p_two_sided_reference_only
20,999,188,240,0.7833333333333333,0.5041666666666667,0.8583333333333333,0.0901451729395896,2.911636237635396e-19
60,999,188,240,0.7833333333333333,0.5081249999999999,0.8541666666666666,0.09471273705119931,2.911636237635396e-19
