model,asset,cell,top_k,top_p,temperature,date,realised,pred_mean,pred_std,n_distinct,VaR_0.01,VaR_0.025,VaR_0.05,VaR_0.1,realised_sd
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2002-01-22,-0.0073612279647569,-0.001763195766583939,0.001466368901320217,50,-0.003954888321459293,-0.003878832794725895,-0.0038027772679924965,-0.0035746104549616575,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2002-03-06,0.0144053187126716,-0.0013804978877348542,0.0012564039494736303,50,-0.003333072178065777,-0.0032573204953223467,-0.003181568579748273,-0.00295431399717927,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2002-04-19,0.0006223869243324,-0.002287176053301664,0.002060558638254517,50,-0.006671785376966,-0.006525152828544378,-0.005865306127816439,-0.005572040565311909,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2002-06-03,-0.0251077891822292,-0.0020096466699076423,0.0014138810715556528,50,-0.00408931402489543,-0.003945828881114721,-0.0038740867748856544,-0.0036588595248758793,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2002-07-17,0.0056447655014726,-0.0020169273480943987,0.0023272115902287786,50,-0.006693262606859207,-0.0065477569587528706,-0.006329497788101435,-0.00392865389585495,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2002-08-28,-0.0182982421491439,-0.002255669158598682,0.001324658177226145,50,-0.0044741323217749596,-0.004238651599735022,-0.004160158336162567,-0.003932526940479874,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2002-10-11,0.0383151532541713,-0.00011552740055776666,0.0029813564500194446,50,-0.003928933292627335,-0.003761744825169444,-0.003678150475025177,-0.0034273674245923758,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2002-11-22,-0.0034436602808642,-0.0013971453661736923,0.0015762044635389569,50,-0.003745241556316614,-0.0036601226311177015,-0.0035750032402575016,-0.0032345266081392765,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2003-01-09,0.0192006058019641,-0.0009126009915464572,0.0020318357534057623,50,-0.003631486324593425,-0.0033844607591163364,-0.0032936737406998873,-0.0030403141863644123,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2003-02-24,-0.018551733389043,-0.002709106058697216,0.0016444532041779887,50,-0.005748406983911991,-0.005663871765136719,-0.004987588617950678,-0.004564911592751741,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2003-04-08,-0.001865540320781,-0.0018637095874230894,0.0014246939941334135,50,-0.00439793523401022,-0.004313359037041664,-0.004059632308781147,-0.003721329616382718,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2003-05-21,0.0040040229440094,-0.0011455318337081943,0.0014175262525027137,50,-0.0038617122918367386,-0.003697384148836136,-0.003286563791334629,-0.0029579075053334236,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2003-07-07,0.018813461400528,-0.002072052634304419,0.001343889953384764,50,-0.004266352858394384,-0.004184307064861059,-0.004102262202650309,-0.003938171546906233,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2003-08-18,0.0091137707574764,-0.0006596399379915361,0.0013952382193369254,50,-0.0032594932708889246,-0.0030211426608730105,-0.0030150311067700386,-0.002526107244193554,0.009905129064283468
Chronos-Small,SP500,top_k=50 (default),50,1.0,1.0,2003-10-01,0.0220941477754498,-0.001089080852735791,0.0013502982379316633,50,-0.0034538297913968563,-0.0033735078759491444,-0.0032128647435456514,-0.002891578245908022,0.009905129064283468
