model,asset,n
small,SP500,6078
small,STOXX,4993
small,GDAXI,6142
small,FCHI,6186
small,FTSE100,6108
small,ICLN,3947
small,NIKKEI,5906
small,HSI,5944
small,BOVESPA,5980
small,NIFTY,4026
small,ASX200,6109
small,CBU0,3253
small,TLT,5434
small,IBGL,4086
small,DJCI,2310
small,GOLD,5897
small,WTI,5904
small,NATGAS,5902
small,BTC,3688
small,ETH,2538
small,EURUSD,5271
small,GBPUSD,5283
small,USDJPY,6291
small,AUDUSD,4647
mini,SP500,6078
mini,STOXX,4993
mini,GDAXI,6142
mini,FCHI,6186
mini,FTSE100,6108
mini,ICLN,3947
mini,NIKKEI,5906
mini,HSI,5944
mini,BOVESPA,5980
mini,NIFTY,4026
mini,ASX200,6109
mini,CBU0,3253
mini,TLT,5434
mini,IBGL,4086
mini,DJCI,2310
mini,GOLD,5897
mini,WTI,5904
mini,NATGAS,5902
mini,BTC,3688
mini,ETH,2538
mini,EURUSD,5271
mini,GBPUSD,5283
mini,USDJPY,6291
mini,AUDUSD,4647
