series,observations,first,last,Mon,Tue,Wed,Thu,Fri,Sat,Sun,weekend_observations,gaps_1_day,gaps_3_day,gaps_over_3_days,gaps_total
BTC,4366,2014-09-18,2026-08-31,624,623,623,624,624,624,624,1248,4365,0,0,4365
ETH,3217,2017-11-10,2026-08-31,460,459,459,459,460,460,460,920,3216,0,0,3216
SP500,6704,2000-01-04,2026-08-31,1258,1376,1376,1350,1344,0,0,0,5246,1211,180,6703
GDAXI,6769,2000-01-04,2026-08-31,1330,1364,1365,1367,1343,0,0,0,5346,1317,86,6768
