model,N_panel,total_viol,pi_pooled,HAC_SE,p_kupiec,z_cluster,p_cluster
Chronos-Small,36588,386,0.010549907073357385,0.001680841175362102,0.2947384113955366,0.3031382009810457,0.7617845427686669
Chronos-Mini,36588,367,0.01003061112933202,0.0015682162148496469,0.9530968847781127,0.017440212492427373,0.9860854290970738
TimesFM-2.5,36588,379,0.01035858751503225,0.0015425527988668147,0.49312759036275255,0.38271161257580993,0.7019336032404233
Moirai-2.0,36588,418,0.011424510768557997,0.0016747584147288083,0.007412510460976018,1.283387429456291,0.19935637569525566
Moirai-1.1,36588,394,0.010768557997157539,0.0013483382981407982,0.144470100252292,0.7434612467348884,0.45720247554261384
Lag-Llama,36588,351,0.009593309281731716,0.0012589719320114136,0.4311802228536784,-0.5990263998486975,0.5491552799997006
GJR-GARCH,38473,428,0.011124684843916512,0.001105392383052528,0.029420142987672593,1.303818283539256,0.19229554718554098
GJR-GARCH-t,38473,409,0.010630832012060406,0.0010413212989919473,0.21833486432184723,0.7740693520671569,0.43888978027992076
GARCH-N,38473,419,0.010890754555142568,0.0012056128346647095,0.08343661968520533,1.1217833763201293,0.26195455601075857
Hist-Sim,38473,415,0.010786785537909703,0.0017995213621427824,0.12564125916494073,1.0579773232689895,0.2900657809361946
EWMA,38473,458,0.011904452473162998,0.0013487948219350614,0.00026754764881020687,2.106142894517683,0.035191941799183724
Chronos-Small-A,36588,414,0.011315185306657921,0.0017199981347921025,0.013274906483929594,1.1204268258555166,0.2625319187173858
Chronos-Mini-A,36588,398,0.010877883459057614,0.001721621257324549,0.09609537243268096,0.8864538501883864,0.3753730121879273
