asset_class,n_assets,n_panel,pi_mean,green,total
Equity,11,243915,0.010565555191368705,130,143
Bond,3,51009,0.009507299231255076,35,39
Commodity,4,79648,0.01584494971623104,35,52
Crypto,2,25082,0.005677859758232104,26,26
FX,4,85415,0.008860890072831222,52,52
