model,Ann.Vol,Kurt.,Tail Freq.
Chronos-Small,0.9555977845772586,-0.2741471590610585,0.5077600829175908
Chronos-Small-A,0.7057599298193875,-0.2168885400082598,0.5893710284898331
Chronos-Mini,0.9613655717034356,-0.2720307030581145,0.5023111036264926
Chronos-Mini-A,0.7325768502559554,-0.19386497003974107,0.5707884491359576
TimesFM-2.5,0.4972618650696104,-0.19934471892172706,0.6059989935816514
Moirai-1.1,0.6737219804659531,-0.19687008168525827,0.5236642006455983
Moirai-2.0,0.6935504245559547,-0.1621423150067094,0.5317964237432571
Lag-Llama,0.9072728299107587,-0.2475940333659972,0.53110230414956
GJR-GARCH,0.8156910627479508,-0.15177050529818645,0.46628092024296036
GJR-GARCH-t,0.7010624207274284,-0.16978309430679198,0.515351793550042
GARCH-N,0.7961811555885828,-0.17202571556092358,0.49757813569379994
Hist-Sim,0.670017845571539,-0.23718885509023063,0.4570179421232207
EWMA,0.7803146800254394,-0.14580098821493992,0.4863081177192276
