method,pi_hat,kup_pass,QS,width,green_pct,n_green
EVT-POT,0.01430927053841754,14/24,5.509822896520945,0.03644850808199298,75.0,18
FHS,0.015609201731718177,11/24,5.59372639033991,0.03554039435277395,54.166666666666664,13
