block,point,pointwise_lower,pointwise_upper,nine_lower,nine_upper,one_lower,one_upper,eight_lower,eight_upper
5,-0.1592924324044287,-0.2997204438849872,-0.0455411582631747,,,-0.2902584649473098,-0.0283263998615477,,
10,-0.1592924324044287,-0.3080253607671457,-0.0366439907341956,,,-0.2951565919137467,-0.0234282728951107,,
20,-0.1592924324044287,-0.3071990910962508,-0.0242436451303246,-0.3371561663915964,0.0185713015827388,,,-0.3470134778058049,0.0284286129969414
60,-0.1592924324044287,-0.3248797371683041,-0.0239176937778237,-0.3537365086990607,0.0351516438902032,,,-0.3564221526001803,0.0378372877913168
120,-0.1592924324044287,-0.2963570631093179,-0.0212769470493013,,,-0.2963958636154258,-0.0221890011934317,,
