model,asset,alpha,n11_static,n_viol_static,p_ind_static,p_joint_static,p_ind_roll,p_ind_raw
Chronos-Small,SP500,0.01,2,24,0.0390197575073552,0.05152520099494862,0.00023979469019863586,0.952372383634844
Chronos-Small,STOXX,0.01,1,7,0.022758640584019774,0.005147687875765472,1.3768385563439622e-05,0.3496126129420176
Chronos-Small,GDAXI,0.01,0,10,,,2.00660062331659e-05,0.536136410498249
Chronos-Small,FCHI,0.01,2,19,0.013757827107065856,0.04784898501019197,7.013321587923116e-06,0.20794046947748135
Chronos-Small,FTSE100,0.01,2,21,0.021830820279469587,0.059771560177424354,0.00013173834224355918,0.68887083598158
Chronos-Small,ICLN,0.01,0,7,,,,0.268260479769036
Chronos-Small,NIKKEI,0.01,2,14,0.0038786858182277006,0.010103174769792722,0.002766792967124565,0.548862195154276
Chronos-Small,HSI,0.01,2,12,0.0018879879877029548,0.002688176340641113,0.011780850026140488,0.3886391236974266
Chronos-Small,BOVESPA,0.01,3,14,8.73232361262577e-05,0.0002832788812021647,0.009040416511890581,0.2732296278780675
Chronos-Small,NIFTY,0.01,0,8,,,,0.1355455710175838
Chronos-Small,ASX200,0.01,2,19,0.014120488067457804,0.0486194992472877,0.00030976199080978706,0.00511441238291821
Chronos-Small,CBU0,0.01,0,29,,,,0.2391834539864076
Chronos-Small,TLT,0.01,1,29,0.5418706895706673,0.01446470250442089,0.06094048335653768,0.8859284360565314
Chronos-Small,IBGL,0.01,0,11,,,,0.3912303671000945
Chronos-Small,DJCI,0.01,1,21,0.6638753021198851,7.856287554386387e-05,0.16072047538100387,0.647027482282207
Chronos-Small,GOLD,0.01,1,14,0.09795517690166289,0.1669495771112519,0.24842362383732075,0.017808158366193094
Chronos-Small,WTI,0.01,7,45,9.111409372131174e-05,1.6451384698967786e-10,0.005299278223623749,0.9753091284780693
Chronos-Small,NATGAS,0.01,2,50,0.6310216209862152,2.0219603769078276e-09,,0.36966482780428755
