model,asset,panel,T,x,pi_hat,n11_obs,n11_exp,n11_var,z
Chronos-Small,SP500,B,1824,24,0.013157894736842105,2,0.3026315789473684,0.29504547540430603,3.1248677252743193
Chronos-Small,STOXX,B,1498,7,0.004672897196261682,1,0.028037383177570097,0.027813159728488333,5.828065132504291
Chronos-Small,GDAXI,B,1843,10,0.005425935973955507,0,0.04883342376559957,0.04835751881201427,-0.22206758494429277
Chronos-Small,FCHI,B,1856,19,0.010237068965517241,2,0.18426724137931036,0.1807094698033483,4.27131374385519
Chronos-Small,FTSE100,B,1833,21,0.011456628477905073,2,0.22913256955810146,0.22415833317824785,3.740318680080163
Chronos-Small,ICLN,B,1185,7,0.00590717299578059,0,0.035443037974683546,0.035084878982491546,-0.1892217037814574
Chronos-Small,NIKKEI,B,1772,14,0.007900677200902935,2,0.10270880361173815,0.10120689520091611,5.963880607448156
Chronos-Small,HSI,B,1784,12,0.006726457399103139,2,0.07399103139013453,0.07308114467232367,7.124520403665382
Chronos-Small,BOVESPA,B,1794,14,0.007803790412486065,3,0.10144927536231885,0.09998391607400388,9.166759420431873
Chronos-Small,NIFTY,B,1208,8,0.006622516556291391,0,0.046357615894039736,0.0458216941094787,-0.21656362971989934
Chronos-Small,ASX200,B,1833,19,0.010365521003818877,2,0.18657937806873978,0.1829319731854679,4.239881714681972
Chronos-Small,CBU0,B,976,29,0.02971311475409836,0,0.8319672131147541,0.7848923469704174,-0.9390769144173643
Chronos-Small,TLT,B,1631,29,0.017780502759043533,1,0.4978540772532189,0.48090194863730323,0.7241052100203904
Chronos-Small,IBGL,B,1226,11,0.00897226753670473,0,0.08972267536704731,0.0882643869189935,-0.30200175065151175
Chronos-Small,DJCI,B,693,21,0.030303030303030304,1,0.6060606060606061,0.5715589951007713,0.5210733721254495
Chronos-Small,GOLD,B,1770,14,0.007909604519774011,1,0.10282485875706214,0.10131956007073924,2.8185814152902036
Chronos-Small,WTI,B,1772,45,0.025395033860045147,7,1.1173814898419865,1.0625644205521765,5.70680522650638
Chronos-Small,NATGAS,B,1771,50,0.028232636928289104,2,1.383399209486166,1.3078854641998174,0.5391619317230871
Chronos-Small,BTC,B,1107,1,0.0009033423667570009,0,0.0,0.0,
Chronos-Small,ETH,B,762,3,0.003937007874015748,0,0.007874015748031496,0.00783270948933488,-0.08896931964299061
Chronos-Small,EURUSD,B,1582,4,0.0025284450063211127,0,0.007585335018963338,0.007556584561780271,-0.08725935401265641
Chronos-Small,GBPUSD,B,1585,9,0.0056782334384858045,0,0.045425867507886436,0.04496832308194746,-0.2142150026592463
Chronos-Small,USDJPY,B,1888,14,0.007415254237288136,0,0.09639830508474576,0.09507500709906469,-0.3126340054196235
Chronos-Small,AUDUSD,B,1395,1,0.0007168458781362007,0,0.0,0.0,
Chronos-Mini,SP500,B,1824,18,0.009868421052631578,1,0.16776315789473686,0.16464971692311084,2.0510036978412582
Chronos-Mini,STOXX,B,1498,7,0.004672897196261682,1,0.028037383177570097,0.027813159728488333,5.828065132504291
Chronos-Mini,GDAXI,B,1843,9,0.0048833423765599565,0,0.03906673901247965,0.038728225649774656,-0.19851501513129002
Chronos-Mini,FCHI,B,1856,16,0.008620689655172414,2,0.12931034482758622,0.12722808650977052,5.2445743533372475
Chronos-Mini,FTSE100,B,1833,21,0.011456628477905073,3,0.22913256955810146,0.22415833317824785,5.852457971696595
Chronos-Mini,ICLN,B,1185,8,0.006751054852320675,0,0.04725738396624473,0.04670048353111965,-0.21867996114253213
Chronos-Mini,NIKKEI,B,1772,15,0.008465011286681716,2,0.11851015801354402,0.11664440998032728,5.508963724107696
Chronos-Mini,HSI,B,1784,13,0.0072869955156950675,2,0.08744394618834081,0.08627119898430537,6.511503158200817
Chronos-Mini,BOVESPA,B,1794,8,0.004459308807134894,1,0.031215161649944256,0.030971972650065623,5.5048171753124935
Chronos-Mini,NIFTY,B,1208,5,0.0041390728476821195,0,0.016556291390728478,0.016446783337421757,-0.12909891008218585
Chronos-Mini,ASX200,B,1833,19,0.010365521003818877,2,0.18657937806873978,0.1829319731854679,4.239881714681972
Chronos-Mini,CBU0,B,976,29,0.02971311475409836,0,0.8319672131147541,0.7848923469704174,-0.9390769144173643
Chronos-Mini,TLT,B,1631,32,0.019619865113427344,2,0.6082158185162477,0.58530817786219,1.819196451086941
Chronos-Mini,IBGL,B,1226,11,0.00897226753670473,0,0.08972267536704731,0.0882643869189935,-0.30200175065151175
Chronos-Mini,DJCI,B,693,19,0.027417027417027416,1,0.49350649350649345,0.4681846942187757,0.7402276032248325
Chronos-Mini,GOLD,B,1770,14,0.007909604519774011,1,0.10282485875706214,0.10131956007073924,2.8185814152902036
Chronos-Mini,WTI,B,1772,42,0.023702031602708805,6,0.971783295711061,0.9273214846018099,5.221542600256426
Chronos-Mini,NATGAS,B,1771,48,0.02710333145115754,3,1.2738565782044045,1.2071222235324386,1.5710906889326608
