panel,n_kupiec_pass,published_rule_pass,published_rule_pct,n_degenerate,degenerate_pct,n_informative,informative_pass,informative_pct
A,108,93,86.11111111111111,69,63.888888888888886,39,24,61.53846153846154
B,32,13,40.625,10,31.25,22,3,13.636363636363635
