alpha,panel,n_pairs,n_degenerate,pct_degenerate,mean_violations,mean_n11
0.01,A,144,87,60.416666666666664,17.21527777777778,0.7777777777777778
0.01,B,96,39,40.625,17.21875,2.96875
0.025,A,144,47,32.63888888888889,40.11805555555556,1.9236111111111112
0.025,B,96,22,22.916666666666664,38.65625,7.322916666666667
0.05,A,144,11,7.638888888888889,78.29861111111111,5.333333333333333
0.05,B,96,8,8.333333333333332,71.47916666666667,13.770833333333334
0.1,A,144,0,0.0,156.33333333333334,17.11111111111111
0.1,B,96,2,2.083333333333333,142.20833333333334,29.5
