model,static_informative_pass,static_incl_degenerate,table2_static,roll_informative_pass,roll_incl_degenerate,table2_rolling,static_ok,roll_ok
Chronos-Small,4,15,4,5,14,5,True,True
Chronos-Mini,5,16,5,5,14,5,True,True
TimesFM-2.5,8,16,0,6,18,3,False,False
Moirai-2.0,7,16,0,7,20,2,False,False
Lag-Llama,2,24,2,2,24,2,True,True
GJR-GARCH,5,23,7,6,22,8,False,False
GARCH-N,6,18,6,10,22,10,True,True
Hist-Sim,6,14,6,9,16,9,True,True
EWMA,7,21,7,5,22,5,True,True
