variable,coef,se_ols,se_cluster_asset,se_cluster_model,pval_ols,pval_asset,pval_model
const,-0.0003410834214311621,4.272730612371523e-05,6.059275229645065e-05,4.933105051436305e-05,2.8357646375762447e-14,1.811391928605281e-08,4.706003288701057e-12
qV_stat,0.05454336207457651,0.002877766092683031,0.01356829804519376,0.010418062914363752,1.0906788403004318e-53,5.821992157611592e-05,1.6457357460943768e-07
pi_raw,0.004036861980186716,0.0003585093932690395,0.0010249690247788117,0.0008690917009883769,7.104547120844338e-25,8.198543563209131e-05,3.4020720627518075e-06
