model,asset,n_common,n_full,first,last,raw_QS,static_QS,rolling_QS,raw_pi,static_pi,rolling_pi,full_raw_QS,full_static_QS
PatchTST-FM,ASX200,565,1868,2024-06-11,2026-08-31,0.0003370156403586079,0.0002929608560194742,0.0003207277577249626,0.02831858407079646,0.010619469026548672,0.008849557522123894,0.00036742199529585224,0.00034898560057239326
PatchTST-FM,AUDUSD,575,1430,2024-06-11,2026-08-31,0.00022489741127797186,0.00022663901843033782,0.0002553130531697532,0.01217391304347826,0.0052173913043478265,0.008695652173913044,0.00021662881440416947,0.00021475029275245437
PatchTST-FM,BOVESPA,557,1829,2024-06-11,2026-08-31,0.0004026878682185037,0.0003518812484792107,0.0003752879394207997,0.026929982046678635,0.01436265709156194,0.017953321364452424,0.0005058630053171141,0.0004902056168683751
PatchTST-FM,BTC,812,1157,2024-06-11,2026-08-31,0.0008604949839105306,0.0008816115029547305,0.0008822916496545393,0.020935960591133004,0.003694581280788177,0.007389162561576354,0.0008954629576454823,0.0008680553088166369
PatchTST-FM,CBU0,561,1010,2024-06-11,2026-08-28,0.00011763196220358856,0.0001180768880927429,0.00012534836376857189,0.0142602495543672,0.0071301247771836,0.0053475935828877,0.00013783933997676138,0.00013710656044000488
PatchTST-FM,DJCI,558,765,2024-06-11,2026-08-31,0.0004615528879566939,0.0004135718194576601,0.00041870710240117596,0.023297491039426525,0.016129032258064516,0.016129032258064516,0.00039934818652820266,0.0003769059696110883
PatchTST-FM,ETH,812,812,2024-06-11,2026-08-31,0.0014145463377178138,0.0012546480625856143,0.0013200036187784126,0.02832512315270936,0.007389162561576354,0.007389162561576354,0.0014145463377178138,0.0012546480625856143
PatchTST-FM,EURUSD,575,1617,2024-06-11,2026-08-31,0.00015473228922221997,0.0001504165796749362,0.00015170120109894462,0.017391304347826087,0.01217391304347826,0.006956521739130435,0.00014783880418256946,0.0001417209140086072
PatchTST-FM,FCHI,568,1891,2024-06-11,2026-08-31,0.00037333205267489795,0.0003276364872270481,0.0003721901203367703,0.02640845070422535,0.01056338028169014,0.01056338028169014,0.00045964389965606544,0.0004431084121946618
PatchTST-FM,FTSE100,563,1867,2024-06-11,2026-08-28,0.0003304767490947417,0.0003169238301531875,0.00035465991145941007,0.021314387211367674,0.007104795737122558,0.0053285968028419185,0.00039378288859052795,0.00037960705426975483
PatchTST-FM,GBPUSD,575,1621,2024-06-11,2026-08-31,0.0001336992832753514,0.00012957104857706474,0.00013312699466693805,0.020869565217391306,0.006956521739130435,0.01217391304347826,0.00017670809508926272,0.00017246275130629551
PatchTST-FM,GDAXI,564,1878,2024-06-11,2026-08-31,0.0003958467810297244,0.0003548065701679076,0.000399926512389437,0.024822695035460994,0.015957446808510637,0.012411347517730497,0.00048434299543114926,0.0004641027934316331
PatchTST-FM,GLD,557,1490,2024-06-11,2026-08-31,0.0006533267300118998,0.0006274608399943615,0.0007082109105170326,0.02154398563734291,0.01436265709156194,0.00718132854578097,0.0004545819585182724,0.0004357149474853194
PatchTST-FM,HSI,547,1817,2024-06-11,2026-08-31,0.0006790643180200366,0.0006836718162620141,0.000858637112151088,0.010968921389396709,0.005484460694698354,0.009140767824497258,0.0005492471053814801,0.0005306706364636303
