asset,first_date,test_start,last_date,n_calibration,n_total,n_test
NIKKEI,2002-02-01,2019-04-04,2026-08-31,4211,6017,1806
FTSE100,2002-01-14,2019-04-05,2026-08-28,4354,6221,1867
GDAXI,2002-01-10,2019-04-10,2026-08-31,4379,6257,1878
SP500,2002-01-22,2019-04-10,2026-08-31,4334,6192,1858
USDJPY,2001-12-20,2019-04-10,2026-08-31,4486,6409,1923
HSI,2002-02-04,2019-04-11,2026-08-31,4238,6055,1817
FCHI,2002-01-11,2019-04-11,2026-08-31,4410,6301,1891
ASX200,2002-01-16,2019-04-12,2026-08-31,4356,6224,1868
BOVESPA,2002-01-31,2019-04-29,2026-08-31,4265,6094,1829
TLT,2004-08-12,2020-01-15,2026-08-31,3883,5548,1665
GBPUSD,2005-11-21,2020-06-08,2026-08-31,3780,5401,1621
EURUSD,2005-11-21,2020-06-12,2026-08-31,3772,5389,1617
STOXX,2006-04-25,2020-07-30,2026-08-31,3574,5106,1532
GLD,2006-12-01,2020-09-24,2026-08-31,3476,4966,1490
USO,2008-04-24,2021-02-24,2026-08-31,3231,4617,1386
AUDUSD,2008-05-09,2021-03-02,2026-08-31,3335,4765,1430
UNG,2009-04-30,2021-06-15,2026-08-31,3052,4361,1309
NIFTY,2009-10-27,2021-08-23,2026-08-31,2895,4137,1242
IBGL,2010-01-12,2021-08-27,2026-08-28,2939,4199,1260
ICLN,2010-07-09,2021-10-21,2026-08-31,2842,4061,1219
CBU0,2013-05-01,2022-08-26,2026-08-28,2356,3366,1010
BTC,2016-02-12,2023-07-02,2026-08-31,2697,3854,1157
DJCI,2016-07-18,2023-08-15,2026-08-31,1782,2547,765
ETH,2019-04-06,2024-06-11,2026-08-31,1893,2705,812
