model,symbol,z2_raw,z2_corr,raw_pass,corr_pass,q_hat_E,n_test
Chronos-Small,SP500,-154.3056740807777,-15.422958701400411,False,False,0.0015526763791020356,1824
Chronos-Small,STOXX,-167.59628758280587,-4.815229655599402,False,False,0.0015183264024899498,1498
Chronos-Small,GDAXI,-145.5854195066815,-6.3960517799783645,False,False,0.0017600199619081684,1843
Chronos-Small,FCHI,-163.09736963582424,-11.494224755570448,False,False,0.0019467003971505217,1856
Chronos-Small,FTSE100,-134.91590099896737,-12.011041300250053,False,False,0.0016477043187632934,1833
Chronos-Small,ICLN,-81.280378470983,-2.338414285838073,False,False,0.0025406382468418365,1185
Chronos-Small,NIKKEI,-138.4772692975474,-8.19188336239504,False,False,0.00178392715432079,1772
Chronos-Small,HSI,-103.03481587283117,-4.749187451550916,False,False,0.002204416441454894,1784
Chronos-Small,BOVESPA,-116.70281975260464,-8.626153045497395,False,False,0.0024368128445447753,1794
Chronos-Small,NIFTY,-177.64195738291673,-6.9589305032340345,False,False,0.00136071312197787,1208
Chronos-Small,ASX200,-212.56085904148313,-12.81060789051037,False,False,0.001963891443325838,1833
Chronos-Small,CBU0,-78.59207971602899,-3.7273043275478956,False,False,0.005634674839047544,976
Chronos-Small,TLT,-92.64583514118671,-8.65829129198843,False,False,0.001157989899774327,1631
Chronos-Small,IBGL,-88.60724177467966,-3.851862594427425,False,False,0.0010118789888093557,1226
Chronos-Small,DJCI,-148.11707444291395,-25.690002095738187,False,False,0.0010015679427961724,693
Chronos-Small,GOLD,-172.60319062001867,-9.777250051573796,False,False,0.0015900950132716586,1770
Chronos-Small,WTI,-162.4018106489399,-26.834842909568145,False,False,0.0027898020073487823,1772
Chronos-Small,NATGAS,-100.31052874052253,-15.637396481256598,False,False,0.004626731879142858,1771
Chronos-Small,BTC,-95.94680805195874,-0.07366371919887493,False,True,0.00484681932763799,1107
Chronos-Small,ETH,-133.89564036932936,-3.2648462050757576,False,False,0.00447020043580747,762
Chronos-Small,EURUSD,-109.01294981525852,-1.252005880728746,False,True,0.0007563806918231216,1582
Chronos-Small,GBPUSD,-108.58727303038907,-4.575650438945244,False,False,0.0006474010415411561,1585
Chronos-Small,USDJPY,-142.98987120728424,-7.6016263026746245,False,False,0.000679213883569595,1888
Chronos-Small,AUDUSD,-103.78590088203437,-0.256520852069001,False,True,0.0008706715000155354,1395
Chronos-Mini,SP500,-126.95784328295585,-9.745682185915989,False,False,0.0012824402028043277,1824
