model,asset,interface,alpha001_origin,pihat_0.1,p_kup_0.1,n_0.1,pihat_0.01,p_kup_0.01,n_0.01
Chronos-Small,SP500,sample,native,0.40013162224415927,0.0,6078,0.37018756169792694,0.0,6078
Chronos-Small,STOXX,sample,native,0.41858602042860005,0.0,4993,0.39034648507911074,0.0,4993
Chronos-Small,GDAXI,sample,native,0.4117551286225985,0.0,6142,0.37821556496255293,0.0,6142
Chronos-Small,FCHI,sample,native,0.41529259618493375,0.0,6186,0.38522470093760103,0.0,6186
Chronos-Small,FTSE100,sample,native,0.40913555992141454,0.0,6108,0.3781925343811395,0.0,6108
Chronos-Small,ICLN,sample,native,0.40638459589561693,0.0,3947,0.3787686850772739,0.0,3947
Chronos-Small,NIKKEI,sample,native,0.4087368777514392,0.0,5906,0.3804605485946495,0.0,5906
Chronos-Small,HSI,sample,native,0.3997308209959623,0.0,5944,0.3739905787348587,0.0,5944
Chronos-Small,BOVESPA,sample,native,0.41036789297658866,0.0,5980,0.38444816053511705,0.0,5980
Chronos-Small,NIFTY,sample,native,0.42647789369100847,0.0,4026,0.39046199701937406,0.0,4026
Chronos-Small,ASX200,sample,native,0.42347356359469635,0.0,6109,0.3951546898019316,0.0,6109
Chronos-Small,CBU0,sample,native,0.4586535505687058,0.0,3253,0.4079311404857055,0.0,3253
Chronos-Small,TLT,sample,native,0.41645196908354803,0.0,5434,0.3921604711078395,0.0,5434
Chronos-Small,IBGL,sample,native,0.41507586882036224,0.0,4086,0.3820362212432697,0.0,4086
Chronos-Small,DJCI,sample,native,0.416017316017316,0.0,2310,0.3891774891774892,0.0,2310
Chronos-Small,GOLD,sample,native,0.41054773613701884,0.0,5897,0.3825674071561811,0.0,5897
Chronos-Small,WTI,sample,native,0.42394986449864497,0.0,5904,0.3948170731707317,0.0,5904
Chronos-Small,NATGAS,sample,native,0.4013893595391393,0.0,5902,0.37495764147746524,0.0,5902
Chronos-Small,BTC,sample,native,0.3842190889370933,0.0,3688,0.35086767895878523,0.0,3688
Chronos-Small,ETH,sample,native,0.3947990543735225,0.0,2538,0.37076438140267926,0.0,2538
Chronos-Small,EURUSD,sample,native,0.41320432555492315,0.0,5271,0.3826598368431038,0.0,5271
Chronos-Small,GBPUSD,sample,native,0.4090478894567481,0.0,5283,0.3836835131554041,0.0,5283
Chronos-Small,USDJPY,sample,native,0.4137656970274996,0.0,6291,0.38833253854713085,0.0,6291
Chronos-Small,AUDUSD,sample,native,0.4157520981278244,0.0,4647,0.3897137938454917,0.0,4647
Chronos-Mini,SP500,sample,native,0.422671931556433,0.0,6078,0.393221454425798,0.0,6078
Chronos-Mini,STOXX,sample,native,0.43220508712197075,0.0,4993,0.40656919687562587,0.0,4993
Chronos-Mini,GDAXI,sample,native,0.43275805926408334,0.0,6142,0.40605665906870725,0.0,6142
Chronos-Mini,FCHI,sample,native,0.43889427740058196,0.0,6186,0.4093113482056256,0.0,6186
Chronos-Mini,FTSE100,sample,native,0.43451211525867717,0.0,6108,0.4058611656843484,0.0,6108
Chronos-Mini,ICLN,sample,native,0.44362807195338233,0.0,3947,0.41626551811502405,0.0,3947
Chronos-Mini,NIKKEI,sample,native,0.44056891296986117,0.0,5906,0.4160176092109719,0.0,5906
Chronos-Mini,HSI,sample,native,0.44044414535666215,0.0,5944,0.41268506056527593,0.0,5944
Chronos-Mini,BOVESPA,sample,native,0.4483277591973244,0.0,5980,0.41839464882943145,0.0,5980
Chronos-Mini,NIFTY,sample,native,0.4443616492796821,0.0,4026,0.412568306010929,0.0,4026
Chronos-Mini,ASX200,sample,native,0.44688165002455393,0.0,6109,0.4190538549680799,0.0,6109
Chronos-Mini,CBU0,sample,native,0.48847217952659083,0.0,3253,0.45219797110359666,0.0,3253
Chronos-Mini,TLT,sample,native,0.4539933750460066,0.0,5434,0.4285977180714023,0.0,5434
Chronos-Mini,IBGL,sample,native,0.4454233969652472,0.0,4086,0.4185022026431718,0.0,4086
Chronos-Mini,DJCI,sample,native,0.45584415584415583,0.0,2310,0.42164502164502166,0.0,2310
Chronos-Mini,GOLD,sample,native,0.4515855519755808,0.0,5897,0.42224860098355094,0.0,5897
Chronos-Mini,WTI,sample,native,0.44901761517615174,0.0,5904,0.42005420054200543,0.0,5904
Chronos-Mini,NATGAS,sample,native,0.4573026092849881,0.0,5902,0.42951541850220265,0.0,5902
Chronos-Mini,BTC,sample,native,0.4181127982646421,0.0,3688,0.3888286334056399,0.0,3688
Chronos-Mini,ETH,sample,native,0.4397163120567376,0.0,2538,0.4066193853427896,0.0,2538
Chronos-Mini,EURUSD,sample,native,0.45285524568393093,0.0,5271,0.4230696262568773,0.0,5271
Chronos-Mini,GBPUSD,sample,native,0.45258375922771155,0.0,5283,0.42608366458451635,0.0,5283
Chronos-Mini,USDJPY,sample,native,0.4482594182164998,0.0,6291,0.4202829438880941,0.0,6291
Chronos-Mini,AUDUSD,sample,native,0.4542715730578868,0.0,4647,0.4260813428018076,0.0,4647
TimesFM-2.5,SP500,grid-9,extrapolated,0.8882856202698256,0.0,6078,0.989634748272458,0.0,6078
TimesFM-2.5,STOXX,grid-9,extrapolated,0.9002603645103144,0.0,4993,0.993991588223513,0.0,4993
TimesFM-2.5,GDAXI,grid-9,extrapolated,0.8948225333767502,0.0,6142,0.9913708889612504,0.0,6142
TimesFM-2.5,FCHI,grid-9,extrapolated,0.9049466537342385,0.0,6186,0.991270611057226,0.0,6186
TimesFM-2.5,FTSE100,grid-9,extrapolated,0.9050425671250819,0.0,6108,0.9932874918140144,0.0,6108
TimesFM-2.5,ICLN,grid-9,extrapolated,0.9075247023055485,0.0,3947,0.9873321510007601,0.0,3947
TimesFM-2.5,NIKKEI,grid-9,extrapolated,0.8970538435489332,0.0,5906,0.9918726718591263,0.0,5906
TimesFM-2.5,HSI,grid-9,extrapolated,0.8992261103633916,0.0,5944,0.9883916554508748,0.0,5944
TimesFM-2.5,BOVESPA,grid-9,extrapolated,0.8976588628762542,0.0,5980,0.9921404682274247,0.0,5980
TimesFM-2.5,NIFTY,grid-9,extrapolated,0.8887232985593642,0.0,4026,0.9898161947342276,0.0,4026
TimesFM-2.5,ASX200,grid-9,extrapolated,0.8999836307087903,0.0,6109,0.9929612047798331,0.0,6109
TimesFM-2.5,CBU0,grid-9,extrapolated,0.9117737473101752,0.0,3253,0.9864740239778665,0.0,3253
TimesFM-2.5,TLT,grid-9,extrapolated,0.9136915715863084,0.0,5434,0.9904306220095693,0.0,5434
TimesFM-2.5,IBGL,grid-9,extrapolated,0.9052863436123348,0.0,4086,0.9902104747919726,0.0,4086
TimesFM-2.5,DJCI,grid-9,extrapolated,0.9311688311688312,0.0,2310,0.9913419913419913,0.0,2310
TimesFM-2.5,GOLD,grid-9,extrapolated,0.8945226386298117,0.0,5897,0.9866033576394777,0.0,5897
TimesFM-2.5,WTI,grid-9,extrapolated,0.9100609756097561,0.0,5904,0.9913617886178862,0.0,5904
TimesFM-2.5,NATGAS,grid-9,extrapolated,0.9044391731616401,0.0,5902,0.9849203659776347,0.0,5902
TimesFM-2.5,BTC,grid-9,extrapolated,0.8703904555314533,0.0,3688,0.9883405639913232,0.0,3688
TimesFM-2.5,ETH,grid-9,extrapolated,0.8865248226950354,0.0,2538,0.9901497241922774,0.0,2538
TimesFM-2.5,EURUSD,grid-9,extrapolated,0.9049516220830962,0.0,5271,0.9884272434073231,0.0,5271
TimesFM-2.5,GBPUSD,grid-9,extrapolated,0.9117925421162218,0.0,5283,0.9890213893621048,0.0,5283
TimesFM-2.5,USDJPY,grid-9,extrapolated,0.9084406294706724,0.0,6291,0.9876013352408202,0.0,6291
TimesFM-2.5,AUDUSD,grid-9,extrapolated,0.9199483537766301,0.0,4647,0.9920378738971379,0.0,4647
Moirai-2.0,SP500,grid-9,extrapolated,0.8845014807502468,0.0,6078,0.9911154985192497,0.0,6078
