model,asset,code_path,panel,median_VaR001,pct_positive,frac_monotone_correct,frac_monotone_reversed,pihat_at_stored
Chronos-Small,SP500,percentile_raw,B,-0.00154824840137735,0.036689700559394536,0.882856202698256,0.0,0.37018756169792694
Chronos-Small,STOXX,percentile_raw,B,-0.0014911433681845665,0.04826757460444622,0.8996595233326657,0.0,0.39034648507911074
Chronos-Small,GDAXI,percentile_raw,B,-0.0020855809561908245,0.025398892868772387,0.8857049820905243,0.0,0.37821556496255293
Chronos-Small,FCHI,percentile_raw,B,-0.0022775231627747416,0.02651147752990624,0.8918525703200776,0.0,0.38522470093760103
Chronos-Small,FTSE100,percentile_raw,B,-0.0018788038869388402,0.024721676489849378,0.8885068762278978,0.0,0.3781925343811395
Chronos-Small,ICLN,percentile_raw,B,-0.003875144524499774,0.020521915378768685,0.8852292880668863,0.0,0.3787686850772739
Chronos-Small,NIKKEI,percentile_raw,B,-0.002618422848172486,0.01100575685743312,0.8845242126650864,0.0,0.3804605485946495
Chronos-Small,HSI,percentile_raw,B,-0.002822778536938131,0.018337819650067293,0.8940107671601615,0.0,0.3739905787348587
Chronos-Small,BOVESPA,percentile_raw,B,-0.0031527787214145064,0.012040133779264214,0.8861204013377927,0.0,0.38444816053511705
Chronos-Small,NIFTY,percentile_raw,B,-0.0017645895131863654,0.12071535022354694,0.8869846000993542,0.0,0.39046199701937406
Chronos-Small,ASX200,percentile_raw,B,-0.0013173274928703904,0.07071533802586348,0.8875429693894255,0.0,0.3951546898019316
Chronos-Small,CBU0,percentile_raw,B,-0.0008179403375834227,0.08576698432216416,0.8032585305871504,0.0,0.4079311404857055
Chronos-Small,TLT,percentile_raw,B,-0.0019321030122227967,0.005888847994111152,0.8919764446080236,0.0,0.3921604711078395
Chronos-Small,IBGL,percentile_raw,B,-0.0016680028638802469,0.037934410181106215,0.8883994126284875,0.0,0.3820362212432697
Chronos-Small,DJCI,percentile_raw,B,-0.0021580737084150314,0.007792207792207792,0.8835497835497835,0.0,0.3891774891774892
Chronos-Small,GOLD,percentile_raw,B,-0.001685345428995788,0.0371375275563846,0.8924877056130236,0.0,0.3825674071561811
Chronos-Small,WTI,percentile_raw,B,-0.004227089462801814,0.036585365853658534,0.8839769647696477,0.0,0.3948170731707317
Chronos-Small,NATGAS,percentile_raw,B,-0.009509327821433544,0.0008471704506946798,0.8891901050491359,0.0,0.37495764147746524
Chronos-Small,BTC,percentile_raw,B,-0.005782038439065218,0.03308026030368764,0.9037418655097614,0.0,0.35086767895878523
Chronos-Small,ETH,percentile_raw,B,-0.007922285702079535,0.0031520882584712374,0.8908589440504334,0.0,0.37076438140267926
Chronos-Small,EURUSD,percentile_raw,B,-0.001249499386176467,0.0018971732119142477,0.8920508442420793,0.0,0.3826598368431038
Chronos-Small,GBPUSD,percentile_raw,B,-0.0013366631465032697,0.0017035775127768314,0.8883210297179632,0.0,0.3836835131554041
Chronos-Small,USDJPY,percentile_raw,B,-0.0012507494539022446,0.010014306151645207,0.8968367509140042,0.0,0.38833253854713085
Chronos-Small,AUDUSD,percentile_raw,B,-0.0015198810724541545,0.010974822466107165,0.8878846567678071,0.0,0.3897137938454917
Chronos-Mini,SP500,percentile_raw,B,-0.0011233564582653344,0.11582757486015137,0.8910825929582099,0.0,0.393221454425798
Chronos-Mini,STOXX,percentile_raw,B,-0.0010208864696323872,0.1217704786701382,0.8880432605647907,0.0,0.40656919687562587
Chronos-Mini,GDAXI,percentile_raw,B,-0.0013920935452915728,0.10420058612829697,0.8878215564962553,0.0,0.40605665906870725
Chronos-Mini,FCHI,percentile_raw,B,-0.0014934306964278221,0.07824118978338183,0.8981571290009699,0.0,0.4093113482056256
Chronos-Mini,FTSE100,percentile_raw,B,-0.001167074020486325,0.0848068107400131,0.8871971185330714,0.0,0.4058611656843484
Chronos-Mini,ICLN,percentile_raw,B,-0.0025370691437274218,0.08436787433493793,0.8799087914872055,0.0,0.41626551811502405
Chronos-Mini,NIKKEI,percentile_raw,B,-0.0014461273676715791,0.07534710463934981,0.8907890281070098,0.0,0.4160176092109719
Chronos-Mini,HSI,percentile_raw,B,-0.001787766523193568,0.08580080753701211,0.8884589502018843,0.0,0.41268506056527593
Chronos-Mini,BOVESPA,percentile_raw,B,-0.0018261366640217602,0.11688963210702341,0.8939799331103679,0.0,0.41839464882943145
Chronos-Mini,NIFTY,percentile_raw,B,-0.0010284878662787378,0.17883755588673622,0.8859910581222057,0.0,0.412568306010929
Chronos-Mini,ASX200,percentile_raw,B,-0.0008143185987137258,0.1656572270420691,0.8816500245539368,0.0,0.4190538549680799
Chronos-Mini,CBU0,percentile_raw,B,-0.00047678526607342064,0.16538579772517675,0.7728250845373501,0.0,0.45219797110359666
Chronos-Mini,TLT,percentile_raw,B,-0.0011077301460318267,0.1312108943687891,0.8875598086124402,0.0,0.4285977180714023
Chronos-Mini,IBGL,percentile_raw,B,-0.0008776356116868556,0.09936368086147822,0.8776309348996574,0.0,0.4185022026431718
Chronos-Mini,DJCI,percentile_raw,B,-0.0014647914213128388,0.04588744588744589,0.883982683982684,0.0,0.42164502164502166
Chronos-Mini,GOLD,percentile_raw,B,-0.0007100506336428225,0.18450059352212989,0.8831609292860777,0.0,0.42224860098355094
Chronos-Mini,WTI,percentile_raw,B,-0.0023401762591674924,0.14041327913279134,0.8849932249322493,0.0,0.42005420054200543
Chronos-Mini,NATGAS,percentile_raw,B,-0.0056589385494589806,0.049474754320569296,0.8868180277871908,0.0,0.42951541850220265
Chronos-Mini,BTC,percentile_raw,B,-0.0038071981398388743,0.0509761388286334,0.9064533622559653,0.0,0.3888286334056399
Chronos-Mini,ETH,percentile_raw,B,-0.004536695079877973,0.034278959810874705,0.9022852639873916,0.0,0.4066193853427896
Chronos-Mini,EURUSD,percentile_raw,B,-0.0008401009254157543,0.06697021438057295,0.8783911971162968,0.0,0.4230696262568773
Chronos-Mini,GBPUSD,percentile_raw,B,-0.0008843381074257195,0.03710013250047322,0.8845353019117925,0.0,0.42608366458451635
Chronos-Mini,USDJPY,percentile_raw,B,-0.0008116032695397735,0.0847242091877285,0.8858687013193451,0.0,0.4202829438880941
Chronos-Mini,AUDUSD,percentile_raw,B,-0.00102241279091686,0.08995050570260384,0.88616311598881,0.0,0.4260813428018076
TimesFM-2.5,SP500,student_t_negated,B,0.021944161560548913,1.0,0.0,1.0,0.989634748272458
TimesFM-2.5,STOXX,student_t_negated,B,0.024377236644016257,1.0,0.0,1.0,0.993991588223513
TimesFM-2.5,GDAXI,student_t_negated,B,0.026770303834245415,1.0,0.0,1.0,0.9913708889612504
TimesFM-2.5,FCHI,student_t_negated,B,0.028775554185338385,1.0,0.0,1.0,0.991270611057226
TimesFM-2.5,FTSE100,student_t_negated,B,0.022454603488680704,1.0,0.0,1.0,0.9932874918140144
TimesFM-2.5,ICLN,student_t_negated,B,0.03715268802455184,1.0,0.0,1.0,0.9873321510007601
TimesFM-2.5,NIKKEI,student_t_negated,B,0.031530280070114255,1.0,0.0,1.0,0.9918726718591263
TimesFM-2.5,HSI,student_t_negated,B,0.03074766977493361,1.0,0.0,1.0,0.9883916554508748
TimesFM-2.5,BOVESPA,student_t_negated,B,0.03557236092535229,1.0,0.0,1.0,0.9921404682274247
TimesFM-2.5,NIFTY,student_t_negated,B,0.022621987791514947,1.0,0.0,1.0,0.9898161947342276
TimesFM-2.5,ASX200,student_t_negated,B,0.01915825941920073,1.0,0.0,1.0,0.9929612047798331
TimesFM-2.5,CBU0,student_t_negated,B,0.008344336626496068,1.0,0.0,1.0,0.9864740239778665
TimesFM-2.5,TLT,student_t_negated,B,0.021384733518724774,1.0,0.0,1.0,0.9904306220095693
TimesFM-2.5,IBGL,student_t_negated,B,0.01924222984880255,1.0,0.0,1.0,0.9902104747919726
